Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
H,,in,39.19086,36.28607,33.14398,39.613,33.42523,37.71429,35.35883,36.9057,33.17914,39.36664,39.789,33.31976,36.67719,37.38031,32.66937,36.185,39.525,35.02484,37.41547,31.22797,35.09515,31.72015,32.5639,32.70453,36.07513,34.10638,32.98138,39.09857,36.28607,37.12982,36.7431,38.4306,38.71185,33.08685,32.52435,38.28998,39.06342,33.15717,31.46967,39.20404,38.92279,31.06537,32.47162,31.48724,34.58099,35.21381,33.7724,37.35834,39.608,31.16205,32.35736,31.09174,32.81439,38.01752,35.76752,39.916,38.65033,33.86908,33.289,36.38275,39.19525,35.96088,37.64838,34.62494,31.49603,39.371,37.96478,35.784,35.92462,31.98712,37.68243,39.22931,35.29181,36.03009,34.06134,36.87384,33.70978,39.774,37.66486,39.28204,34.18439,36.29376,31.30157,33.7713,34.22833,37.60333,32.54083,34.79083,38.5174,39.484,38.64044,33.71857,33.15607,34.28107,39.06232,32.66388,35.33575,31.96075,34.03497,33.12091,33.54279,32.98468,38.46906,37.97687,32.91437,39.946,38.96124,35.0589,36.81671,33.58234,36.95734,31.61359,34.98859,38.24054,38.0296,34.0921,37.57257,32.29913,31.59601,33.27472,35.80597,38.26691,38.68878,31.93878,35.34894,37.03644,36.05206,35.20831,31.763,31.90363,33.87238,37.51105,39.33917,39.972,39.409,36.4212,37.68683,31.42902,38.31964,33.53619,36.27838,34.48541,37.01666,39.12604,34.62604,39.618,36.24323,39.899,33.00885,36.1026,31.05768,36.68268,37.52643,38.79205,34.92487,37.49127,39.469,34.96881,33.00006,38.48444,35.10944,35.88287,36.16412,38.87115,32.4024,37.25397,39.34576,38.57233,38.15045,37.8692,36.9903,36.21686,38.60309,35.36871,35.72028,39.09528,34.20856,39.27106,35.47418,39.693,38.00543,31.18512,38.21637,36.40582,38.65582,37.67145,39.921,32.3277,35.21051,35.35114,31.02692,36.64313,31.86188,38.54156,37.13531,36.99469,31.26422,34.70953,31.59821,33.14508,35.18414,39.544
L1,,in,15.12091,16.46124,15.26154,17.79279,16.10529,16.7381,13.89044,21.34357,19.72638,13.53888,14.8045,16.77325,13.41583,14.96271,16.5799,21.50177,16.8963,21.3963,16.47443,19.28693,17.81036,21.18536,14.71661,17.66974,13.15656,20.18781,19.06281,21.52374,16.46124,19.55499,13.05109,18.11359,13.89484,21.76984,13.33234,14.31671,18.88702,18.60577,20.29327,20.9964,16.77765,13.42023,14.26398,15.81085,18.9046,21.92804,20.69757,21.18976,14.43976,21.72589,21.51495,18.56183,14.7298,21.33917,14.58917,18.59698,21.55011,21.83136,17.91144,19.31769,14.25519,18.05206,20.86456,15.73175,16.18878,19.56378,18.15753,14.83636,21.72699,17.78949,13.07855,21.93793,18.00043,19.09027,18.24652,17.68402,15.50433,20.72504,20.58441,17.56097,19.14301,19.00238,14.85394,15.89984,18.11469,16.98969,13.05219,19.80219,21.98187,13.70258,15.10883,17.7807,13.8432,17.2182,14.68695,15.74164,19.25726,20.38226,19.01117,21.19086,19.36273,17.65326,14.13763,17.3017,16.7392,18.70795,13.78607,18.39154,15.78998,21.27435,13.39935,15.9306,14.8056,14.40131,13.20599,17.14349,14.6474,19.21771,14.57709,20.73822,13.70697,19.26166,17.99603,20.24603,15.8515,20.914,17.96088,13.74213,20.84369,18.45306,20.42181,15.09564,20.01752,18.54095,16.85345,20.26361,18.71674,20.61517,14.5683,14.28046,17.30389,16.14374,18.11249,13.75311,18.25311,15.79218,14.66718,20.01093,15.65155,20.9953,13.70038,14.82538,15.66913,21.1535,18.55194,19.36053,15.11542,19.61542,21.58417,15.81854,16.94354,17.99823,21.65448,17.96307,13.74432,13.11151,21.70721,17.6994,14.74628,19.52753,19.14081,13.58612,14.82977,20.5954,21.22821,17.85321,20.9118,14.7243,17.95868,17.67743,20.48993,15.21649,21.68524,17.90594,15.65594,21.14032,14.39032,14.10907,17.69501,19.80438,17.9411,16.80731,14.83856,18.4245,17.58075,15.75262,20.49872,16.20966,19.88348,14.39911,19.9538,17.84442
L2,,in,14.11682,28.63342,28.64807,16.46057,25.83557,29.3512,26.18713,15.40588,20.79651,33.92151,25.95276,6.26526,27.76917,20.73792,15.34729,7.37854,34.44885,19.44885,14.2926,23.6676,6.08948,24.83948,22.02698,27.18323,26.9928,7.3053,26.0553,30.50842,28.63342,33.32092,9.06311,10.93811,15.62561,19.37561,28.75061,8.59436,6.95374,6.01624,15.39124,21.48499,31.79749,10.17639,24.23889,25.64514,19.08264,14.16077,11.69983,13.34045,5.84045,9.151,13.13538,14.54163,14.19006,9.97131,17.47131,22.39319,20.04944,17.23694,10.73303,9.79553,11.67053,17.76428,12.13928,24.09241,9.44397,5.69397,21.63147,15.19714,24.10339,22.22839,18.71277,18.24402,12.61902,17.42371,18.36121,31.48621,10.15808,31.31042,14.90417,30.13855,13.61511,7.52136,12.44324,26.76941,25.9491,22.1991,24.0741,31.5741,9.77722,29.87488,15.81238,22.84363,20.96863,9.71863,21.90613,27.29675,26.828,8.078,21.08582,28.35144,9.13269,15.03601,32.37976,31.20789,14.33289,32.14539,28.86414,26.16882,26.4032,6.24695,9.99695,22.18445,10.93445,22.5946,19.07898,13.45398,26.93054,22.00867,11.22742,18.28796,30.47546,32.58484,25.55359,18.05359,20.04578,33.17078,31.76453,8.32703,11.84265,24.4989,21.6864,10.495,10.02625,8.38562,25.26062,5.92468,7.33093,13.19031,24.90906,6.67908,16.7572,14.29626,32.10876,11.95251,26.95251,6.56189,25.31189,16.87439,14.53064,15.46814,20.21423,31.46423,11.77673,17.87048,12.01111,18.92517,32.48962,17.48962,12.80212,34.83337,23.58337,7.4115,28.974,16.20056,24.63806,31.90369,16.37634,31.14197,33.48572,23.17322,8.29041,15.08728,32.76794,19.17419,5.81482,24.56482,24.44763,18.82263,25.85388,15.54138,6.16638,14.36951,32.18201,6.34216,13.84216,8.68591,16.18591,13.37341,10.79529,25.32654,8.33435,28.4613,18.1488,24.94568,29.63318,9.47693,22.48474,10.53162,27.46521,27.93396,17.85583,8.01208
L3,,in,1.5304,1.42786,7.93665,8.87415,10.74915,4.26477,2.74133,7.58508,2.35071,2.97571,9.06946,8.75696,8.38586,3.54211,8.93274,5.33899,9.5968,4.5968,7.87805,6.00305,6.70618,7.95618,3.26868,10.92493,8.69348,8.38098,7.13098,5.80286,1.42786,6.11536,6.23254,10.60754,9.04504,5.29504,3.42004,2.95129,6.46692,7.40442,1.77942,2.24817,2.56067,4.61145,6.17395,8.8302,9.1427,9.84583,10.74426,4.25989,6.75989,7.17981,2.10168,4.13293,5.50012,2.84387,10.34387,8.70325,6.3595,2.922,8.29309,6.73059,9.85559,5.32434,9.69934,6.80872,2.2384,8.4884,5.0509,10.13025,3.724,6.849,6.92712,7.70837,5.83337,8.05994,7.12244,5.24744,6.88806,9.17322,8.39197,9.87634,3.50916,6.79041,7.96228,3.55798,2.8158,6.5658,4.6908,7.1908,4.45642,9.12439,1.93689,5.21814,2.09314,3.34314,3.03064,2.64001,1.85876,3.10876,10.49158,6.35095,4.3197,5.92615,3.8949,5.69177,6.31677,10.37927,3.03552,5.65271,7.60583,7.13708,3.38708,3.07458,1.82458,5.16443,2.8988,9.7738,3.79724,4.81287,5.90662,1.65857,5.09607,5.01794,7.04919,9.54919,5.13513,5.76013,3.10388,10.91638,8.49451,2.71326,9.27576,6.63904,7.73279,7.18591,9.06091,6.0531,9.02185,7.22498,2.06873,9.08289,2.59851,10.05945,7.24695,8.9657,3.9657,10.76257,9.51257,8.57507,2.79382,5.60632,5.93835,2.18835,5.62585,10.7821,7.57898,9.96179,9.75671,4.75671,6.94421,7.72546,8.97546,8.89734,7.33484,4.95203,7.76453,7.9989,5.245,6.26062,3.60437,5.79187,10.44031,8.17468,8.23816,5.58191,9.72253,10.97253,8.8241,10.6991,6.16785,3.35535,6.48035,7.80847,9.37097,2.94519,10.44519,5.91394,8.41394,6.85144,5.05457,10.52332,3.92175,9.4198,9.7323,5.12292,2.31042,6.52917,10.16199,3.36511,7.83777,9.55652,3.54089,5.25964
L4,,in,8.45349,7.23767,10.17224,3.60974,4.23474,11.03162,5.99255,3.3363,5.28943,10.91443,5.13318,6.69568,6.98865,9.0199,9.56677,3.47302,6.79333,11.79333,12.26208,12.88708,11.40271,5.15271,11.71521,6.55896,6.53455,11.84705,3.09705,10.36267,7.23767,8.17517,10.40173,7.27673,3.83923,7.58923,5.71423,12.12048,10.94861,5.63611,11.26111,7.97986,3.29236,5.49939,12.06189,8.46814,3.78064,11.51501,10.3822,7.33533,4.83533,10.62634,8.98572,12.57947,12.07166,7.54041,5.04041,6.99353,3.39978,12.46228,9.04431,3.73181,10.60681,12.32556,7.95056,3.49744,4.00525,7.75525,9.31775,7.65637,10.31262,3.43762,11.172,7.26575,11.64075,10.97668,5.66418,3.78918,12.61731,7.48059,12.94934,10.21497,4.47278,6.19153,9.8634,6.92395,3.83801,7.58801,10.71301,8.21301,11.57239,12.37317,5.18567,5.96692,9.09192,7.84192,3.77942,6.20129,12.29504,3.54504,7.56848,3.89661,3.42786,12.82727,4.85852,11.9679,10.0929,3.5304,8.37415,10.05383,7.47571,9.50696,10.75696,9.81946,6.06946,9.95618,4.87805,8.00305,11.47961,4.52649,7.80774,10.14172,3.57922,7.71985,8.1886,5.6886,4.63391,11.50891,10.10266,9.16516,8.30579,5.02454,3.46204,5.9425,12.66125,5.39563,3.52063,9.10657,12.38782,4.02844,6.68469,11.93127,6.54065,5.95471,12.51721,3.29846,8.29846,11.03284,4.78284,10.09534,10.25159,11.81409,3.35706,4.60706,6.79456,6.01331,9.52893,12.22424,7.13635,12.13635,11.19885,3.2301,4.4801,5.33948,7.52698,3.42542,4.36292,9.44104,5.20276,4.65588,9.81213,11.37463,10.63245,4.14807,10.81311,4.40686,12.60999,3.85999,5.46155,4.83655,6.2428,9.6803,5.3053,3.03967,10.22717,6.65295,4.15295,4.9342,7.4342,12.7467,7.51233,10.79358,3.95764,8.20569,12.26819,6.87756,10.94006,3.28381,4.18225,9.88538,5.52991,6.31116,8.88928,11.54553
L5,,in,9.29907,22.55103,23.98657,23.36157,9.61157,10.08032,28.4397,10.0022,27.03345,23.28345,14.84595,22.97095,17.93188,20.11938,16.83813,17.77563,24.72876,14.72876,26.91626,15.66626,20.82251,18.32251,10.19751,23.63501,18.01978,18.64478,21.14478,16.30103,22.55103,25.67603,12.1604,25.9104,20.2854,27.7854,26.5354,17.4729,13.25415,12.62915,11.37915,20.44165,26.06665,11.10571,17.98071,23.91821,10.79321,13.13696,10.71509,11.49634,26.49634,18.93774,17.53149,21.59399,24.64087,15.57837,20.57837,11.35962,25.42212,11.04712,22.33618,22.96118,14.21118,15.14868,18.89868,15.61743,21.94556,24.44556,22.57056,19.15503,17.59253,28.84253,17.74878,15.56128,24.31128,9.54565,11.42065,17.67065,18.1394,19.66284,21.85034,22.31909,14.27222,22.08472,21.61597,17.72925,24.83862,22.33862,13.58862,28.58862,26.24487,22.76831,25.89331,21.83081,15.58081,23.08081,14.95581,18.23706,14.79956,22.29956,20.81519,10.03394,10.34644,19.71167,15.02417,17.68042,11.43042,10.80542,21.74292,17.28979,26.82104,11.50854,14.00854,23.38354,15.88354,27.48511,20.76636,9.51636,21.15698,21.31323,14.12573,14.1062,14.7312,15.82495,22.38745,27.38745,15.43433,9.18433,25.12183,28.24683,11.84058,19.02808,9.65308,19.06714,23.75464,21.41089,20.16089,24.92651,9.61401,19.45776,17.89526,15.70288,20.54663,15.78101,16.40601,13.59351,23.59351,10.93726,28.43726,15.31226,28.74976,10.62476,11.83569,19.33569,26.21069,25.27319,15.42944,19.41382,26.30835,16.30835,25.68335,10.37085,22.87085,15.8396,10.2146,12.94897,9.82397,14.35522,20.25366,26.03491,17.59741,11.97241,25.80054,17.83179,18.77905,12.84155,13.6228,26.1228,20.73218,11.98218,16.04468,20.41968,21.66968,25.26343,25.88843,14.36499,19.36499,19.67749,14.67749,15.30249,22.95874,10.77124,24.44312,23.17358,15.04858,21.14233,11.76733,25.20483,20.43921,26.84546,28.75952,18.44702,24.22827,22.66577
L7,,in,19.05969,7.41418,18.77844,18.21594,8.09094,24.82532,10.13,22.22375,7.73938,20.11438,15.33313,9.14563,23.03235,9.8136,24.57922,10.23547,18.46204,9.46204,13.68079,21.55579,11.85266,14.10266,16.91516,20.00891,14.02356,13.46106,15.71106,13.03918,7.41418,23.72668,7.34387,12.96887,19.15637,7.90637,15.78137,13.81262,9.45325,14.51575,15.64075,14.2345,18.172,14.05872,24.74622,9.27747,24.46497,12.79309,8.64465,23.12903,18.62903,17.69739,9.40051,24.86926,11.72083,10.31458,14.81458,9.04895,20.5802,20.0177,17.38098,22.44348,16.81848,8.66223,7.53723,17.52161,22.79504,11.54504,22.23254,20.83289,15.48914,16.61414,19.56726,11.41101,21.53601,8.10632,12.04382,17.66882,8.5282,13.97742,18.19617,21.14929,24.17273,14.89148,9.12585,22.01062,19.69031,8.44031,23.06531,18.56531,18.98718,10.16296,19.72546,24.50671,18.88171,16.63171,22.81921,7.20984,17.05359,19.30359,7.5614,7.42078,23.45203,16.21863,14.24988,21.42175,9.04675,9.60925,8.203,12.35144,17.83582,15.86707,22.61707,19.80457,17.55457,8.73035,11.12097,21.24597,16.25378,23.70691,11.61316,18.02917,18.59167,16.20105,12.5448,17.0448,7.27136,19.64636,14.86511,12.05261,20.34949,24.56824,11.63074,11.73621,21.57996,14.12683,8.50183,12.93152,16.58777,20.66589,10.82214,18.4906,16.94373,12.37341,15.18591,14.90466,23.90466,22.35779,24.60779,9.42029,13.63904,11.95154,23.65857,7.90857,16.34607,8.75232,12.83044,9.94763,15.76599,24.76599,11.82849,18.29724,11.54724,8.03162,16.46912,10.35193,7.53943,17.24255,20.44177,16.92615,20.0199,11.5824,10.66833,20.09021,16.33728,22.24353,10.00916,7.75916,15.14197,23.01697,19.36072,22.17322,21.04822,22.59509,23.15759,10.60681,15.10681,23.82556,19.32556,23.26306,7.93494,12.15369,17.56775,17.90173,24.08923,19.16736,7.35486,20.01111,19.3783,7.98767,24.7572,22.22595,20.11658,16.46033
L8,,in,8.98132,5.91003,8.20007,8.51257,6.63757,10.30945,5.34851,9.56726,9.80164,11.67664,13.70789,14.02039,12.12585,12.5946,12.98523,5.64148,11.07117,6.07117,12.47742,13.10242,11.61804,5.36804,11.93054,10.52429,11.45691,11.76941,5.51941,6.53503,5.91003,11.84753,6.5741,5.9491,8.1366,9.3866,13.7616,6.41785,8.52722,12.58972,6.96472,14.62097,12.43347,14.328,12.7655,7.60925,11.67175,9.24988,14.99207,8.19519,10.69519,7.40417,5.45105,10.6073,8.30261,5.02136,12.52136,14.31824,9.16199,11.34949,7.57996,13.51746,14.14246,11.79871,8.67371,10.62683,8.24402,9.49402,8.55652,8.40149,11.99524,11.37024,5.82336,11.29211,11.91711,13.04993,8.36243,13.98743,13.44055,7.36633,5.96008,14.78821,11.31165,8.0304,11.54602,12.88391,10.89172,12.14172,11.51672,9.01672,14.2511,5.95032,6.88782,12.66907,14.54407,8.29407,9.23157,6.96594,10.24719,6.49719,8.80188,13.72375,5.4425,14.50989,9.97864,12.24426,5.36926,5.05676,7.40051,5.25208,8.92395,14.0802,12.8302,14.3927,8.1427,14.88098,13.86536,14.49036,8.35754,12.49817,11.71692,14.0509,14.3634,11.16028,14.12903,11.62903,6.35559,14.48059,9.63684,10.57434,9.71497,13.30872,8.62122,7.66418,14.38293,7.11731,11.49231,8.4845,13.64075,14.81262,10.28137,14.8053,13.16467,11.79749,11.48499,12.89124,7.89124,5.46936,11.71936,7.65686,13.75061,7.81311,6.58264,12.83264,5.64514,8.30139,9.47327,7.32483,11.86584,6.86584,11.55334,6.70959,12.95959,10.06897,8.50647,6.20178,14.01428,7.68616,12.82288,6.49475,6.026,8.2135,10.67444,11.06506,7.4762,7.31995,10.83557,7.08557,12.59338,11.96838,7.74963,10.56213,9.93713,9.07776,8.76526,11.44104,8.94104,6.28479,13.78479,9.72229,9.95667,13.23792,13.43323,6.70471,5.76721,11.62659,13.18909,7.09534,8.22815,5.33752,5.00549,12.97424,5.70862,9.61487
A2,,deg,108.21686,107.0816,100.01373,125.79498,167.98248,114.66217,172.37701,171.20514,102.65045,144.83795,157.72858,131.94733,154.06647,166.95709,108.94928,117.1524,105.72662,143.22662,127.99225,170.17975,150.84381,141.46881,148.50006,166.07819,111.18317,136.96442,127.58942,168.0191,107.0816,114.11285,150.73395,127.29645,120.2652,167.1402,115.5777,107.37457,124.36676,164.21051,168.89801,158.35114,165.38239,103.12653,171.09528,146.4859,148.82965,157.61871,167.28668,118.65387,174.90387,130.44586,115.79742,126.3443,128.39508,145.97321,127.22321,102.02789,131.32477,171.16852,125.61188,165.45563,113.89313,138.5025,152.565,140.26031,154.02985,107.15485,165.7486,113.02338,147.00775,170.44525,110.09369,155.79681,169.85931,108.04291,143.19916,166.63666,168.39447,147.15424,169.41986,157.11517,136.31439,151.54877,163.85345,160.85052,145.32318,117.19818,131.26068,150.01068,117.78412,110.89935,164.8056,100.35248,170.66498,161.28998,135.50873,143.12592,104.45404,113.82904,133.45795,172.71576,138.73138,161.98578,167.84515,139.13422,171.94672,150.85297,168.43109,151.73187,108.95844,112.47406,140.59906,110.13031,100.75531,124.33929,172.97211,149.53461,143.38226,166.23383,127.56195,148.72894,174.51019,100.09613,127.04926,108.29926,115.62347,148.43597,158.98285,147.2641,115.03754,149.02191,137.30316,152.39105,113.71918,122.50824,145.94574,168.50433,139.20746,139.7934,138.62152,117.17987,141.20331,135.6369,109.85565,134.46503,171.96503,106.92596,116.30096,104.58221,157.31659,154.97284,146.33026,174.45526,115.86151,145.15839,144.57245,118.49823,104.50897,142.00897,125.60272,129.11835,100.99335,125.01678,146.11053,156.36444,149.33319,158.12225,116.37421,150.94452,168.52264,170.86639,156.51093,162.95624,110.91766,158.96454,105.64423,115.01923,108.86688,151.05438,133.47626,168.63251,163.94501,111.79657,132.89032,145.04852,126.29852,172.00165,115.75165,155.5954,109.30634,140.94696,163.50555,123.58856,172.80731,146.44012,134.72137,173.39325,102.20184,100.44403,145.7077,167.97333,138.09052,141.60614
