Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
H,,in,39.544,38.90796,34.375,37.1875,39.859,36.20313,31.77344,35.42969,37.11719,38.41797,32.51172,38.13672,38.55859,33.70703,37.24023,34.99023,37.09961,36.81836,39.701,39.42,38.96289,39.807,38.4707,36.2207,35.23633,33.83008,31.30762,38.47949,36.8623,38.12793,37.03809,39.28809,35.20996,32.95996,34.57715,38.09277,32.46777,32.59082,31.95801,33.8916,31.6416,37.12598,34.59473,34.10254,34.10693,39.662,39.23975,34.17725,32.80615,36.32178,34.14209,38.36084,31.04834,35.98779,32.61279,34.93311,39.29248,34.51123,39.1167,34.96826,36.92822,39.0376,31.79541,38.68604,38.40479,34.78369,36.61182,34.64307,35.27588,34.97705,38.00049,34.06299,34.76611,36.13721,38.17847,31.11206,38.98706,35.33081,38.56519,31.60425,31.34058,31.4812,36.05151,33.34448,31.30542,38.90796,31.45483,31.2439,35.7439,35.1814,32.65015,37.29077,33.35327,39.576,38.73218,36.6228,38.59155,37.95874,38.09937,38.66187,35.83179,37.09741,34.00366,37.94116,34.63647,34.35522,39.98,36.00757,36.49976,39.875,34.94849,34.10474,38.18286,37.05786,33.96411,37.90161,32.24146,39.554,38.28833,35.47583,36.31958,38.78052,36.95239,31.4856,35.4231,38.30591,39.29028,37.84888,34.19263,37.56763,37.70825,33.41919,37.35669,35.38794,38.20044,37.49731,31.87231,36.09106,38.34106,37.76978,33.55103,37.98071,37.13696,36.99634,34.00806,38.50806,39.35181,36.96118,38.64868,37.80493,35.55493,38.77173,37.99829,38.94751,38.38501,33.18188,35.08032,33.53345,38.59595,34.9408,38.03455,39.652,31.63611,35.60876,39.546,36.03064,34.06189,35.67908,34.55408,38.6322,31.60095,36.66345,39.915,38.29822,33.65759,32.07556,39.0365,37.06775,31.44275,39.17712,32.98962,39.467,32.99841,38.48279,33.42029,38.97498,32.82263,38.72888,33.24451,37.74451,32.11951,36.54919,31.04724,32.03162,33.22693,32.2074,32.62927,35.16052,36.77771,34.81335,32.49304,36.74695
L1,,in,17.84442,21.4397,16.375,20.3125,15.95313,19.60938,18.27344,17.42969,20.24219,21.05078,17.39453,18.51953,14.44141,17.32422,19.16992,21.41992,13.9668,18.18555,13.33398,16.99023,20.11914,19.27539,21.87695,15.12695,18.36133,19.20508,20.04004,15.11816,13.21973,14.2041,19.65332,17.40332,15.5752,17.8252,13.67676,17.19238,18.31738,20.72559,21.3584,16.19043,18.44043,13.51855,19.9873,17.24512,20.60693,13.78662,18.7085,17.021,16.56396,17.82959,14.38428,14.66553,18.60303,20.72998,21.85498,18.12842,20.80029,20.51904,16.6167,16.96826,17.78564,13.42627,19.40283,19.26221,15.04346,18.52393,15.28955,20.6333,20.00049,20.29932,17.27588,13.33838,14.0415,17.31104,15.96411,13.18677,21.06177,14.03052,17.26489,16.35083,18.89966,16.79028,15.31372,19.56763,16.12231,21.4397,15.95532,17.15063,21.65063,21.08813,16.30688,16.72876,17.29126,15.99048,17.39673,16.97485,15.0061,16.48267,14.37329,20.56079,16.64087,13.40649,18.18774,21.00024,16.71118,19.24243,18.11743,21.94946,18.7854,19.9104,18.63159,17.78784,14.83472,15.95972,20.17847,19.61597,19.93237,17.11987,16.41675,19.22925,20.6355,15.08081,16.62769,13.41089,18.47339,20.93433,17.9812,16.18823,18.71948,15.34448,18.01636,19.63354,19.07104,16.53979,19.35229,21.18042,20.05542,19.77417,13.02417,14.70288,14.98413,16.03882,19.69507,17.02319,17.05835,21.55835,14.5271,14.38647,19.44897,20.29272,13.54272,21.85718,14.47437,19.57202,21.25952,15.77515,19.07983,19.50171,20.06421,21.17273,19.20398,13.50867,14.21179,19.09851,15.16101,21.20789,20.36414,20.1532,14.5282,19.73132,17.20007,18.88757,15.95203,18.97546,21.08484,21.12,20.48718,18.51843,19.64343,18.09656,14.15906,14.41394,20.88269,15.39832,14.83582,17.0155,15.15222,15.99597,17.2616,21.7616,20.6366,21.55066,15.52136,21.56824,21.77917,19.28308,21.67371,15.76746,15.97839,15.11267,18.41736,16.83533
L2,,in,8.01208,31.90186,23.75,29.375,6.40625,27.96875,27.73438,6.17188,19.29688,26.67969,12.61719,16.36719,14.02344,22.22656,19.00391,26.50391,15.72266,11.03516,13.14453,23.45703,14.19922,22.63672,17.71484,10.21484,21.93359,7.87109,11.18164,30.40039,14.22852,18.44727,23.48633,30.98633,18.33008,10.83008,13.4082,27.00195,23.25195,20.84961,24.36523,27.76367,20.26367,29.16992,16.98242,10.18555,13.74512,10.69824,8.35449,28.97949,13.8623,31.20605,5.65918,32.84668,23.47168,17.31934,6.06934,29.27246,26.92871,14.74121,17.20215,9.93652,20.74707,15.59082,13.9502,6.91895,19.10645,21.80176,32.58301,7.27051,26.72363,11.78223,23.2666,25.1416,17.17285,29.47754,28.12256,14.41162,18.16162,9.72412,29.88037,16.98975,15.17334,24.07959,24.31396,26.54053,8.0249,31.90186,15.49561,26.51123,11.51123,24.63623,12.44873,22.29248,5.41748,23.34717,7.40967,23.81592,21.00342,27.33154,9.05029,22.17529,21.1792,23.52295,16.96045,15.08545,25.63232,20.94482,32.19482,26.45264,20.12451,8.87451,15.77393,29.83643,7.80518,26.55518,14.36768,19.99268,16.59424,7.21924,31.12549,6.75049,13.31299,32.29736,6.51611,18.17627,16.30127,11.37939,9.03564,31.88721,27.19971,23.44971,17.35596,7.74658,20.87158,10.55908,34.93408,8.21533,19.46533,22.27783,29.77783,30.21729,12.40479,24.35791,17.79541,22.95166,15.80322,30.80322,31.74072,14.39697,12.52197,22.83447,30.33447,15.86182,5.31494,15.51025,6.13525,26.2915,8.24463,30.27588,32.15088,18.0481,30.2356,23.43872,13.59497,11.36841,9.49341,24.96216,25.89966,13.00903,16.75903,9.72778,20.04028,14.41528,29.94263,5.33325,18.927,12.24731,12.95044,17.63794,6.38794,31.23169,25.60669,26.04614,8.23364,24.63989,22.76489,20.65552,26.86646,33.42896,9.52271,24.52271,28.27271,27.56958,20.47974,24.69849,29.15161,25.28442,10.75317,24.81567,16.1438,22.10571,24.21509,5.58228
L3,,in,5.25964,9.81104,2.25,2.875,4.90625,5.84375,7.17188,6.23438,6.85938,9.78906,2.60156,6.35156,4.00781,8.77344,5.70703,3.20703,8.36328,6.17578,5.62891,2.19141,1.99609,5.43359,5.04297,7.54297,6.76172,3.94922,2.20117,7.04492,6.3418,3.37305,6.61523,4.11523,1.45898,8.95898,3.25586,9.03711,5.28711,2.02539,4.91602,1.5957,9.0957,5.18945,1.75195,4.33008,1.61035,7.00098,4.65723,5.28223,10.00879,2.66504,7.11816,2.43066,3.05566,10.80957,7.05957,3.23145,1.8252,7.7627,1.70801,1.47363,9.49121,6.52246,2.22559,8.94434,10.50684,5.07715,3.0459,10.8584,4.53027,8.26074,3.80762,6.93262,8.02637,10.09668,8.00439,6.87158,3.12158,9.68408,2.65283,7.41846,1.93018,8.33643,4.5083,2.20361,6.18799,9.81104,9.34229,6.60791,1.60791,10.98291,4.42041,1.76416,9.88916,3.52197,6.95947,10.55322,1.49072,3.44385,7.6626,10.7876,7.9165,10.88525,3.07275,9.94775,10.02588,5.33838,1.58838,10.22119,9.67432,10.92432,7.91162,5.09912,1.81787,3.06787,10.88037,2.75537,9.20068,8.57568,9.98193,9.35693,4.04443,9.43506,1.46631,2.11084,5.23584,3.43896,5.47021,3.24365,9.18115,5.43115,9.6499,5.66553,6.29053,10.97803,9.10303,1.75928,5.50928,8.94678,1.44678,7.4917,2.1792,5.06982,5.38232,9.60107,3.85889,8.85889,3.54639,2.76514,4.64014,3.07764,10.57764,2.66748,2.27686,10.98779,4.11279,5.83154,9.81592,8.72217,1.84717,10.59839,10.91089,8.33276,8.17651,10.55933,6.18433,4.77808,3.84058,3.2937,7.0437,3.44995,3.76245,5.63745,7.61011,5.81323,4.40698,10.69604,4.21167,7.64917,8.89917,8.74292,9.36792,4.2605,2.698,2.22925,9.10425,4.80737,9.84644,5.78394,5.62769,10.62769,6.87769,5.54956,10.21753,2.87378,7.79565,10.80347,5.33472,8.77222,8.06909,6.86304,6.94116,7.99585
L4,,in,11.54553,11.39111,11.75,3.625,11.90625,7.84375,3.23438,9.17188,7.29688,8.27344,9.83594,11.08594,5.92969,7.72656,10.71484,3.21484,5.55859,5.24609,10.01172,12.82422,10.59766,8.41016,6.92578,4.42578,12.39453,4.58203,9.14258,11.48633,12.50195,9.5332,10.90039,8.40039,8.55664,11.05664,5.66602,11.13477,9.88477,4.43555,8.10742,5.17773,7.67773,11.27148,7.20898,10.09961,8.80566,12.79004,7.94629,7.32129,7.8291,8.92285,4.00098,11.81348,3.68848,7.8877,6.6377,12.02832,9.68457,6.24707,8.70801,3.78613,4.32324,11.35449,7.99512,3.46387,7.52637,8.89355,3.4248,4.3623,6.62793,7.8584,6.53027,12.15527,11.06152,7.19434,4.54541,4.42822,5.67822,8.49072,3.95947,12.31885,12.92432,4.95557,5.81494,9.9165,7.49463,11.39111,3.10986,8.03174,3.03174,6.15674,6.46924,6.62549,3.50049,8.6958,5.8833,10.72705,12.91455,5.18018,8.14893,10.02393,9.06689,12.66064,11.72314,7.34814,10.08252,6.64502,7.89502,4.26221,12.15283,3.40283,4.21826,10.78076,10.31201,6.56201,7.49951,10.62451,3.94482,12.06982,10.97607,11.60107,10.66357,3.2417,4.02295,9.82373,7.94873,8.80811,12.71436,9.78467,6.97217,3.22217,10.87842,4.08154,5.95654,12.51904,11.89404,12.98779,11.73779,4.55029,7.05029,12.15771,3.72021,11.61084,5.67334,8.32959,4.07178,9.07178,7.50928,12.97803,4.85303,7.04053,4.54053,10.34131,3.38818,12.09912,7.72412,9.75537,7.3335,5.92725,12.80225,7.78394,3.72144,10.98706,6.76831,6.65112,8.52612,12.11987,6.80737,7.198,3.448,9.85425,3.91675,3.29175,9.09253,12.4519,10.42065,8.50659,6.70972,7.02222,5.77222,12.17847,4.05347,4.21948,9.53198,7.50073,10.62573,11.32886,9.57104,9.88354,4.10229,9.10229,10.35229,10.74292,9.0437,4.19995,5.68433,6.03589,12.75464,12.44214,12.83276,6.86108,3.81421,6.82202
L5,,in,22.66577,19.34668,26.5,22.75,25.5625,18.6875,25.09375,16.96875,13.21875,13.60938,9.23438,16.73438,25.79688,13.76563,14.74219,9.74219,28.80469,23.17969,15.83594,10.21094,27.94531,22.32031,11.22656,26.22656,10.91406,17.78906,13.39453,24.95703,10.11328,14.80078,28.00391,13.00391,9.56641,24.56641,11.91016,11.59766,14.09766,10.07422,26.79297,12.96484,27.96484,27.02734,27.65234,14.68359,11.56836,10.78711,21.72461,10.47461,26.80273,22.74023,18.52148,22.89648,26.64648,16.91992,24.41992,13.32617,16.13867,20.51367,21.99805,27.1543,11.54883,14.36133,9.51758,26.70508,22.33008,9.9082,20.8457,22.7207,12.25195,24.08789,22.68164,13.93164,22.36914,24.79102,17.76465,28.93652,21.43652,14.56152,14.24902,26.28027,11.94434,24.75684,18.66309,24.52246,18.74121,19.34668,14.03418,13.56543,23.56543,24.81543,15.44043,17.00293,10.75293,28.95605,20.83105,23.64355,13.01855,10.3623,23.1748,21.9248,25.71387,11.02637,11.65137,22.90137,11.80762,16.18262,28.68262,15.47949,17.82324,20.32324,26.25098,23.12598,24.68848,12.18848,10.31348,19.06348,17.11035,13.36035,21.79785,10.54785,13.67285,19.1416,21.3291,17.85254,19.10254,9.25879,25.19629,28.86816,11.99316,14.49316,22.30566,21.52441,25.27441,25.89941,17.14941,18.08691,25.58691,11.21191,26.21191,11.23145,25.60645,24.2002,17.3252,19.5127,13.49707,23.49707,24.12207,27.55957,11.30957,14.43457,19.43457,15.33301,13.61426,22.59863,21.34863,16.03613,26.50488,18.06738,26.81738,18.24561,20.12061,12.15186,21.83936,17.54248,21.29248,24.72998,25.35498,23.01123,25.51123,24.57373,25.19873,18.94873,22.42529,22.26904,24.45654,21.56592,22.34717,11.72217,19.22217,10.15967,16.40967,19.47607,20.10107,14.78857,26.03857,21.81982,22.52295,19.39795,9.71045,19.71045,12.21045,21.1167,10.21826,23.65576,22.24951,14.35889,26.54639,18.42139,11.07764,18.5874,16.86865,28.19678
L7,,in,16.46033,19.37939,9.25,17.125,17.40625,12.34375,8.54688,21.48438,15.85938,20.99219,23.80469,12.55469,15.64844,18.88281,14.27734,18.77734,12.87109,19.05859,11.60547,21.16797,9.28516,18.84766,13.08203,8.58203,24.05078,14.48828,12.60742,20.20117,10.49805,13.0293,22.24023,17.74023,10.14648,14.64648,16.47461,9.44336,16.19336,14.04883,8.2832,7.50977,12.00977,17.35352,19.04102,9.61914,9.22363,13.86426,13.02051,20.89551,19.41895,23.6377,19.55957,21.24707,15.62207,23.04004,7.29004,18.11816,18.39941,22.33691,12.28223,22.54785,15.46387,15.74512,15.32324,24.04199,7.72949,21.58105,18.4873,16.7998,14.12793,21.05371,10.50684,20.63184,17.53809,8.18652,9.51807,21.68213,14.93213,15.49463,22.52588,15.63525,18.83447,8.42822,12.50635,14.26416,7.37354,19.37939,12.91064,15.30127,24.30127,9.67627,23.73877,13.33252,16.70752,19.87158,10.30908,21.84033,14.52783,20.57471,16.35596,24.23096,18.21924,11.75049,14.56299,17.93799,18.35986,12.17236,18.92236,12.9458,24.89893,22.64893,9.28076,19.96826,24.18701,21.93701,24.74951,7.87451,14.27295,22.14795,16.2417,8.3667,12.3042,9.91357,20.88232,20.77686,17.40186,22.32373,7.41748,10.44092,11.00342,17.75342,9.59717,22.11279,7.48779,11.42529,19.30029,11.70654,18.45654,22.39404,17.89404,7.54053,15.97803,13.86865,20.05615,7.3999,23.22021,14.22021,17.03271,15.06396,9.43896,19.00146,23.50146,20.79443,17.56006,23.25537,24.38037,8.34912,14.9585,9.61475,21.98975,8.06567,14.25317,23.3938,24.23755,18.82349,24.44849,23.60474,18.54224,21.49536,14.74536,20.08911,16.15161,8.27661,11.26489,24.34302,21.24927,23.56958,8.80396,18.36646,11.61646,13.58521,23.71021,11.00122,7.06372,23.09497,8.46997,17.32935,17.11841,22.18091,21.33716,12.33716,19.08716,24.00903,9.20825,10.052,17.22388,7.59106,12.37231,16.30981,23.76294,23.6311,21.24048,9.21704
L8,,in,9.61487,11.28174,11.25,9.375,6.09375,14.53125,6.32813,12.89063,6.01563,11.75781,8.32031,9.57031,7.85156,7.77344,6.69922,9.19922,5.91797,8.73047,8.49609,10.05859,5.25391,13.69141,7.67578,10.17578,5.33203,6.26953,6.43555,8.4668,7.45117,6.98242,12.25586,9.75586,12.72461,5.22461,5.14648,8.11523,9.36523,14.81445,12.23633,6.02539,13.52539,5.24414,5.55664,5.16602,12.9834,13.37402,14.15527,11.03027,8.49121,8.64746,14.03809,6.85059,14.97559,11.40137,7.65137,13.35449,11.94824,9.76074,7.14355,10.81543,5.64941,9.86816,11.04004,9.63379,7.44629,6.78223,9.75098,10.06348,14.2041,13.24707,5.66895,5.04395,8.6377,10.55176,5.00244,10.6665,11.9165,14.104,11.44775,8.40088,14.98291,6.07666,13.02979,5.4126,13.30322,11.28174,6.75049,6.98486,11.98486,5.10986,6.04736,11.51611,5.89111,8.03955,8.97705,7.5708,12.8833,5.61768,11.39893,7.02393,5.75439,10.91064,9.34814,9.97314,12.86377,9.42627,10.67627,10.40283,7.98096,14.23096,5.32959,6.26709,13.29834,9.54834,10.48584,11.11084,6.4624,14.5874,11.61865,13.49365,11.93115,9.35303,12.32178,13.12256,14.99756,13.51318,8.66943,8.7085,5.271,6.521,12.61475,9.25537,13.63037,13.31787,11.44287,9.41162,10.66162,8.47412,10.97412,5.80811,13.62061,11.51123,8.07373,11.66748,12.95654,7.95654,14.51904,13.42529,14.05029,7.48779,14.98779,9.49951,14.89014,8.21045,11.33545,6.8042,14.38232,11.72607,12.35107,6.33423,6.02173,5.6311,13.28735,14.34204,13.71704,7.62329,13.56079,8.63892,9.88892,11.29517,11.60767,13.48267,8.34595,14.51782,10.92407,5.33813,11.51001,6.82251,13.07251,5.41626,13.54126,13.08228,12.76978,7.92603,8.55103,5.3479,14.52759,11.09009,8.74634,13.74634,7.49634,14.13696,6.46118,5.99243,6.85181,7.20337,10.79712,10.48462,5.40649,12.90161,12.19849,8.56567
A2,,deg,141.60614,131.36597,109.375,151.5625,166.79688,164.45313,169.72656,162.69531,120.50781,112.59766,119.62891,166.50391,148.92578,127.24609,159.91211,141.16211,139.99023,142.33398,114.79492,173.38867,130.32227,151.41602,130.9082,149.6582,146.14258,129.73633,139.18457,138.0127,157.34863,135.08301,127.75879,146.50879,126.58691,145.33691,116.62598,159.98535,131.86035,143.72559,145.4834,121.75293,140.50293,151.0498,172.14355,165.69824,121.05713,100.54932,120.47119,172.03369,157.67822,111.9751,123.10791,162.95166,120.76416,111.53564,120.91064,115.63721,116.80908,147.27783,148.15674,159.28955,149.84131,174.45068,117.61475,168.00537,170.34912,123.76709,150.72021,157.75146,114.97803,127.72217,161.12061,137.68311,110.72998,120.39795,138.32397,169.67163,122.79663,101.70288,170.84351,142.13257,114.73999,155.75562,141.10718,123.82202,117.37671,131.36597,127.85034,171.79565,134.29565,101.48315,103.8269,158.90503,154.21753,100.01831,172.67456,152.75269,131.65894,104.11987,145.1355,121.698,113.93433,119.7937,112.76245,136.19995,149.67651,137.95776,166.08276,107.19604,135.90698,126.53198,168.31665,105.0354,160.11353,169.48853,139.01978,162.45728,119.39087,161.57837,134.62524,158.06274,136.96899,105.91431,130.52368,170.80688,100.49438,101.08032,132.72095,146.49048,162.89673,134.77173,173.4436,109.57642,123.63892,102.54517,154.10767,157.62329,148.24829,117.77954,174.02954,157.69653,127.22778,173.51685,157.1106,123.12622,105.25513,142.75513,154.47388,172.052,101.7395,160.33325,104.08325,173.9563,139.38599,166.63208,161.94458,167.80396,141.43677,112.13989,135.57739,112.71667,138.49792,143.77136,154.31824,165.74402,104.80652,134.10339,173.94714,165.15808,137.03308,126.48621,100.70496,152.26746,119.89441,156.80847,160.3241,126.04675,138.35144,126.63269,117.25769,106.71082,139.52332,116.01257,132.41882,126.55945,103.12195,124.80164,160.25085,134.4696,126.26648,163.76648,154.39148,140.91492,117.03796,136.95984,112.9364,128.46375,171.82312,174.16687,165.37781,109.53064,165.1947,123.30017
