Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated
H,,in,31.0528,31.24225,38.60199,39.02386,35.89496,31.53558,38.49652,34.13715,33.02972,31.83441,38.86566,37.17816,36.15863,32.99457,33.83832,39.463,32.44086,33.56586,35.95648,32.58148,31.73773,32.30023,32.22992,36.72992,35.64008,39.578,31.2807,39.22601,38.36469,38.22406,39.701,36.60687,34.35687,33.19672,39.947,38.7514,33.6889,33.82513,33.68451,38.74701,33.96576,36.4267,33.9306,35.19623,38.37787,39.36224,37.95599,33.91302,38.2724,39.96,35.17865,32.01459,35.81146,34.68646,37.21771,36.65521,37.77142,31.4433,37.6308,38.47455,34.53705,34.32611,35.45111,39.389,33.06049,39.00189,32.53314,36.61127,32.8847,36.1015,35.25775,33.71088,38.49213,35.67963,39.406,38.66791,33.74603,32.9726,33.81635,39.722,38.80743,37.01447,31.38947,35.67853,33.42853,35.39728,33.14728,38.20978,35.81915,36.68048,37.24298,33.16486,39.704,33.65704,33.09454,37.84064,39.03595,37.34845,37.48907,37.56818,33.34943,33.38458,34.36896,34.65021,38.65802,37.81427,32.73419,34.21075,34.59747,35.93341,34.25031,39.559,39.418,37.09796,37.23859,39.22491,38.73273,34.47882,38.2757,32.01788,39.471,35.53351,31.44659,33.06378,35.59503,35.63019,37.73956,34.64581,33.73175,31.88605,33.71417,38.49542,31.39386,35.2962,37.05402,36.63214,32.69244,34.94244,39.02057,37.68463,31.67291,34.90729,38.84479,31.25104,33.99323,36.52448,38.77448,35.82135,37.50885,39.759,37.3858,32.39362,32.78033,36.15533,36.29596,31.30377,38.62506,31.24225,36.0235,32.78912,35.07428,34.37115,31.20709,34.86334,39.22272,37.81647,38.64264,37.51764,35.97076,33.15826,37.37701,38.00983,31.82233,37.16608,37.41217,36.07623,32.70123,36.63434,35.22809,37.05621,37.61871,37.97028,37.68903,33.6109,38.95465,33.36481,35.89606,39.412,35.75543,36.2652,38.02301,38.72614,38.44489,35.03473,34.75348,33.13629,37.21442,36.08063,33.69,37.69781,32.45953,32.74078
L1,,in,21.72035,15.6076,14.54962,14.9715,15.56915,13.17853,18.31134,15.92072,19.31329,21.91486,14.88361,18.82111,15.76251,15.6922,18.78595,17.66095,17.37091,13.99591,18.07404,19.19904,16.66779,14.98029,16.31622,20.81622,17.54669,13.60919,20.21857,19.867,18.47833,14.68146,16.29865,19.3924,21.6424,16.75568,14.50568,14.15411,15.84161,15.40656,21.45343,17.51593,17.79718,14.35187,13.61359,17.41046,19.60773,19.18585,17.7796,16.9007,16.19757,13.38507,13.10382,15.28351,21.89288,14.01788,14.29913,20.48663,17.08527,16.94464,18.63214,15.53839,18.35089,21.2337,15.6087,15.0462,15.46808,17.5423,15.57355,15.99542,16.06573,15.09894,15.94269,20.30206,14.95831,13.27081,15.4505,14.36066,18.43878,16.82159,17.66534,18.77386,16.45355,19.7934,20.9184,18.03558,20.28558,13.81683,20.56683,20.00433,20.14496,16.50629,18.19379,16.08441,14.8891,18.68597,14.74847,16.04926,18.08832,18.65082,21.04144,18.00922,13.79047,21.20844,16.28656,17.69281,19.59125,19.8725,15.95258,13.63226,21.82367,15.00336,14.41888,13.89154,19.09467,20.00873,17.0556,15.66693,19.25287,13.80365,17.03802,16.68646,20.20209,16.26459,16.0976,16.87103,14.90228,20.07025,20.77338,21.05463,16.62494,13.97064,21.14252,14.11127,15.30658,14.63861,21.74017,19.6308,15.12421,21.87421,15.26483,15.89764,20.08124,14.03436,20.22186,21.62811,16.91718,18.88593,16.63593,18.46405,20.15155,13.40155,13.55975,20.52069,13.80585,14.93085,21.82147,16.54803,13.70917,15.6076,15.32635,20.52948,21.19745,13.46307,14.09589,21.68964,19.58026,18.17401,16.78534,13.41034,18.33221,15.51971,15.80096,17.1369,19.9494,18.54315,13.93768,20.758,21.883,14.54852,13.70477,16.6579,18.3454,14.47821,14.75946,21.36884,15.46259,18.38055,15.8493,21.89618,13.73993,20.29657,16.00751,20.92938,16.71063,19.41766,20.26141,18.36298,16.2536,15.11981,20.04169,17.01825,18.45966,20.99091
L2,,in,17.34212,6.00525,12.62268,21.52893,19.06799,6.41174,22.11487,21.64612,28.26721,12.09534,22.40784,20.53284,5.8844,21.11877,12.68127,8.93127,21.61682,10.36682,8.02307,19.27307,12.71057,7.08557,16.69495,31.69495,13.99963,15.87463,11.65588,5.32776,29.64417,34.80042,12.53479,20.97229,13.47229,24.6051,17.1051,5.15198,10.77698,19.4928,15.27405,17.14905,21.83655,15.03967,25.93811,24.53186,15.80139,21.89514,7.83264,7.48108,26.69983,32.32483,5.13733,14.27795,21.3092,25.0592,25.9967,5.3717,7.74475,13.8385,23.2135,14.776,20.401,12.19788,30.94788,32.82288,17.35413,12.31506,22.62756,25.90881,12.08069,12.60803,6.04553,25.26428,33.70178,5.57678,13.77991,23.97522,16.94397,5.92834,29.36584,13.32214,29.96277,19.76746,8.51746,20.47058,12.97058,19.53308,12.03308,25.15808,7.81433,19.12292,28.49792,29.90417,34.3573,26.38855,24.51355,7.05261,20.41199,18.53699,33.06824,30.98816,9.42566,17.5116,13.29285,19.85535,26.18347,17.74597,7.37488,15.578,30.46082,7.72644,5.19226,11.16882,7.88757,31.0907,33.43445,20.25085,14.86023,24.11804,16.14929,24.82117,7.47742,5.60242,25.31921,21.80359,11.49109,19.10828,26.13953,25.20203,24.03015,14.245,13.77625,7.21375,19.16687,9.67468,9.44031,26.78406,18.86658,11.36658,33.39783,32.6947,16.17126,29.76501,5.39001,8.20251,17.81189,28.12439,20.62439,20.15564,29.53064,22.03064,24.43298,7.32361,7.90955,19.15955,21.5033,24.55017,16.55212,6.00525,31.31775,25.224,24.16931,31.20056,27.68494,6.12244,19.71619,33.77869,28.09509,16.84509,27.62634,7.00134,34.18884,18.01697,8.64197,24.57947,10.63416,23.99353,27.74353,22.45544,21.51794,6.04919,26.67419,13.31482,12.37732,15.65857,14.72107,19.76013,30.07263,20.22888,13.66638,22.74841,31.42029,29.07654,24.38904,21.22498,14.66248,29.4281,28.95935,22.8363,18.61755,16.50818,18.03162,26.46912
L3,,in,4.5,9.67859,7.0675,8.47375,10.77844,9.37219,7.10657,6.32532,5.52454,4.97766,2.16516,5.29016,9.54797,9.78235,10.71985,6.96985,4.0304,5.2804,6.06165,9.81165,5.12415,9.49915,1.92102,6.92102,9.92883,6.80383,8.83508,7.19446,9.01086,1.35461,9.87024,10.80774,8.30774,1.31555,3.81555,8.89368,2.01868,6.19348,3.53723,6.66223,2.59973,7.20911,5.60754,3.26379,3.98645,5.0802,7.8927,3.40051,5.74426,8.86926,5.43176,1.44739,5.66614,9.41614,10.97864,7.85364,5.46106,7.49231,6.86731,6.55481,8.42981,4.28918,8.03918,4.91418,9.44543,4.87512,2.06262,6.28137,8.39075,7.66809,2.98059,2.82434,8.76184,4.38684,2.74622,7.39465,9.7384,4.81653,5.75403,7.00525,8.17712,10.71619,6.96619,10.32556,7.82556,2.51306,10.01306,1.88806,5.79431,5.73572,2.61072,3.39197,2.53259,6.12634,10.50134,7.57166,6.24353,1.86853,6.08728,2.15173,9.33923,3.7533,6.09705,1.40955,8.98767,7.42517,6.62439,10.60876,3.61658,8.22595,10.4574,10.65271,2.99646,6.66833,4.32458,2.50818,10.55505,5.35974,7.07849,10.12537,9.65662,7.78162,3.68982,3.29919,2.98669,7.32263,6.22888,7.79138,1.93201,10.38904,8.98279,2.42029,8.59216,2.3031,10.97498,5.19373,6.27039,3.77039,3.30164,10.41101,6.93445,5.5282,3.6532,5.2157,7.01257,9.82507,2.32507,2.16882,7.79382,5.29382,9.8446,4.14148,3.47742,4.72742,10.50867,9.33679,3.19421,9.67859,4.99109,8.58484,6.67078,9.95203,2.84265,3.15515,2.0614,8.6239,5.40125,4.15125,3.995,5.87,8.6825,9.38562,8.76062,9.07312,3.09656,2.08093,5.83093,10.42566,9.48816,4.95691,3.08191,2.22253,4.41003,1.44128,4.25378,7.2616,9.4491,4.29285,3.98035,7.47644,4.42957,6.77332,7.71082,4.46863,2.90613,5.328,5.79675,5.0448,9.88855,5.43542,10.86511,6.80261
L4,,in,4.17627,3.62073,12.95544,11.54919,12.76013,10.10388,10.80701,12.52576,5.94373,9.45935,4.14685,11.02185,6.92029,10.74841,6.68591,7.93591,5.95349,9.70349,9.54724,8.29724,7.35974,12.98474,10.87537,5.87537,6.93005,10.05505,4.5863,3.25818,10.11365,4.9574,4.25427,10.19177,7.69177,3.82458,11.32458,8.59021,5.46521,9.03455,4.1908,9.8158,6.3783,11.45642,12.27673,8.05798,11.12439,12.21814,5.03064,5.22595,5.3822,9.7572,6.3197,5.14783,5.92908,4.67908,9.36658,8.74158,11.09509,10.31384,9.68884,5.00134,4.37634,4.92322,8.67322,4.29822,4.14197,3.94666,9.25916,7.85291,11.68103,7.16931,7.48181,4.82556,12.01306,8.88806,12.55994,4.474,6.50525,10.48962,4.55212,9.53137,4.922,9.25793,8.00793,6.05481,8.55481,6.99231,4.49231,7.61731,12.77356,7.79309,5.91809,7.94934,5.37122,8.96497,5.83997,12.28528,7.83215,3.45715,10.4884,12.7052,11.1427,6.65051,11.49426,4.93176,7.35364,4.54114,4.87317,6.04504,11.94348,3.27161,11.42102,5.05383,9.89758,3.41321,8.56946,11.67493,10.0343,6.16711,10.69836,11.08899,4.05774,10.93274,5.61047,11.9386,8.5011,3.07141,4.47766,9.79016,8.61829,7.1925,11.41125,4.22375,9.30188,12.85657,5.27844,8.55969,5.99377,3.49377,7.40002,8.10315,9.07971,12.98596,12.36096,7.04846,12.28284,6.34534,3.84534,9.62659,5.25159,7.75159,11.32581,9.21643,12.30237,11.05237,3.08362,12.84924,9.94885,3.62073,12.68323,6.27698,9.20667,8.42542,7.72229,11.78479,9.75354,7.56604,6.92151,8.17151,11.45276,10.82776,4.89026,4.03088,12.15588,8.09338,5.7887,11.17932,12.42932,6.75061,12.06311,11.28186,11.90686,10.10999,4.17249,8.07874,11.51624,7.64905,11.08655,11.8678,7.8053,12.1217,6.88733,12.04358,9.23108,4.97327,7.78577,5.36389,3.33264,3.83069,6.17444,12.81506,12.38538,10.19788
L5,,in,17.33335,18.0271,14.27954,25.84204,28.42017,20.60767,23.88892,21.07642,26.03735,17.4436,16.8186,20.5686,15.95923,19.24048,12.36548,19.86548,14.29907,21.79907,10.23657,22.73657,25.86157,27.11157,13.51782,23.51782,24.0647,12.8147,22.5022,16.09595,19.18188,13.24438,18.71313,25.58813,20.58813,12.54126,17.54126,18.94751,27.69751,13.01978,19.58228,10.83228,26.45728,9.73853,15.9104,20.5979,14.85571,26.41821,23.29321,21.65259,20.71509,21.96509,17.59009,28.37134,19.93384,27.43384,28.05884,26.80884,25.50024,13.31274,19.56274,12.68774,21.43774,25.65649,28.15649,16.90649,25.96899,20.89087,20.26587,24.95337,10.73462,28.58618,25.46118,10.14868,25.77368,9.52368,21.24243,11.00806,16.94556,14.91431,26.78931,17.90503,20.24878,24.85815,17.35815,18.7644,13.7644,14.3894,19.3894,28.1394,25.9519,10.28784,9.03784,11.85034,11.38159,9.81909,28.56909,21.14722,16.92847,23.17847,10.36597,28.04175,24.91675,20.46362,12.02612,16.40112,18.43237,11.55737,27.76831,17.29956,22.06519,23.78394,19.39917,27.28979,16.35229,22.44604,10.88354,11.54761,11.70386,19.28198,19.59448,26.93823,11.62573,25.37573,11.9187,24.88745,13.01245,17.30933,28.87183,26.99683,23.71558,11.56714,11.25464,24.37964,9.22339,22.42651,11.95776,19.14526,27.57788,12.57788,15.39038,28.67163,22.03101,27.96851,14.21851,16.09351,23.43726,22.81226,17.81226,14.99976,18.74976,23.74976,18.39819,26.05444,18.94507,26.44507,13.00757,13.16382,23.18335,18.0271,23.6521,22.7146,13.26147,22.94897,10.91772,22.79272,26.23022,23.10522,14.94116,22.44116,17.75366,24.00366,9.62866,24.78491,21.03491,16.65991,16.73804,21.26929,13.76929,24.40405,26.27905,16.59155,17.84155,28.6228,14.2478,26.4353,13.3103,25.10718,24.48218,24.79468,16.66968,26.55249,9.20874,23.27124,28.89624,9.59937,16.47437,15.38062,18.19312,19.42358,17.86108,13.01733,11.84546,18.72046
L7,,in,17.98618,21.25037,7.86243,13.20618,12.29211,15.38586,23.12024,9.33899,13.45227,18.6554,18.0929,21.4679,10.71008,24.35071,10.28821,21.53821,14.55969,12.30969,10.90344,22.15344,11.46594,10.34094,12.16907,21.16907,7.3175,12.9425,10.97375,7.45813,19.65735,16.0011,19.51672,14.45422,18.95422,9.74329,23.24329,13.54016,19.16516,18.52356,17.67981,14.30481,9.24231,11.63293,21.96887,7.62512,21.93372,16.02747,8.71497,9.4884,17.64465,16.51965,24.95715,24.81653,19.47278,8.22278,13.28528,9.91028,23.04114,13.75989,23.88489,9.82239,19.94739,16.71301,23.46301,8.83801,8.55676,24.09583,21.28333,23.25208,9.61145,9.50598,15.69348,22.16223,22.72473,23.84973,23.70911,23.63879,18.29504,17.59192,12.52942,17.45789,17.31726,21.88757,10.63757,10.2157,23.7157,7.4032,11.9032,17.5282,14.43445,19.03992,22.41492,9.19617,24.80554,9.89929,15.52429,24.73523,24.5946,21.2196,17.00085,20.04187,17.22937,11.25281,7.59656,22.78406,23.76843,14.20593,23.66296,23.80359,8.6864,17.54578,9.18738,21.35144,24.44519,13.89832,13.05457,20.8241,8.02722,21.31628,14.84753,7.39441,22.86316,19.48816,17.74792,23.7948,16.4823,10.08386,15.99011,10.92761,15.28699,18.48621,10.32996,9.76746,7.65808,24.18152,9.41589,14.19714,7.8031,12.3031,7.52185,8.50623,8.99841,7.59216,17.71716,21.65466,11.10779,7.17029,11.67029,21.51404,22.63904,18.13904,20.56482,23.51794,16.83826,14.58826,22.18201,20.07263,23.07849,21.25037,19.56287,14.21912,16.82068,19.35193,20.3363,14.1488,13.30505,20.61755,8.34802,10.59802,18.19177,8.06677,15.37927,24.80115,12.42615,9.61365,7.01208,7.43396,23.18396,10.14978,14.08728,14.36853,8.74353,14.50916,20.69666,19.29041,19.85291,24.70447,20.76697,13.73572,16.54822,15.38806,18.05994,18.90369,12.71619,8.98962,17.42712,20.6615,7.44275,16.77673,15.93298,15.22986,12.48767,20.92517
L8,,in,7.89454,11.78772,14.73328,11.45203,13.28796,11.88171,9.92859,8.20984,10.10437,5.96375,5.65125,6.27625,8.42468,11.62781,7.56531,11.31531,6.48132,10.23132,6.32507,12.57507,9.76257,10.38757,7.3407,12.3407,14.41101,12.53601,10.81726,8.08289,10.25085,12.2821,8.29773,12.36023,14.86023,9.66492,7.16492,5.05554,5.68054,13.95691,13.48816,12.86316,5.05066,12.31628,10.9491,6.10535,7.453,8.85925,7.92175,12.64832,9.99207,10.61707,7.80457,14.75769,5.53894,6.78894,12.10144,6.47644,10.99792,9.59167,5.21667,14.27917,11.15417,9.51355,5.76355,5.13855,7.1698,10.17761,10.49011,5.95886,14.00574,10.70496,14.76746,14.29871,12.11121,13.98621,8.43933,9.02527,10.74402,5.66589,14.72839,9.02649,12.07336,7.89368,11.64368,13.12805,10.62805,6.56555,14.06555,8.44055,9.8468,6.42883,12.05383,10.96008,12.75696,6.03821,6.66321,14.74915,6.70227,9.82727,13.42102,11.16516,8.97766,8.07922,9.48547,12.92297,7.53235,10.96985,8.45032,13.99719,10.67688,11.84875,12.16614,10.25208,12.28333,6.73645,5.6427,9.72473,13.70911,13.04504,10.07629,5.31067,10.46692,12.34192,10.45715,12.87903,14.44153,13.54309,10.26184,6.19934,8.77747,11.41418,5.63293,7.82043,8.83606,9.7345,6.06262,12.15637,10.1178,7.6178,12.14905,14.72717,11.17249,5.07874,9.45374,14.14124,14.21936,13.90686,6.40686,10.62561,8.75061,11.25061,12.36389,14.78577,11.46545,7.71545,11.3092,7.94983,10.30334,11.78772,8.97522,12.25647,8.23303,11.20178,13.15491,7.21741,8.62366,9.56116,13.60413,9.85413,9.07288,5.94788,13.13538,12.11975,8.99475,8.68225,11.76819,9.97131,11.22131,7.7887,13.7262,14.19495,9.81995,8.33557,6.77307,9.74182,13.17932,6.03088,5.71838,8.37463,12.43713,5.34729,5.58167,6.98792,9.80042,11.94885,9.13635,10.46448,11.55823,13.57971,11.54846,7.56409,12.83752,5.65002
A2,,deg,112.86425,119.15741,152.08893,106.3858,107.85065,106.67877,113.12408,116.63971,132.02057,150.18463,171.27838,100.96588,151.06354,129.38385,127.0401,117.6651,126.96686,136.34186,151.57623,160.95123,172.66998,158.60748,172.08405,134.58405,146.59576,132.53326,143.08014,106.16608,121.25397,103.67584,144.10553,151.13678,169.88678,158.461,139.711,162.56256,139.12506,129.93317,110.01129,133.44879,168.60504,141.06598,164.79645,151.90582,145.31403,118.3609,158.20465,147.36481,129.78668,125.09918,160.25543,120.99762,145.60699,117.48199,152.63824,129.20074,150.36774,137.47711,160.91461,172.63336,121.07086,165.01617,118.14117,132.20367,133.37555,170.58258,149.48883,143.62946,127.80914,158.42438,137.33063,157.2525,140.84625,145.53375,105.10406,148.17047,135.27985,153.44391,141.72516,164.58588,100.71869,134.99603,106.87103,151.98822,170.73822,163.70697,107.45697,130.89447,110.9726,149.49799,135.43549,131.91986,139.53705,147.74017,124.30267,115.22064,169.71283,174.40033,131.04095,115.1474,126.86615,124.22943,106.65131,118.37006,149.42474,128.33099,129.64935,170.07904,119.39545,121.15326,137.3764,114.23187,134.15375,101.92719,119.50531,118.47992,155.39398,108.22601,167.99164,159.20258,174.43695,104.12445,170.99457,173.92426,124.70551,127.34222,173.04535,133.2016,117.38129,161.76605,123.09418,102.00043,151.80511,121.62933,167.9184,133.93402,161.71112,105.46112,160.53925,134.17206,140.3244,169.62128,127.43378,162.59003,135.05096,113.95721,170.20721,133.87909,119.81659,138.56659,147.50214,118.7912,106.19354,134.31854,172.99042,141.93573,172.47772,119.15741,163.68866,174.23553,115.34882,118.86444,173.35663,156.95038,160.466,115.93475,140.98358,150.35858,106.99921,149.18671,118.71796,136.88202,169.69452,120.47577,138.9328,126.62811,117.25311,160.13641,120.29266,126.15204,140.21454,161.89423,117.36298,158.3786,156.03485,162.77313,141.67938,110.03876,107.69501,104.0329,151.49384,169.07196,171.41571,145.34149,124.24774,136.55243,130.69305,128.27606,129.44794,148.78387,156.69403,102.78778
