Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated
H,,in,36.50909,36.22729,39.15625,33.53125,34.79688,32.33594,37.39844,35.04297,31.52734,33.77734,38.20703,37.78516,38.36523,33.44336,33.0918,39.842,37.31055,36.74805,35.02539,36.29102,36.7832,37.06445,31.29883,38.61133,35.38574,34.54199,31.16699,35.7373,33.7334,31.4834,31.34277,34.43652,33.85645,36.10645,34.27832,31.81738,38.70801,37.8291,31.50098,31.57568,36.00537,37.30615,39.837,39.13428,37.09521,38.22021,38.07959,33.59717,39.08154,38.87061,37.60498,35.63623,37.28857,33.98389,39.17822,38.4751,34.18604,34.22119,37.45557,31.19775,35.13525,38.51025,39.776,39.477,31.60205,36.9458,36.03174,39.829,36.17236,38.98486,33.46533,34.52002,36.77002,37.33252,31.70752,32.55127,38.17627,35.92627,34.38159,38.60034,35.08472,39.585,38.53003,37.68628,31.49878,38.14331,35.11987,34.41675,33.02808,38.2312,34.8562,35.13745,35.77026,38.16089,34.18823,39.813,39.25073,36.22729,37.36108,37.71265,36.02515,33.91577,33.66968,37.39624,35.42749,37.11499,36.69312,31.05054,38.92554,34.56616,31.4021,36.4646,34.74194,39.31226,32.42163,34.10913,31.01099,37.76099,36.63599,37.47974,33.12036,35.37036,31.22192,35.72192,33.47192,36.84692,39.659,32.62817,36.00317,36.42505,34.4563,35.05396,39.976,34.06958,38.21802,31.46802,31.32739,39.782,39.642,33.45435,35.70435,39.14966,38.86841,35.07153,31.09888,37.28638,38.41138,37.427,36.8645,37.07544,32.99731,37.77856,38.75415,39.0354,34.88696,37.59399,36.60962,36.89087,34.28931,33.16431,33.02368,32.16235,35.2561,36.59204,39.405,36.17017,31.35376,35.99438,38.24438,36.55688,38.45532,31.70532,37.1908,31.98767,35.71423,33.04236,39.511,34.48376,36.45251,37.08533,39.35291,36.54041,36.25916,39.28259,38.26306,37.13806,35.6615,37.9115,33.4115,34.5365,33.974,37.9906,34.33435,37.14685,31.52185,38.86951,38.58826,34.29919,31.46912,34.56287,35.8988,38.1488
L1,,in,18.53546,16.82544,16.65625,15.53125,14.26563,19.96094,19.39844,19.92578,13.59766,20.34766,21.82422,19.71484,20.29492,17.06055,13.47461,15.72461,13.19336,21.63086,19.55664,18.29102,16.81445,21.0332,13.29883,19.48633,18.21191,21.30566,17.93066,18.84473,15.08301,21.83301,14.94238,20.84863,13.55371,15.80371,15.66309,18.96777,19.1084,14.50293,14.64355,18.07568,13.50537,21.06396,19.09521,13.89209,21.8374,18.4624,16.07178,16.08936,14.82373,15.31592,21.36279,14.89404,18.44482,14.01514,15.53564,16.23877,14.76221,20.21143,16.6958,13.67236,17.60986,18.73486,15.50049,15.79932,19.17432,21.70557,14.74463,16.854,17.69775,13.76025,13.23291,13.44385,15.69385,19.63135,18.50635,15.4126,18.7876,16.5376,14.69849,16.66724,13.43286,17.93286,17.72192,16.87817,19.69067,20.21802,21.55396,20.28833,21.71216,14.54028,13.41528,17.07153,20.09497,15.7356,19.84888,20.97388,13.66138,16.82544,13.42407,14.61938,17.43188,17.85376,13.45923,21.54517,15.07642,17.88892,20.27954,16.92212,18.04712,19.87524,15.72681,15.16431,20.40259,14.8479,19.48853,14.42603,14.69409,16.94409,13.56909,16.66284,14.27222,21.02222,16.03003,20.53003,18.28003,17.15503,15.46753,17.43628,16.31128,16.4519,21.79565,21.61987,14.72925,18.3855,20.14331,17.89331,15.50269,20.58276,18.19214,15.37964,13.12964,20.09058,13.62183,17.13745,13.93823,20.12573,19.00073,13.23511,21.67261,20.47729,16.68042,21.46167,17.65601,16.24976,21.94507,17.40991,13.61304,20.08179,21.8396,18.4646,16.07397,19.1853,13.84155,18.13062,13.06812,20.52124,20.41577,18.58765,16.33765,16.90015,17.95483,20.20483,18.92273,20.18835,18.57117,13.36804,19.83679,15.72351,20.50476,20.99695,18.76453,14.82703,19.60828,19.95984,16.0575,14.9325,19.36218,17.11218,21.61218,15.98718,13.17468,14.06238,21.09363,21.65613,20.53113,18.3866,13.60535,19.30066,13.13074,21.28699,21.07605,14.32605
L2,,in,20.78186,26.30615,13.4375,9.6875,12.03125,22.10938,23.98438,30.42969,14.96094,7.46094,7.22656,21.75781,30.25391,7.28516,7.98828,30.48828,33.30078,12.67578,19.82422,24.98047,19.58984,7.40234,20.05859,33.18359,29.46289,6.02539,24.77539,25.47852,29.3457,21.8457,19.50195,26.06445,6.31836,28.81836,22.72461,11.70898,16.86523,33.38867,25.41992,16.55762,13.51074,28.8623,31.6748,29.33105,16.44043,27.69043,11.28418,15.91309,23.88184,8.64746,13.80371,18.49121,17.6709,12.28027,28.24707,6.21582,21.91895,31.17676,16.64551,11.25488,9.37988,13.12988,11.72363,26.78223,23.03223,8.96973,26.0791,15.29785,23.73535,21.86035,14.94629,10.96191,33.46191,12.83691,9.08691,8.14941,11.89941,19.39941,11.71631,20.15381,19.68506,34.68506,23.20068,14.76318,20.38818,34.09912,10.896,18.86475,5.79834,16.57959,5.32959,30.64209,29.00146,6.97021,18.10303,6.85303,27.47803,26.30615,31.43311,6.82373,16.19873,26.04248,9.28467,25.45654,5.76904,18.89404,32.48779,16.4917,12.7417,11.33545,21.41357,27.03857,16.60889,21.99951,24.34326,26.21826,13.89893,21.39893,10.14893,33.58643,20.93018,28.43018,11.78955,26.78955,19.28955,15.53955,24.91455,25.85205,29.60205,22.5708,17.8833,22.21924,21.75049,20.81299,15.42236,22.92236,17.76611,7.39502,20.98877,15.36377,22.86377,27.31689,20.75439,19.34814,9.38721,33.76221,15.01221,5.16846,25.79346,16.18408,23.21533,16.65283,34.43604,27.87354,25.29541,16.9751,18.38135,13.69385,11.11572,22.36572,16.27197,14.45557,28.51807,23.12744,21.25244,5.78369,7.07275,16.9165,9.4165,30.0415,19.49463,26.99463,25.5481,14.76685,21.56372,27.65747,17.34497,7.61841,32.93091,28.94653,16.81763,18.69263,8.38013,7.677,14.12231,32.87231,31.70044,24.20044,9.20044,27.95044,22.32544,22.06177,28.62427,15.49927,11.74927,5.77271,17.96021,5.06958,7.82349,29.38599,32.43286,24.93286
L3,,in,7.01379,8.53174,6.9375,10.6875,8.03125,2.79688,10.92188,6.03906,4.94531,7.44531,3.77344,9.24219,4.45703,2.42578,7.34766,9.84766,2.03516,3.91016,8.87109,8.71484,1.91797,2.85547,9.88672,10.51172,8.60742,7.66992,6.41992,5.0918,9.81836,2.31836,6.53711,6.84961,10.93164,8.43164,5.15039,10.38477,2.41602,9.7207,1.43945,10.67285,9.18848,5.00879,7.19629,4.54004,8.52441,9.77441,3.99316,1.90332,9.87207,1.35645,6.2002,1.5127,2.80176,3.50488,1.99121,3.39746,3.94434,9.45215,10.2334,8.43652,9.06152,7.81152,9.53027,3.26074,7.01074,6.69824,8.49512,4.90137,5.83887,1.46387,4.31543,9.39355,6.89355,8.76855,7.51855,2.83105,6.58105,4.08105,3.78564,4.09814,8.31689,3.31689,8.23877,7.30127,6.67627,10.30908,2.57471,9.29346,7.55518,10.83643,7.08643,10.52393,4.8208,3.10205,5.64111,1.89111,3.76611,8.53174,9.65479,6.29541,3.17041,8.01416,3.83447,4.06885,3.13135,2.50635,7.9751,1.354,7.604,6.19775,4.24463,6.11963,9.75244,7.79932,3.58057,2.95557,8.53662,6.03662,7.28662,8.84912,9.94287,2.44287,1.5835,6.5835,9.0835,5.3335,10.9585,9.396,8.146,3.92725,6.11475,3.57568,4.35693,1.54443,6.31006,8.81006,5.21631,3.51709,9.29834,9.92334,7.42334,10.00146,5.31396,7.03271,5.74365,3.86865,5.11865,9.9624,8.0874,10.35303,6.75928,4.57178,4.83545,10.14795,2.88232,2.21826,4.24951,9.56201,5.42139,4.17139,10.89014,4.07373,10.01123,6.33936,10.71436,2.12061,5.05029,3.95654,6.45654,2.08154,6.06592,8.56592,8.09839,3.56714,8.95776,5.36401,1.92651,4.30933,7.12183,9.8562,10.73511,6.36011,7.92261,3.15698,10.07104,8.82104,5.46167,7.96167,2.96167,9.21167,4.83667,2.77612,8.71362,3.08862,4.33862,9.37769,10.31519,3.04956,5.99878,5.06128,2.9519,10.4519
L4,,in,11.80798,7.65088,3.9375,5.1875,6.28125,8.85938,4.48438,9.52344,10.61719,8.11719,12.72656,6.00781,4.46484,6.49609,10.79297,3.29297,5.48047,3.60547,7.47266,11.69141,10.05078,10.98828,4.26953,11.14453,8.04883,10.86133,4.61133,6.25195,9.10352,11.60352,3.63477,8.32227,5.5293,8.0293,12.56055,5.13867,5.60742,8.30273,12.52148,9.74316,6.22754,12.8291,10.6416,5.79785,8.21973,6.96973,9.62598,7.41895,11.9502,12.65332,11.55957,4.99707,4.80176,7.69238,6.82324,5.72949,8.46387,3.26855,11.2373,5.22168,12.09668,10.84668,11.62793,12.8584,9.1084,12.5459,6.84277,7.93652,11.99902,5.12402,6.41309,3.52246,11.02246,12.89746,11.64746,5.08496,6.33496,3.83496,10.01416,11.57666,6.10791,11.10791,8.84229,3.52979,4.15479,9.11572,10.6001,5.44385,7.29932,12.45557,11.20557,9.01807,4.87744,10.65869,12.729,11.479,12.104,7.65088,7.17236,12.09424,7.71924,5.37549,12.7583,12.05518,6.74268,9.86768,4.08643,6.87939,3.12939,6.09814,11.80127,6.17627,8.48096,5.27783,5.12158,11.99658,11.09326,3.59326,12.34326,9.53076,12.18701,9.68701,12.73389,7.73389,10.23389,11.48389,9.60889,4.29639,3.04639,12.89014,11.32764,7.06982,6.60107,3.16357,5.1167,12.6167,5.27295,4.97998,8.26123,8.88623,6.38623,5.99561,9.43311,4.90186,7.28467,7.90967,9.15967,9.94092,8.06592,3.14404,7.98779,6.42529,7.31396,8.25146,8.17334,5.0874,6.49365,9.93115,6.88428,8.13428,6.10303,6.74756,6.43506,3.07568,11.20068,10.10693,12.41162,10.38037,12.88037,8.50537,6.0835,8.5835,10.28394,4.81519,4.11206,10.20581,3.01831,5.40112,3.83862,10.0105,9.71753,7.84253,3.15503,9.17065,7.88159,9.13159,10.45972,12.95972,7.95972,11.70972,6.08472,10.23511,7.42261,4.29761,3.04761,7.85229,3.16479,3.24292,4.82495,10.13745,8.96558,11.46558
L5,,in,28.0979,14.67871,12.125,19.625,14.3125,28.84375,17.59375,21.10938,25.17188,10.17188,23.76563,10.95313,22.24219,25.67969,23.02344,28.02344,18.64844,17.39844,16.69531,27.63281,27.47656,21.85156,27.16406,23.41406,11.83203,18.70703,21.20703,12.61328,15.03516,20.03516,16.59766,24.72266,16.01172,11.01172,28.82422,14.60547,21.79297,21.71484,14.52734,22.19336,22.66211,16.80273,27.42773,16.49023,26.95898,9.45898,27.27148,24.73242,25.04492,19.57617,19.88867,28.01367,21.06055,11.8418,26.54883,18.11133,16.70508,13.6582,28.9707,18.81445,20.06445,12.56445,22.25195,14.08789,11.58789,25.96289,12.05664,13.61914,20.49414,16.74414,18.22852,16.82227,11.82227,13.07227,20.57227,27.44727,19.94727,14.94727,18.07715,19.95215,19.63965,9.63965,11.0459,22.9209,9.1709,28.31152,25.34277,12.53027,10.69434,19.75684,12.25684,17.88184,13.03809,15.85059,21.39746,13.89746,12.64746,14.67871,23.40918,24.19043,27.94043,9.50293,9.58105,26.6123,27.2373,23.4873,11.2998,11.33887,18.83887,10.40137,17.12012,28.37012,26.41699,19.07324,12.51074,26.26074,12.50098,17.50098,20.00098,25.62598,23.43848,18.43848,27.96973,17.96973,12.96973,15.46973,19.21973,21.09473,13.59473,24.53223,28.90723,23.36035,20.54785,18.67285,20.3916,25.3916,13.8291,27.54004,14.72754,28.47754,23.47754,17.38379,10.50879,10.82129,23.86816,10.11816,27.61816,26.68066,27.93066,19.64941,28.08691,24.96191,22.16895,25.29395,12.3252,25.21582,9.27832,18.65332,17.87207,20.37207,18.80957,19.39551,11.27051,21.73926,15.48926,9.55176,19.47363,27.28613,12.28613,28.53613,14.00488,9.00488,13.24561,12.93311,25.90186,24.96436,24.33936,10.04248,13.16748,26.13623,23.67529,14.92529,9.30029,16.95654,27.81592,10.31592,14.84717,19.84717,9.84717,12.34717,11.09717,17.13232,22.75732,24.00732,16.50732,17.21045,11.58545,26.1167,22.40576,9.28076,28.18701,13.18701
L7,,in,18.87512,19.46729,13.1875,19.9375,14.03125,7.42188,24.29688,9.74219,10.58594,15.08594,9.88281,14.66406,12.02734,7.80859,20.88672,7.38672,20.32422,21.44922,21.66016,21.37891,7.45703,24.89453,18.42578,8.30078,18.51367,10.07617,7.82617,12.74805,9.16211,13.66211,22.94336,11.13086,14.89258,19.39258,10.67383,13.06445,21.7832,24.38477,15.10352,18.78613,21.17676,10.41895,16.60645,20.2627,22.65332,24.90332,11.68457,17.69629,11.22754,7.99316,17.27441,15.58691,21.00098,7.0791,10.96387,14.62012,15.04199,22.70605,11.1748,14.97168,9.34668,20.59668,23.12793,12.05371,23.30371,17.11621,16.69434,14.16309,20.35059,23.72559,9.03027,18.7334,14.2334,8.6084,24.3584,9.1709,20.4209,24.9209,16.54932,23.86182,12.33057,21.33057,15.00244,18.93994,11.06494,23.36963,23.229,10.01025,19.95947,21.92822,10.67822,20.24072,19.81885,19.5376,23.82666,8.07666,15.95166,19.46729,11.22314,9.11377,7.98877,24.58252,22.68408,17.19971,18.88721,8.76221,13.54346,23.28174,12.03174,15.68799,20.89111,10.76611,12.10205,19.27393,21.80518,16.18018,14.90576,19.40576,17.15576,8.71826,9.56201,14.06201,8.57764,17.57764,13.07764,24.32764,20.95264,17.01514,14.76514,18.42139,16.73389,13.14795,17.3667,16.8042,13.28857,17.78857,9.63232,19.37061,23.58936,15.71436,20.21436,11.63623,18.94873,7.97998,23.94092,13.81592,11.56592,22.53467,19.15967,17.05029,20.70654,23.51904,10.63428,22.44678,15.55615,22.23584,7.32959,23.64209,9.15771,11.40771,16.18896,12.63818,17.70068,13.62256,7.99756,8.84131,20.44287,16.22412,20.72412,24.09912,17.2085,12.7085,21.56567,14.53442,20.0188,14.67505,12.98755,7.57349,9.26099,13.05786,12.38989,9.01489,23.07739,9.99927,13.44458,15.69458,11.05396,15.55396,24.55396,17.80396,16.67896,12.5481,11.9856,17.6106,15.3606,14.58716,17.39966,10.50903,13.427,16.2395,20.31763,24.81763
L8,,in,7.35535,9.08447,9.0625,10.3125,5.46875,13.20313,12.57813,8.00781,13.16406,5.66406,12.77344,9.17969,10.44922,9.98047,12.08984,14.58984,9.90234,14.27734,5.87891,13.22266,9.55078,7.36328,7.20703,14.08203,14.4043,6.5918,10.3418,8.70117,6.70898,14.20898,5.61523,14.05273,9.0332,6.5332,12.93945,5.83008,14.73633,5.40039,13.99414,7.6709,11.81152,13.49121,8.17871,9.27246,12.00684,5.75684,14.66309,5.30762,7.96387,11.47949,13.82324,8.51074,10.1123,5.65918,13.14941,10.49316,14.63379,13.65723,8.18848,9.67285,7.79785,11.54785,9.2041,8.24707,9.49707,7.93457,10.98145,8.0127,11.4502,10.8252,12.27051,10.47363,12.97363,8.59863,12.34863,5.16113,6.41113,13.91113,7.97119,9.53369,7.18994,12.18994,10.54932,8.98682,5.86182,10.979,5.74463,9.02588,5.60791,8.57666,12.32666,8.88916,10.21729,14.12354,13.2251,6.9751,11.3501,9.08447,5.81299,5.42236,14.79736,10.26611,9.60205,7.49268,7.18018,14.05518,7.96143,13.56689,14.81689,11.22314,12.70752,13.33252,8.05908,9.85596,13.44971,14.07471,7.20459,9.70459,13.45459,5.01709,8.92334,11.42334,10.40771,5.40771,7.90771,9.15771,7.28271,11.34521,7.59521,7.12646,13.06396,9.5874,8.49365,14.43115,14.97803,12.47803,8.57178,11.09131,7.18506,7.81006,5.31006,14.45068,7.88818,5.23193,6.2085,9.3335,13.0835,10.42725,6.05225,5.19287,14.41162,5.34912,6.58936,10.65186,5.57373,5.69092,10.84717,6.78467,10.14404,6.39404,12.80029,9.34326,9.65576,13.95264,13.32764,7.85889,7.27295,8.6792,11.1792,13.0542,5.63232,8.13232,8.83423,6.80298,6.2561,14.84985,14.53735,13.09204,7.15454,9.57642,12.72095,14.59595,12.40845,9.67407,13.46313,9.71313,5.26001,12.76001,7.76001,6.51001,13.38501,10.50415,13.31665,8.94165,10.19165,9.99634,7.18384,11.63696,10.36743,8.80493,12.32056,9.82056
A2,,deg,105.03082,174.79858,153.90625,163.28125,152.73438,165.03906,141.60156,121.97266,113.76953,170.01953,164.74609,121.38672,169.28711,114.20898,167.5293,148.7793,137.06055,151.12305,116.25977,108.05664,144.9707,137.93945,132.08008,174.26758,173.16895,114.5752,105.2002,110.47363,156.46973,100.21973,141.23535,152.9541,170.67871,151.92871,129.66309,104.46777,164.2334,107.69043,160.4248,146.83838,168.51807,120.17822,145.95947,163.5376,152.40479,143.02979,109.04541,168.95752,109.19189,139.07471,112.12158,100.40283,116.51611,148.74268,131.09131,160.38818,130.50537,128.45459,124.93896,125.5249,148.9624,158.3374,152.47803,165.22217,137.09717,162.87842,102.52686,134.16748,122.44873,155.26123,126.25732,103.40576,122.15576,145.59326,173.71826,161.99951,133.87451,152.62451,134.80835,165.2771,112.54272,150.04272,172.89429,156.48804,133.05054,153.26538,110.49194,137.44507,100.67749,174.50562,146.38062,125.28687,143.45093,156.34155,144.91577,173.04077,112.10327,174.79858,172.38159,127.2644,131.9519,130.78003,149.23706,174.43237,148.65112,115.83862,147.47925,153.77808,106.90308,108.07495,108.66089,122.72339,115.39917,140.59448,120.67261,153.48511,107.37915,126.12915,135.50415,151.9104,155.42603,136.67603,111.48071,148.98071,167.73071,120.85571,125.54321,165.38696,156.01196,166.55884,140.77759,124.07837,120.56274,118.21899,157.47681,138.72681,102.39868,104.01001,145.02563,112.21313,130.96313,173.73657,162.01782,111.6272,165.24048,132.42798,123.05298,166.41235,114.84985,144.73267,120.12329,113.09204,137.77466,149.49341,138.3606,144.51294,173.80981,162.09106,102.91138,112.28638,148.6145,107.15942,104.81567,141.72974,137.04224,107.74536,126.78833,125.61646,144.36646,139.67896,169.56177,150.81177,131.46667,146.70105,129.70886,119.16199,107.44324,118.86902,111.83777,111.25183,143.33191,129.26941,136.30066,150.9491,158.85925,168.23425,147.72644,128.97644,166.47644,100.85144,114.91394,116.59851,133.00476,100.19226,128.31726,173.14148,166.11023,159.66492,151.02234,143.99109,104.73328,160.98328
