,H,L1,L2,L3,L4,L5,L7,L8,A2,D,T,D2,T2,D3,CrossMat,FrameMat,Mass1,Minimum Factor of Safety1,Center_Y,Center_Z,Leg_Displacement,Handle_X,Handle_Y,Handle_Z
2778,37.17953,13.81381,28.56293,9.03741,7.80194,13.38416,13.57806,13.68988,151.70212,0.58022,0.28643,0.2158,0.17491,0.94391, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,45.12,10.2,21.89,0.93,0.0106,0.0223,0.00619,-0.00108
3435,35.44067,15.74878,12.72705,3.771,6.17139,14.84473,20.39014,14.47021,160.69946,0.31909,0.15452,0.25171,0.06809,0.51267,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,7.27,0.568,20.88,0.9,0.056,0.477,0.0465,-0.0333
1158,38.04443,18.91943,19.37012,9.73535,4.43066,22.81836,23.84863,13.6084,106.99463,0.62158,0.2854,0.56885,0.26606,0.59077, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,20.99,5.05,23.57,2.62,0.016,0.0521,-0.00605,-0.00342
2337,39.488,17.48462,33.3667,10.729,5.00439,17.58887,10.90674,9.19189,158.46558,0.12485,0.25105,0.16646,0.12537,0.4303, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,16.85,7.06,22.77,0.54,0.291,0.00529,-0.146,-0.017
4017,38.89478,18.07788,11.46729,3.7417,5.90771,13.73145,14.29053,9.55811,110.82153,0.30913,0.33821,0.57808,0.17971,0.26316, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,24.11,37.2,22.32,1.16,0.000974,0.0134,9.21e-05,-0.000858
1018,37.20343,17.93451,27.22351,8.73865,3.13977,14.08667,24.65613,7.32239,122.14203,0.42994,0.20544,0.18224,0.15904,0.73386, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,12.48,2.6,24.77,3.56,0.141,0.0938,-0.0657,-0.0128
584,37.31934,19.93457,13.17383,10.05273,8.08789,22.37891,12.67773,8.81836,144.16504,0.44668,0.13877,0.09277,0.29229,0.27666, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,6.62,6.72,20.43,1.47,0.0803,0.00447,-0.0387,-0.0142
1135,38.05762,17.79004,33.68164,4.70117,6.64258,18.39453,17.10742,8.93555,157.93457,0.46777,0.29697,0.2498,0.13877,0.87002, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,15.46,17.5,22.91,1.44,0.13,0.0163,-0.0642,-0.00842
3188,33.90424,19.12433,23.91663,8.50793,8.20447,17.84399,21.49426,13.7323,121.6568,0.24178,0.31695,0.30565,0.0914,0.61876, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,29.23,2.36,20.03,1.09,0.0361,0.139,-0.0144,-0.00499
4122,35.40002,13.11096,9.3396,6.85571,3.6604,11.45361,11.63843,7.86011,165.83557,0.62781,0.26639,0.35754,0.06476,0.39193, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,21.44,8.28,20.5,0.57,0.000194,0.00332,0.000204,-0.000742
3478,32.30408,21.2782,9.25903,4.5437,5.948,10.51123,10.24536,12.38892,155.78308,0.39153,0.08688,0.24285,0.09867,0.34117,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,3.79,1.95,17.94,0.48,0.071,0.259,0.0544,-0.058
3980,33.41479,20.76294,28.18115,9.15674,8.27588,10.92871,7.09229,12.20947,132.61108,0.59536,0.14177,0.46704,0.0741,0.33254, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,9.98,4.82,19.84,0.95,0.033,0.0573,0.0196,-0.00744
3903,38.90137,18.63379,19.61914,6.26367,8.20508,10.26953,8.66992,7.99805,118.09082,0.52402,0.0626,0.26855,0.05439,0.58564, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,4.57,0.468,22.41,1.72,0.0,2.09,-0.0147,-0.318
907,34.71503,17.0567,28.58215,9.68713,5.87781,28.21997,24.36389,14.63318,141.08429,0.21381,0.26224,0.13295,0.15695,0.48904, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,10.65,3.26,22.56,3.91,0.561,0.316,-0.268,-0.0701
486,39.447,13.98602,16.83044,4.80066,3.62561,10.65405,9.02478,5.9137,164.82391,0.45587,0.13842,0.1651,0.23763,0.62807, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,5.19,8.11,21.63,0.36,0.043,0.00628,-0.0209,-0.00571
2614,33.8515,17.34894,20.10803,10.16809,9.66931,23.58618,23.00598,13.20496,139.67438,0.61561,0.27418,0.14042,0.12949,0.6584, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,42.47,18.8,19.76,1.63,0.0286,0.062,-0.0118,-0.00488
1056,32.27057,13.01483,10.89783,5.80164,9.90002,10.39038,21.02185,14.64905,141.78925,0.58156,0.24638,0.63239,0.11151,0.45478, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,14.4,9.54,19.19,2.39,0.00905,0.108,0.00797,-0.00795
