Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
H,,in,38.4317,38.18835,35.5,35.78125,32.82813,36.27344,34.72656,39.789,31.63281,38.38281,35.00781,34.48047,31.66797,36.44922,37.57422,35.46484,36.23828,37.64453,39.473,38.91016,35.53516,38.22461,35.41211,39.13867,32.5293,31.12305,34.04102,34.5332,31.43945,36.36133,37.21387,31.2373,35.87793,37.31934,33.24121,34.71777,33.15332,31.74707,37.72363,31.39551,34.77051,35.33301,31.36035,36.00098,34.31348,37.33691,36.21191,36.49316,39.868,37.20068,36.07568,33.12256,39.02881,32.34912,38.25537,39.626,37.51709,31.89209,38.37842,36.40967,39.22217,39.15186,36.90186,37.18311,38.72998,38.44873,36.72607,35.31982,34.89795,33.42139,32.29639,32.85889,39.32764,35.95264,32.43701,35.53076,39.459,36.08447,38.82666,33.20166,36.18994,35.48682,39.07275,34.2915,33.5708,36.59424,39.934,31.14502,39.02002,38.45752,31.84814,32.97534,33.67847,32.34253,33.36206,38.84644,32.37769,33.43237,35.96362,37.24683,31.62183,33.44995,39.14526,35.91089,36.75464,33.06323,33.76636,39.673,32.92261,32.00854,33.55542,31.02417,36.3064,33.10718,37.04468,33.17749,34.72437,38.57397,39.558,37.69507,36.85132,37.90601,32.56226,31.01538,39.73,34.80786,37.62036,35.65161,33.75317,35.61646,32.52271,39.13208,35.68677,34.84302,32.45239,37.79614,33.1731,31.41528,33.94653,37.88403,39.25513,38.27075,34.26294,33.13794,36.2229,35.16821,34.04321,34.46509,35.90649,35.48462,35.20337,39.914,38.34985,37.5061,39.686,34.06079,35.60767,37.54126,38.03345,34.3783,38.3158,38.59705,37.26111,33.32361,37.85876,35.74939,35.39783,37.64783,39.757,38.93103,35.83728,34.64197,38.57947,31.54822,35.34509,31.12634,31.09119,31.65369,33.62244,34.60681,32.2865,38.05212,34.26404,32.01404,37.4281,38.69373,36.61951,32.04919,38.21912,34.63318,32.38318,31.53943,35.30115,38.46521,39.871,33.82458,33.82898,33.54773,38.18835,34.25085,33.9696,37.55554
L1,,in,15.59003,13.98767,17.5,13.28125,18.48438,13.77344,15.32031,14.75781,16.16406,13.91406,15.03906,14.86328,18.80078,19.08203,13.45703,17.53516,15.35547,16.76172,21.40234,14.08984,17.46484,17.3418,19.0293,21.77148,21.91211,20.50586,20.54102,14.56445,19.9082,17.23633,18.07129,14.34473,20.9541,19.93457,13.04395,16.06738,14.53809,13.13184,13.06152,14.0459,17.4209,17.9834,20.97168,19.14355,14.08105,20.76074,17.38574,21.60449,18.22949,19.20068,13.57568,17.09131,15.68506,18.84912,20.25537,15.36865,20.00928,21.13428,19.18311,21.15186,17.21436,18.40967,16.15967,20.37842,17.98779,13.20654,16.75732,15.91357,16.89795,21.32764,17.95264,17.39014,15.42139,14.29639,20.06201,16.40576,14.69189,15.81689,17.43408,18.55908,13.18018,18.66455,21.54736,19.01611,13.83057,19.80713,16.32666,16.81885,17.94385,20.75635,20.61572,17.79224,20.46411,18.28442,19.93677,21.48364,16.70239,18.74146,16.77271,21.99341,20.86841,14.25903,18.96997,17.9856,18.82935,18.72388,21.95825,18.8645,21.1145,16.54419,18.37231,20.34106,13.21313,18.52173,21.33423,21.82642,13.24829,19.52368,20.50806,19.13696,20.54321,14.00415,17.0979,18.08228,18.91284,13.70972,18.77222,17.36597,14.06128,21.05737,15.71362,15.573,17.61206,21.26831,21.12769,18.03394,16.22339,16.8562,20.51245,18.82495,17.03198,14.07886,19.91479,18.78979,20.18726,17.72632,14.35132,19.55444,14.59741,21.48804,17.26929,20.7146,19.7478,16.09155,17.28687,16.16187,14.33374,13.10327,15.00171,13.86023,20.04773,15.26648,13.08679,13.64929,16.84851,16.42664,15.93445,13.68445,14.10632,21.15515,13.5614,13.06921,20.38171,21.22546,19.39734,19.11609,15.91687,18.72937,13.94812,21.96375,18.23718,14.72156,15.67957,17.92957,17.99988,18.98425,16.1366,17.05066,15.38074,15.31042,17.56042,18.96667,13.37683,19.91589,21.32214,17.80652,14.40955,15.8158,13.98767,16.80017,21.01892,21.22986
L2,,in,10.04822,33.35571,20,32.1875,24.21875,12.73438,14.14063,19.76563,11.32813,33.82813,22.57813,17.30469,19.17969,21.99219,18.24219,13.08594,21.28906,5.35156,31.13281,18.00781,29.25781,34.47266,10.09766,33.76953,24.86328,8.92578,17.48047,27.08984,18.65234,25.68359,21.49414,10.47852,10.94727,13.17383,15.51758,30.75195,11.47461,27.41211,10.77148,7.49023,26.24023,5.61523,15.57617,10.41992,16.04492,21.9043,18.1543,7.8418,26.5918,5.30762,31.55762,8.58887,5.77637,12.57324,6.01074,34.25293,9.40918,13.15918,5.60059,10.28809,12.16309,9.58496,17.08496,6.77246,32.55371,20.36621,30.7959,27.9834,20.01465,21.65527,10.40527,23.53027,20.71777,9.46777,25.87402,26.81152,8.55957,27.30957,31.7627,28.0127,18.98926,28.83301,7.50488,25.31738,5.21973,5.4541,32.75879,22.21191,25.96191,31.58691,27.36816,23.90381,13.12256,6.32568,6.91162,27.06787,13.00537,16.521,28.7085,32.98584,21.73584,21.26709,17.75146,14.47021,30.40771,29.35303,10.13428,22.32178,14.82178,15.99365,15.5249,18.3374,20.88623,11.15967,5.53467,13.26904,12.80029,16.25732,18.60107,32.07764,12.39014,7.93701,14.49951,10.28076,26.08643,19.05518,5.93018,12.49268,7.10205,5.34424,6.28174,15.18799,18.23486,11.67236,21.51611,28.07861,8.80127,5.28564,23.09814,24.97314,17.82471,19.23096,29.30908,18.05908,29.74854,18.73291,22.48291,10.76416,11.3501,14.63135,11.81885,14.86572,27.58057,6.01807,14.68994,10.93994,26.40869,27.69775,15.27588,31.1731,6.7981,17.1106,9.84497,26.71997,18.86841,27.77466,27.07153,19.57153,28.47778,34.16138,10.72388,6.27075,30.64575,27.83325,9.552,16.1145,7.09106,23.96606,11.77856,13.18481,20.45044,12.48169,14.32739,6.82739,20.18677,27.21802,13.27271,12.56958,30.32349,15.08911,7.58911,23.52661,11.22192,14.2688,28.3313,11.92505,16.01196,20.69946,33.35571,27.73071,24.91821,22.34009
L3,,in,2.66687,10.61304,6,8.1875,2.09375,2.17188,5.76563,7.64063,2.95313,5.45313,1.70313,9.16406,7.28906,1.97656,10.72656,1.82031,10.33594,3.14844,4.86719,2.99219,1.74219,7.11328,7.73828,2.50391,10.47266,2.66016,6.21484,4.41797,4.10547,3.01172,1.88867,10.0918,10.87305,10.05273,10.52148,7.78711,3.90039,6.71289,7.57227,3.04102,1.79102,3.66602,7.5332,6.43945,7.06445,4.79883,6.04883,8.23633,6.98633,6.92285,5.67285,6.1416,7.7041,6.37598,1.68848,5.08691,3.36816,4.61816,10.96582,1.27832,5.65332,6.04395,3.54395,5.73145,7.4502,7.1377,5.92676,4.36426,7.64551,1.62988,2.87988,4.75488,3.81738,5.06738,7.41113,10.84863,5.42871,4.17871,5.03809,8.78809,7.26465,6.7959,2.18652,1.87402,2.94824,10.37012,4.62793,10.64355,4.39355,10.01855,2.9873,10.34814,3.00439,3.86377,4.37158,1.71533,9.52783,6.94971,9.76221,2.24268,5.99268,3.64893,3.5708,10.60205,2.78955,4.39111,6.42236,6.10986,8.60986,5.71924,3.68799,8.37549,4.73291,3.20947,10.08447,10.63135,8.9126,9.40088,7.05713,4.59619,3.03369,5.61182,10.29932,7.01807,1.34912,5.56787,4.94287,10.25537,10.646,7.95068,10.13818,3.41943,5.99756,10.06006,6.46631,1.77881,7.73584,9.22021,5.78271,7.65771,9.80615,7.7749,2.22803,3.47803,7.02295,4.44482,8.19482,7.41357,7.84326,10.49951,8.93701,1.67139,8.44873,7.51123,6.65186,10.40186,3.99561,4.42529,3.72217,7.47339,6.84839,7.78589,9.42651,2.55151,3.05933,4.46558,10.4812,7.9812,9.69995,5.26636,5.57886,2.37573,1.75073,3.31323,10.03198,7.84448,3.35229,5.22729,8.66479,7.88354,1.71167,2.49292,7.54175,5.04175,4.65112,10.11987,1.87769,10.54956,3.49878,1.23315,8.73315,2.17065,4.24097,8.69409,2.13159,10.10034,7.95679,9.51929,10.61304,2.48804,2.17554,3.81616
L4,,in,11.99963,5.61108,8,12.6875,6.59375,8.23438,6.82813,11.20313,10.89063,3.39063,4.64063,8.89844,5.77344,10.46094,4.21094,3.74219,12.41406,4.60156,11.63281,12.25781,3.50781,9.30859,9.93359,8.13672,12.66797,4.85547,4.19141,7.55078,12.23828,8.64453,12.58008,11.25195,12.0332,8.08789,10.11914,12.38477,3.81055,10.99805,7.32617,9.98242,6.23242,6.85742,5.49023,7.52148,8.14648,6.81836,10.56836,10.25586,6.50586,8.49316,4.74316,10.21191,4.89941,3.41504,3.72754,8.53223,7.75098,6.50098,10.23145,8.04395,6.16895,4.21582,6.71582,4.52832,5.30957,5.62207,4.17676,8.86426,7.14551,5.81738,9.56738,8.94238,3.62988,12.37988,4.09863,5.66113,4.63574,10.88574,10.80762,9.55762,10.45605,7.1748,6.47168,4.90918,8.7959,6.21777,5.47559,12.27246,8.52246,4.14746,7.11621,10.32666,9.54541,10.71729,6.92822,6.77197,5.83447,6.2251,12.1626,8.86182,10.11182,3.39307,11.12744,8.15869,6.59619,3.979,3.19775,7.26025,9.76025,8.58838,4.99463,3.43213,4.90674,4.6333,9.0083,4.24268,9.39893,9.45752,10.86377,9.88721,12.69971,11.84033,12.77783,12.30908,12.03076,9.06201,7.18701,8.12451,10.54639,5.19482,6.75732,3.78857,3.5542,3.8667,9.02295,8.08545,5.44873,8.96436,8.65186,4.27686,7.59717,4.00342,6.26904,10.01904,6.37646,10.98584,7.23584,4.89209,9.4624,5.24365,5.55615,5.63428,3.62256,8.93506,9.01318,10.26318,8.23193,11.78662,10.92725,5.90894,6.53394,4.34644,5.51831,3.64331,4.15112,8.68237,5.6355,8.1355,3.60425,4.24878,8.31128,9.6394,10.2644,4.9519,4.79565,8.23315,3.35034,5.22534,4.91284,4.44409,9.20972,5.92847,8.43823,10.93823,7.11011,5.39136,5.35229,5.74292,12.32495,5.99683,3.49683,11.30933,5.72339,4.70776,12.52026,7.05151,5.76733,3.57983,5.61108,12.48608,8.42358,9.43921
L5,,in,13.22241,26.0874,19,24.625,26.1875,15.09375,21.03125,9.78125,11.65625,16.65625,24.15625,19.85938,18.60938,22.98438,20.48438,13.92188,11.89063,15.01563,12.20313,13.45313,25.95313,11.30469,22.55469,14.58594,21.77344,24.89844,22.63281,22.47656,9.35156,18.41406,24.01953,22.61328,19.80078,22.37891,20.19141,19.09766,11.32422,18.19922,22.73047,28.04297,10.54297,9.29297,22.33984,24.52734,20.77734,19.99609,22.49609,26.87109,9.37109,9.69336,12.19336,12.50586,13.13086,14.53711,17.66211,18.83398,11.02148,23.52148,10.35742,20.98242,17.23242,28.95117,13.95117,18.32617,17.38867,11.76367,19.81055,20.43555,17.62305,13.0918,25.5918,24.3418,26.2168,13.7168,17.7793,20.9043,23.42383,15.92383,10.14258,17.64258,13.0332,28.3457,11.31445,26.93945,23.46289,13.30664,20.10352,19.32227,26.82227,25.57227,12.75977,27.45215,27.76465,17.2959,13.93652,9.87402,12.99902,26.59277,27.21777,26.31934,18.81934,14.13184,25.53809,20.85059,28.97559,18.89746,16.70996,21.08496,26.08496,19.05371,23.74121,13.11621,22.31543,28.33105,17.08105,12.2373,10.6748,20.55762,16.49512,16.72949,13.60449,27.19824,24.07324,14.38574,10.62598,17.18848,13.43848,14.06348,18.59473,24.61035,12.73535,24.92285,11.0166,12.8916,11.3291,13.2041,14.10254,22.69629,13.32129,22.07129,20.74316,16.05566,28.39941,10.89941,11.54395,17.9502,15.4502,20.1377,28.96582,16.77832,12.40332,25.37207,28.14551,16.27051,9.86426,22.36426,10.80176,13.22363,28.06738,16.99561,25.74561,21.37061,9.33936,18.08936,22.54248,19.10498,19.88623,24.88623,27.07373,11.48779,23.36279,14.14404,27.89404,27.26904,28.20654,15.08154,10.62842,9.37842,21.25342,10.94092,27.34717,12.65967,19.16357,14.16357,20.88232,26.19482,22.21045,11.1167,27.40576,12.87451,27.87451,20.99951,26.23389,27.32764,19.20264,19.51514,27.6499,23.2749,26.0874,14.8374,9.2124,28.11865
L7,,in,10.4574,7.8811,16,15.4375,19.09375,17.54688,7.14063,24.01563,18.95313,14.45313,16.70313,13.11719,7.49219,15.92969,9.17969,13.96094,22.82031,15.50781,15.78906,7.91406,10.16406,15.12109,22.99609,10.48047,19.76172,10.19922,7.87891,20.95703,9.14453,12.80078,9.79492,21.74805,8.5293,12.67773,17.45898,20.69336,8.42383,16.86133,12.50195,13.9082,11.6582,10.5332,21.57227,24.10352,11.72852,20.58789,18.33789,13.27539,15.52539,12.03613,9.78613,16.25488,21.31738,21.73926,16.67676,8.59082,8.30957,24.05957,17.13379,9.82129,15.44629,23.18066,18.68066,13.61816,19.52441,12.21191,19.87598,24.93848,10.59473,14.9541,12.7041,9.3291,14.3916,12.1416,8.48535,7.92285,19.40137,17.15137,12.51074,23.76074,23.26855,7.2373,21.72168,20.03418,10.36621,24.56934,15.21777,16.4834,9.7334,10.8584,19.57715,12.61182,18.51807,18.37744,17.18213,9.58838,7.90088,24.354,21.5415,20.52197,9.27197,19.11572,17.56885,24.0376,14.4751,21.57666,9.48291,12.29541,16.79541,21.15479,11.87354,24.81104,16.42627,17.05908,15.93408,23.38721,14.10596,10.48486,23.70361,11.8208,21.3833,10.83643,14.77393,12.24268,13.21826,8.43701,18.56201,12.37451,19.26514,16.52295,18.21045,8.9292,22.85107,20.03857,11.88232,9.06982,21.90186,18.66748,14.72998,18.10498,18.87842,15.22217,13.67529,15.92529,16.82178,23.99365,17.24365,11.3374,21.11084,18.57959,13.51709,24.90771,16.01318,13.20068,16.43506,14.18506,14.46631,10.31787,18.61475,15.94067,23.81567,8.62817,8.48755,20.86255,23.32349,8.41724,23.18286,9.68286,22.33911,7.60864,21.67114,23.78052,15.90552,10.84302,22.37427,15.06177,22.72583,19.35083,14.28833,11.75708,22.30396,11.33521,18.03247,22.53247,9.1731,15.64185,10.08716,15.00903,17.927,13.28638,8.78638,16.09888,20.52856,20.38794,9.70044,16.16919,19.97485,10.41235,7.8811,24.7561,7.3186,11.11548
L8,,in,12.5885,6.65161,10,12.8125,5.78125,11.32813,12.42188,11.79688,12.73438,10.23438,8.98438,13.63281,14.25781,6.44531,7.69531,13.78906,13.71094,14.64844,11.05469,5.42969,11.67969,12.16797,12.79297,12.87109,6.46484,5.52734,10.72266,7.05078,13.61328,6.58203,6.12305,13.70117,14.48242,8.81836,8.03711,11.86523,9.18945,7.62695,12.39258,6.61133,10.36133,5.98633,5.08789,8.99414,12.11914,10.32227,14.07227,11.25977,5.00977,11.4209,12.6709,10.32715,5.63965,5.24902,9.31152,11.69434,12.78809,6.53809,8.74512,13.43262,14.05762,6.16699,13.66699,10.85449,7.57324,5.38574,5.7373,10.4248,14.95605,10.03418,6.28418,11.90918,6.59668,10.34668,10.50293,6.44043,5.33691,11.58691,10.72754,11.97754,13.34473,8.50098,8.42285,9.36035,9.18457,5.35645,10.08301,6.72363,5.47363,14.84863,5.62988,8.28369,10.00244,7.42432,8.1665,14.26025,5.82275,13.86963,14.18213,12.79541,6.54541,10.76416,6.46729,6.62354,5.06104,9.4751,11.50635,11.19385,13.69385,11.27197,5.80322,11.11572,6.35986,7.72705,8.35205,14.68018,7.64893,12.23877,7.39502,9.77783,11.34033,8.29346,7.35596,14.38721,12.51709,7.04834,13.92334,8.61084,5.09521,12.7124,9.2749,10.05615,9.66553,6.22803,7.32178,8.25928,7.49756,9.91943,8.98193,9.60693,9.646,14.48975,12.06787,5.81787,11.27686,13.38623,12.13623,11.35498,13.81592,12.09717,14.90967,8.89404,13.71826,7.15576,5.51514,14.26514,13.48389,7.89795,6.72607,11.95923,12.58423,10.39673,7.03735,10.16235,6.84204,5.43579,11.45142,13.95142,12.54517,9.1272,10.0647,8.58032,6.70532,12.01782,9.04907,6.23657,7.05688,11.43188,12.36938,9.40063,14.01001,9.16626,10.11353,7.61353,12.37915,11.9104,12.49634,9.13696,12.86743,7.16431,14.66431,13.72681,6.26587,7.28149,5.71899,8.68774,10.87036,8.05786,6.65161,7.27661,9.46411,11.57349
A2,,deg,109.92889,118.90564,137.5,144.53125,155.07813,132.22656,140.42969,163.86719,128.71094,109.96094,119.33594,145.41016,131.34766,171.19141,105.56641,165.33203,162.40234,113.18359,135.44922,149.51172,140.13672,149.36523,107.17773,166.35742,115.9668,160.49805,126.80664,163.7207,166.06445,118.01758,113.40332,147.97363,153.83301,144.16504,138.30566,150.61035,120.28809,155.44434,134.93652,122.0459,131.4209,154.8584,119.40918,122.9248,165.1123,162.18262,115.30762,112.96387,103.58887,174.96338,109.33838,169.104,129.26025,142.73682,112.26807,154.74854,169.98291,141.85791,147.86377,136.14502,140.83252,150.79346,132.04346,134.38721,102.74658,105.09033,168.07861,128.23486,117.68799,134.68018,125.30518,139.36768,104.21143,113.58643,156.9458,154.60205,147.49756,138.12256,129.3335,157.4585,116.73584,103.84521,172.3999,127.86865,134.75342,163.46436,170.78857,112.78076,140.90576,154.96826,132.70264,137.1521,100.82397,140.08179,113.42163,168.49976,138.03101,105.80444,122.21069,145.20874,173.33374,129.97437,152.82593,100.09155,172.7478,154.29077,157.8064,132.02515,113.27515,130.26733,173.62671,110.34546,148.35815,125.79956,102.36206,129.90112,173.2605,107.48901,134.44214,111.88354,165.78979,133.56323,159.34448,155.82886,133.1604,150.73853,117.92603,106.20728,174.76196,110.01587,126.42212,141.65649,108.25806,148.10181,168.02368,123.49243,156.74438,160.84595,158.5022,144.4397,130.08423,103.1311,168.17017,158.79517,126.05591,121.95435,150.07935,106.71997,149.20044,126.93481,119.90356,131.03638,130.59692,123.56567,153.44849,162.82349,159.30786,168.97583,149.63989,173.65417,122.09167,124.43542,163.69324,149.63074,109.49402,131.75964,153.43933,172.18933,154.61121,102.31628,118.72253,154.46472,102.90222,138.05847,174.3866,106.41785,108.46863,160.03113,157.68738,151.828,157.10144,172.33582,157.0282,100.7782,158.78601,136.52039,116.89148,103.41492,169.77234,110.59265,166.84265,108.2489,130.8075,113.81531,163.03406,110.29968,138.82751,122.42126,118.90564,104.84314,102.49939,141.7572
