Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
H,,in,34.15582,38.09113,34.64471,31.7619,38.65253,39.479,36.1037,36.52557,37.43964,39.408,38.1076,32.83417,36.20917,39.865,36.17621,31.74652,35.40277,37.81097,34.15472,34.08441,32.11566,38.16254,34.18988,35.31488,38.12738,39.11176,32.85394,32.72211,34.12836,34.90179,38.27679,34.51508,34.58539,37.39789,38.80414,31.89594,37.52094,33.72406,38.78656,36.04437,33.33734,33.61859,36.00922,39.384,34.53265,37.34515,36.07953,37.20453,36.35638,36.21576,34.59857,34.87982,37.27045,36.70795,34.45795,37.83295,37.8681,37.3056,37.16498,38.85248,36.88373,35.68842,34.56342,34.28217,33.71967,33.29779,32.33099,36.33881,33.63177,34.3349,39.679,38.76459,36.37396,37.0683,38.12299,33.23627,39.705,36.8222,37.3847,38.5097,36.2597,35.97845,33.00775,39.33588,34.27338,37.57806,38.94916,34.73041,33.18353,32.26947,39.30072,33.25385,33.534,32.61993,34.44806,31.10822,34.48322,36.73322,32.23322,36.17072,35.32697,39.12384,31.24884,38.64923,35.76642,37.73517,36.04767,39.845,37.31329,32.25079,35.62579,37.70001,36.57501,38.54376,32.28595,39.598,34.11407,36.64532,39.18536,37.63849,33.2088,32.6463,38.97443,32.82208,39.853,36.61896,38.23615,34.43927,38.92169,32.17169,35.47638,31.53888,37.02325,38.1131,39.66,33.96466,36.49591,32.00031,37.3089,33.79327,33.44171,36.25421,35.26984,37.80109,37.25616,39.08429,34.6546,34.79523,38.45148,36.76398,37.85382,31.5257,33.42413,37.64288,35.95538,32.43976,36.64972,34.11847,36.86066,35.17316,39.954,39.533,37.31769,33.94269,36.89581,38.09113,33.2923,38.9173,34.9798,31.6048,35.75323,36.87823,36.31573,36.03448,33.32745,36.28058,36.77277,38.87994,35.36432,36.48932,35.64557,38.80963,33.64166,31.53229,37.71979,31.74323,35.39948,31.90143,35.41705,35.62799,37.84283,32.49908,35.87408,31.37408,39.671,38.1944,31.73444,36.79694,34.61725,39.68,33.211,39.399
L1,,in,20.15594,14.51556,18.53326,18.88483,18.7442,13.41803,16.79303,14.68365,19.11334,13.76959,17.74225,17.25006,16.12506,19.21881,14.7254,20.56134,15.21759,14.53204,20.43829,15.16486,17.13361,13.33673,17.73126,14.35626,21.66876,13.65314,13.30157,13.15216,21.30841,20.6756,21.8006,16.42169,13.25763,19.44513,16.35138,15.94708,17.07208,19.18146,20.86896,15.4549,19.7088,14.92755,19.56818,20.69318,17.24786,20.06036,18.79474,13.16974,17.93781,20.04718,17.02374,21.80499,13.50812,21.94562,19.69562,18.57062,16.42609,21.48859,15.44171,20.50421,20.22296,20.01202,14.38702,21.98077,13.54327,15.65265,16.6546,14.05304,13.80695,14.51007,17.60382,13.03351,13.45538,15.81964,16.03058,17.12042,19.65167,14.37823,20.56573,19.44073,17.19073,13.53448,18.19269,21.42706,15.23956,19.52863,21.95441,21.67316,13.37628,20.61847,13.58722,17.10284,17.08636,17.01605,21.65668,16.69965,13.32465,15.57465,20.07465,13.88715,16.9809,15.43402,18.80902,17.35004,18.8266,17.42035,14.60785,16.99847,15.02972,15.59222,16.71722,17.59613,14.22113,16.75238,20.33832,16.40082,13.16644,18.51019,13.72015,21.17328,19.83734,14.77484,14.91547,17.27094,19.23969,14.03656,17.76312,20.9975,21.01508,18.76508,17.42914,21.36664,13.06976,18.58929,17.88617,13.03461,20.06586,21.16888,20.64154,17.96967,19.16498,14.10248,19.58685,20.9931,21.57318,13.55756,14.33099,16.44037,15.03412,18.97162,14.92865,14.78802,20.34271,15.56146,13.87396,21.60834,15.11322,18.76947,16.16791,21.23041,20.94916,18.83978,18.38275,17.25775,18.80463,14.51556,18.75189,17.62689,21.56439,18.18939,17.6972,14.3222,17.1347,13.47845,21.66986,17.87299,16.95892,17.93671,19.48358,16.10858,14.13983,14.77264,16.98749,17.40936,19.09686,19.16718,15.51093,16.79413,20.0285,15.03632,13.24335,16.8996,15.7746,20.2746,18.44647,21.18866,13.56854,19.75604,14.4826,16.1701,18.13885,14.20135
L2,,in,28.84216,30.1239,29.75403,13.1134,7.95715,19.26575,30.51575,13.172,13.87512,29.81262,21.02356,5.32043,16.57043,25.00793,23.75549,14.61487,23.05237,12.32971,17.01721,19.59534,14.90784,29.43909,25.5719,14.3219,23.6969,31.66565,7.52502,15.05432,23.49182,27.4762,31.2262,17.74963,8.60901,17.98401,24.54651,19.33167,8.08167,19.80042,14.17542,11.59729,10.07385,12.88635,18.9801,30.2301,26.71448,28.58948,30.93323,12.18323,29.8053,14.33655,15.50842,10.82092,30.97717,17.85217,25.35217,29.10217,20.31311,22.18811,27.34436,25.46936,30.15686,25.70374,21.95374,24.76624,7.89124,20.54749,11.58264,17.91077,29.04358,21.07483,20.13733,21.77795,11.9342,10.0885,34.22913,29.65881,19.34631,6.45569,27.08069,8.33069,15.83069,20.51819,13.54553,29.01428,8.38928,14.24866,23.03772,18.35022,18.81897,10.14709,20.45959,19.99084,22.69714,13.08777,22.93152,18.82996,30.07996,7.57996,22.57996,13.20496,6.64246,23.98621,20.23621,5.06042,32.4823,29.6698,20.2948,17.01355,14.20105,19.82605,8.57605,23.45886,19.70886,15.02136,12.91199,11.03699,29.31824,11.50574,25.12878,25.59753,24.89441,8.01941,13.17566,19.3866,29.6991,20.79285,33.21472,6.49597,16.74988,24.24988,14.17175,16.04675,28.703,9.36707,32.33582,6.78894,24.60144,12.69226,18.66882,19.13757,22.6532,32.0282,15.62195,31.55945,8.06335,8.5321,7.82898,20.48523,12.04773,10.17273,27.86804,23.64929,10.75867,28.57117,22.94617,6.53992,14.53796,24.85046,9.14734,14.77234,26.95984,9.61609,9.73328,5.98328,17.70203,30.1239,30.1825,26.4325,20.8075,9.5575,16.82312,20.57312,29.94812,6.51062,8.73718,23.26843,14.12781,5.74158,24.96033,21.21033,14.64783,13.9447,28.35876,18.51501,24.14001,10.31189,31.87439,15.52673,6.62048,20.91736,21.03455,27.59705,23.84705,8.84705,10.2533,22.20642,12.33337,32.95837,24.75525,22.88025,10.69275,12.56775
L3,,in,5.44519,3.33826,2.57776,3.28088,10.31213,10.2926,9.0426,4.51135,9.90198,3.96448,6.81604,6.73792,10.48792,10.17542,6.71594,9.60657,8.66907,8.33704,4.27454,7.47766,4.66516,9.82141,7.36047,3.61047,5.48547,1.26672,5.5636,2.4679,3.4054,3.63977,2.38977,3.67883,6.41321,7.03821,6.10071,8.07336,9.32336,6.35461,4.47961,7.68274,10.2218,9.2843,3.19055,1.94055,8.58118,9.20618,7.17493,5.92493,10.88098,5.09973,10.80286,8.61536,3.77161,1.89661,4.39661,3.14661,7.48254,9.35754,1.70129,4.82629,2.63879,7.71692,1.46692,6.15442,9.27942,3.81067,1.6427,3.59583,4.33801,7.61926,10.43176,3.94739,2.54114,8.74231,2.57043,10.03137,7.21887,5.26575,3.39075,2.14075,9.64075,8.07825,10.48059,4.07434,5.94934,1.65247,2.70715,6.76965,7.8634,7.47278,9.66028,2.62903,7.63025,3.80212,1.77087,7.27869,6.02869,8.52869,3.52869,5.40369,10.09119,7.74744,1.49744,2.92322,4.40759,9.72009,5.34509,8.00134,3.93884,7.06384,10.81384,3.97791,7.72791,4.29041,8.74353,9.36853,2.33728,10.14978,10.35486,9.26111,2.93298,4.80798,8.08923,3.1283,4.0658,8.59705,2.89392,8.67517,7.24939,9.74939,8.26501,8.89001,1.23376,8.14783,6.74158,6.66345,10.10095,2.9574,3.15271,4.24646,1.35583,1.98083,2.76208,2.44958,6.57068,7.97693,4.1488,8.68005,8.99255,8.36755,1.60974,9.57849,3.56287,6.37537,3.25037,10.59412,7.90857,5.72107,5.95544,5.33044,9.39294,3.61169,1.69763,7.94763,10.29138,3.33826,4.45154,3.20154,10.07654,8.82654,9.37341,3.12341,6.24841,10.31091,7.6156,1.83435,8.78748,6.89539,9.23914,5.48914,2.05164,9.16101,3.49695,4.2782,4.9032,4.51257,3.57507,1.87585,7.0321,7.11023,9.10242,4.41492,3.16492,8.16492,9.25867,3.24304,10.22546,9.60046,10.92859,2.80359,4.36609,3.74109
L4,,in,9.15295,10.64954,3.29968,4.78406,6.50281,11.48328,5.23328,8.51453,9.84265,9.53015,5.74109,6.44421,7.69421,11.75671,9.94763,3.30701,9.24451,6.88123,9.69373,11.95935,11.64685,11.8031,11.60779,7.85779,7.23279,7.70154,7.46716,3.14099,9.07849,5.40662,4.15662,3.18005,4.97693,10.60193,6.53943,3.55115,4.80115,9.9574,3.0824,8.31677,7.41833,3.35583,3.19958,11.94958,12.02771,3.90271,7.80896,11.55896,4.34705,8.8783,5.36267,5.67517,3.01892,4.89392,12.39392,11.14392,6.65173,8.52673,3.37048,11.49548,7.43298,4.69861,5.94861,9.38611,8.76111,4.54236,6.28064,10.26501,7.41345,8.5072,11.3197,12.64783,7.80408,9.06384,6.01697,6.60291,11.91541,7.30603,6.68103,10.43103,12.93103,10.11853,4.98181,3.57556,4.20056,5.84119,11.0365,5.099,8.38025,5.33337,8.14587,3.92712,10.15637,6.797,8.82825,12.69543,3.94543,11.44543,6.44543,5.82043,6.13293,6.28918,5.03918,11.23059,12.24622,3.18372,8.80872,8.33997,9.90247,3.02747,4.27747,8.37903,4.62903,3.69153,10.33215,5.95715,11.7384,12.6759,7.47083,11.06458,10.04895,8.17395,12.3927,8.52551,5.08801,3.99426,8.75989,3.29114,11.74817,4.24817,4.32629,12.45129,4.17004,7.41223,6.31848,8.58411,5.14661,8.92102,7.55383,8.64758,3.72571,11.85071,5.13196,6.69446,11.36243,7.14368,3.62805,9.4093,10.9718,4.0968,7.41711,3.19836,10.77649,12.33899,7.96399,8.74524,11.39172,12.95422,11.78235,3.65735,12.09485,6.6261,8.69641,12.44641,7.29016,10.64954,6.88,5.63,12.505,3.755,8.83313,5.08313,9.45813,12.27063,3.79407,4.57532,5.59094,10.36877,10.21252,11.46252,8.65002,6.85315,8.76721,4.23596,3.61096,9.78284,5.09534,5.54456,7.26331,7.49768,10.42737,9.48987,8.23987,3.23987,11.83362,12.38049,10.7301,11.3551,12.37073,6.74573,12.05823,3.93323
L5,,in,9.36499,25.27808,16.50122,21.65747,14.46997,20.13403,17.63403,24.82153,20.29028,9.66528,21.30591,18.64966,26.14966,18.02466,21.54517,28.88892,15.76392,26.66235,13.53735,22.4436,11.8186,20.8811,15.33423,17.83423,24.08423,14.39673,12.05298,11.17407,23.04907,16.33032,28.83032,21.5647,18.90845,12.65845,19.53345,19.80688,12.30688,23.24438,11.99438,24.33813,18.47876,12.85376,21.29126,18.79126,19.57251,25.82251,11.13501,13.63501,13.64478,21.45728,26.30103,20.67603,16.61353,17.86353,12.86353,20.36353,24.6604,13.4104,19.9729,18.7229,24.3479,25.75415,23.25415,25.12915,26.37915,18.56665,25.79321,15.63696,28.52759,9.46509,27.59009,23.37134,21.18384,20.81274,22.21899,17.45337,16.82837,19.48462,20.73462,18.23462,23.23462,27.60962,10.46118,22.64868,11.39868,21.55493,16.63306,22.25806,20.69556,28.97681,28.35181,28.03931,24.15503,28.99878,21.18628,11.73315,24.23315,19.23315,9.23315,22.98315,21.10815,22.67065,25.17065,22.16284,27.63159,20.75659,22.00659,23.56909,12.94409,21.69409,9.19409,25.20972,27.70972,17.08472,11.92847,18.17847,17.86597,14.74097,10.3855,12.573,21.47925,20.22925,17.41675,16.71362,17.33862,17.02612,19.36987,19.05737,21.51831,26.51831,21.98706,15.73706,11.04956,21.75269,13.31519,21.90894,22.53394,14.39917,12.28979,28.85229,19.32104,25.57104,10.25854,27.13354,23.42261,19.36011,13.26636,20.45386,17.32886,21.07886,11.78198,24.59448,18.81323,14.43823,18.18823,13.50073,11.6062,10.9812,28.94995,22.69995,17.07495,24.26245,16.05933,13.55933,21.99683,25.27808,23.44214,10.94214,19.69214,17.19214,12.03589,9.53589,13.28589,17.66089,25.55151,17.73901,17.58276,23.82788,19.76538,27.26538,22.89038,11.17163,13.90601,10.46851,21.71851,18.43726,25.31226,18.71069,17.77319,20.74194,10.19507,12.07007,19.57007,9.57007,25.50757,20.97632,15.37085,26.62085,20.5271,9.2771,9.9021,16.1521
L7,,in,24.10681,12.19324,14.37952,22.95764,14.23889,18.56311,16.31311,20.53186,16.17249,12.23499,11.1803,15.25842,17.50842,12.44592,20.72961,9.62024,24.80774,15.13977,15.70227,23.1554,13.5929,12.74915,7.89758,14.64758,24.77258,22.24133,19.56946,22.99719,11.18469,12.45032,19.20032,18.5675,20.67688,15.05188,18.98938,16.84485,14.59485,7.0011,23.8761,8.82922,10.58704,21.27454,19.86829,17.61829,10.72766,16.35266,13.25891,11.00891,17.96106,22.74231,22.03918,10.22668,22.32043,18.94543,14.44543,16.69543,9.59387,15.21887,11.56262,8.18762,20.00012,7.20325,18.45325,12.26575,11.14075,15.922,19.96497,24.04309,19.0509,14.26965,15.95715,11.31653,20.59778,16.00989,20.93176,7.50208,11.43958,21.98645,18.61145,16.36145,20.86145,12.42395,11.19348,10.91223,18.78723,13.86536,7.32629,15.76379,23.92004,18.43567,17.87317,11.40442,7.33289,11.69226,11.97351,21.32507,23.57507,10.07507,19.07507,11.20007,14.01257,22.16882,15.41882,7.22742,19.18054,11.86804,12.99304,20.02429,7.08679,23.96179,8.21179,23.32898,16.57898,10.39148,11.0946,16.7196,10.25085,7.43835,12.87,22.71375,16.38562,24.26062,14.97937,14.62781,12.94031,21.09656,9.42468,16.45593,13.53796,18.03796,10.58484,13.95984,11.42859,19.65515,23.3114,22.60828,23.17078,13.68738,16.85144,8.69519,11.08582,16.71082,14.74207,7.42957,7.8866,16.04285,22.37097,18.15222,24.33972,18.71472,10.06628,19.34753,21.45691,23.14441,24.26941,18.92566,11.27917,8.46667,13.38855,23.51355,17.32605,22.1073,11.20886,17.95886,24.42761,12.19324,14.54871,16.79871,15.67371,13.42371,21.43933,19.18933,20.31433,10.75183,8.99402,8.15027,22.35339,20.1781,8.08435,19.33435,9.77185,10.75623,21.93591,9.84216,19.96716,15.60779,18.42029,14.09607,24.50232,19.86169,13.46326,7.27576,23.02576,14.02576,24.43201,20.91638,13.79724,23.92224,23.50037,8.87537,9.43787,17.31287
L8,,in,13.94104,5.18372,5.49255,9.16443,10.25818,13.67615,9.92615,13.2074,11.72302,12.03552,6.05896,8.16833,11.91833,8.48083,5.47546,7.42859,13.36609,9.79187,6.35437,13.46375,8.15125,8.9325,8.73718,7.48718,8.11218,10.14343,5.22156,14.91882,5.85632,8.43445,12.18445,13.16101,8.86414,11.98914,8.55164,10.56335,9.31335,7.2821,6.6571,6.73523,14.19617,11.38367,5.28992,11.53992,7.24304,14.11804,9.27429,5.52429,14.26941,7.55066,11.53503,14.34753,10.75378,5.12878,7.62878,11.37878,10.3241,12.1991,10.16785,12.04285,12.98035,14.77722,13.52722,8.83972,14.46472,8.68347,9.17175,7.99988,6.08582,9.36707,12.80457,12.25769,11.16394,10.84167,10.2948,14.70886,14.39636,14.63074,9.00574,12.75574,5.25574,13.69324,7.26746,5.54871,9.92371,14.22058,13.71277,5.90027,11.36902,6.75964,6.44714,9.10339,5.90149,5.19836,9.10461,13.83118,7.58118,5.08118,10.08118,14.45618,11.01868,6.48743,5.23743,8.61633,14.63196,8.06946,12.44446,9.16321,13.85071,14.47571,5.72571,8.9679,5.2179,10.5304,9.20227,12.32727,14.67102,5.60852,11.08704,6.86829,14.75891,9.13391,10.22766,9.95422,9.64172,6.98547,7.0636,9.71985,10.32532,12.82532,8.84094,8.21594,8.37219,13.64563,10.05188,7.16125,7.47375,9.66614,7.75208,8.53333,7.67395,10.79895,5.9552,6.2677,8.78723,13.31848,5.11536,11.83411,10.89661,11.52161,6.79504,12.57629,6.24817,14.06067,5.93567,5.77942,12.8009,7.4884,9.59778,11.47278,9.28528,12.56653,6.66809,5.41809,8.69934,5.18372,12.35168,8.60168,7.97668,14.22668,8.05481,6.80481,13.67981,5.24231,12.547,14.57825,8.25012,8.2428,14.33655,13.08655,5.89905,8.47717,10.23499,11.32874,13.20374,6.71936,12.65686,14.39514,12.05139,14.94202,5.84045,9.90295,11.15295,6.15295,5.0592,14.35608,9.20959,6.08459,5.53772,6.16272,5.85022,12.72522
A2,,deg,163.79852,116.20941,149.87335,168.03741,117.64679,152.07062,142.69562,101.67999,123.35968,121.01593,110.17609,134.19952,106.07452,113.10577,161.7569,131.87408,124.84283,101.55182,122.64557,131.43463,152.52838,151.35651,172.15729,106.53229,148.71979,161.61041,170.39948,143.37311,150.40436,147.47467,156.84967,118.47076,100.3067,142.4942,149.52545,104.84772,132.97272,141.17584,164.61334,137.07428,147.91412,154.94537,135.0235,125.6485,136.78131,169.59381,137.95319,128.57819,118.21442,149.85504,130.5191,132.86285,134.03473,148.09723,166.84723,138.72223,141.35895,136.67145,116.74957,158.93707,109.71832,133.74176,161.86676,173.58551,112.64801,156.00739,130.07965,129.49371,130.95856,115.72418,122.75543,102.24762,122.16949,109.35211,100.56305,171.75446,150.66071,104.37164,165.30914,174.68414,118.43414,172.34039,156.08063,147.8775,105.69,141.43219,141.13922,105.98297,139.96735,171.02203,149.92828,127.66266,131.77338,133.53119,111.26556,104.52728,113.90228,132.65228,170.15228,127.96478,167.80853,110.38666,138.51166,119.02924,134.84955,127.8183,132.5058,105.55267,159.45892,145.39642,173.52142,125.76752,153.89252,132.79877,150.96283,118.15033,159.16595,147.4472,142.68646,104.01459,118.66302,170.22552,117.49115,147.66693,173.44818,125.40131,171.69037,100.20599,171.83685,153.08685,138.43842,133.75092,146.64154,153.37982,105.33295,156.30951,144.59076,156.1264,170.48187,106.02875,155.83344,113.64594,107.78656,152.31781,116.13617,150.12054,144.84711,103.83148,148.36273,124.92523,136.35101,149.24164,156.85883,149.82758,145.14008,134.5932,101.85394,132.32269,116.50238,149.31488,114.15863,148.14301,132.02972,160.15472,114.4516,116.20941,164.1098,154.7348,168.7973,159.4223,148.28949,120.16449,134.22699,155.32074,128.66058,136.86371,174.94965,119.52362,139.4455,111.3205,169.91425,124.79706,137.98065,160.24628,136.80878,153.80096,142.08221,125.23651,173.28339,150.43182,129.63104,164.78729,155.41229,117.91229,163.61542,119.6701,110.36835,143.18085,128.53241,114.46991,130.87616,173.06366
