Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated
H,,in,39.20102,34.03992,32.8446,33.4071,36.85242,34.03992,38.25867,38.39929,36.71179,31.08679,31.82507,36.95789,32.45789,34.42664,37.80164,39.22546,35.99109,38.24109,34.86609,35.46375,34.82214,35.38464,31.72839,33.20496,33.90808,34.71667,38.37292,35.54285,34.98035,35.96472,38.77722,37.86316,38.03894,34.66394,37.89612,39.09143,35.89221,36.31409,38.77502,33.87073,38.37073,31.26917,39.601,35.80432,36.37561,39.18811,33.35217,31.69983,38.73108,38.16858,37.7467,31.34827,33.31702,35.54944,38.08069,37.65881,34.28381,32.03381,37.94006,32.38538,31.9635,33.33459,31.50647,39.874,35.23303,38.88928,36.56458,34.73645,39.20129,37.14465,31.16809,39.18372,38.04993,35.0968,37.3468,39.667,39.562,33.6554,34.99133,37.505,34.27063,36.59094,39.26282,34.20032,34.86829,39.01672,33.67297,37.18915,31.42352,37.40009,33.60321,39.26337,36.59149,33.49774,34.4118,32.03876,35.76532,31.54657,31.08954,36.15204,32.49579,36.99579,38.12079,31.51141,37.13641,38.54266,33.40985,32.28485,39.597,33.97235,36.23114,39.606,38.55145,39.571,31.97723,34.0163,37.53192,36.81122,37.93622,35.08856,37.05731,32.42108,36.28827,35.44452,38.11639,39.24139,37.8703,37.3078,36.46405,38.71405,37.72968,39.13593,37.09686,39.34686,31.47186,35.83124,38.08124,36.11249,36.67499,33.29999,38.23944,35.42694,39.575,35.88397,39.962,33.42303,34.53925,36.75409,39.567,36.19159,34.29315,31.48065,36.96503,36.68378,37.2287,35.25995,32.44745,33.57245,35.11932,34.34589,35.89276,31.95526,36.56073,31.77948,39.02167,35.92792,35.22479,35.50824,35.71918,39.2348,37.82855,33.99652,32.02777,36.94965,32.39691,38.44379,31.13129,38.40863,39.25238,31.51801,34.89301,32.64301,37.42426,37.21332,39.753,37.50336,31.98383,35.99164,32.75726,36.11469,38.64594,34.14594,34.70844,39.13812,39.982,38.54047,39.10297,35.37201,34.31732,34.7392,31.39935,36.32123
L1,,in,14.74545,15.74548,17.64392,13.70642,16.30798,15.74548,19.40173,13.07361,18.13611,19.26111,16.97595,15.78064,20.28064,17.74939,18.87439,13.54822,18.75134,16.50134,15.37634,21.10681,17.37146,17.93396,16.52771,21.09802,19.8324,15.78943,13.82068,18.90076,19.46326,21.01013,20.44763,20.23669,13.59216,14.71716,18.77112,19.12268,17.11877,19.79065,14.23596,16.64417,21.14417,14.74573,17.1012,18.64807,18.07678,13.01428,13.08459,20.22131,13.19006,21.62756,18.95569,14.10413,16.07288,18.34045,20.8717,17.63733,16.51233,18.76233,18.48108,20.37952,19.95764,17.60217,13.2428,19.64124,21.46936,13.31311,20.53333,13.36145,20.84973,13.2384,13.16809,18.65247,19.7511,15.95422,13.70422,17.43079,15.70813,13.73938,16.62219,14.67102,13.12415,21.21008,19.38196,16.56946,13.22961,18.7843,13.44055,18.21246,13.00934,21.51715,18.84528,17.26324,14.31012,14.02887,20.70856,18.05426,20.79645,20.5152,16.8941,14.0816,15.48785,19.98785,18.86285,14.50348,13.37848,13.65973,20.05817,18.93317,13.87067,14.99567,19.4693,20.5943,20.38336,15.28571,14.44196,13.24664,18.73102,18.32672,21.70172,20.61188,20.89313,13.42682,14.76276,16.16901,15.46588,21.09088,14.7276,18.6651,17.82135,15.57135,21.05573,16.27448,19.71979,17.46979,18.59479,20.42291,13.67291,19.01666,21.82916,13.95416,16.36237,18.04987,20.93268,13.23346,16.18658,18.92877,20.04498,13.61139,14.17389,15.29889,21.41608,20.85358,14.8067,19.58795,20.16803,13.13678,14.82428,15.94928,15.5274,19.95709,19.53522,20.09772,17.32037,17.03912,20.06256,14.15631,21.89069,18.20587,21.51056,20.52618,21.93243,13.81134,16.34259,15.35822,19.10236,16.99298,19.80548,18.01251,16.04376,17.30939,13.93439,20.68439,14.21564,15.41095,20.18341,13.43341,17.26544,16.91388,21.83575,16.22833,13.69708,18.19708,19.88458,19.11115,20.5174,13.09943,15.91193,18.64093,18.99249,14.91437,18.95734,18.53546
L2,,in,7.2934,10.62134,6.16821,8.04321,27.49634,10.62134,19.05884,15.77759,13.90259,10.15259,8.86353,32.5354,17.5354,12.8479,9.0979,12.78931,7.63306,15.13306,11.38306,14.31274,29.04907,19.67407,26.23657,26.9397,20.84595,18.85376,29.16626,30.16235,13.28735,13.7561,26.8811,6.95923,25.82642,29.57642,29.61304,26.09741,28.32397,32.54272,13.0896,25.80444,10.80444,11.03882,17.48413,32.01538,31.57593,33.45093,19.6228,27.94312,17.63062,30.75562,12.47437,23.48999,26.30249,23.4314,26.2439,14.52515,18.27515,10.77515,9.83765,21.79077,12.88452,22.37671,13.47046,16.04858,9.95483,18.39233,8.59253,19.37378,11.05347,24.47144,9.70581,22.36206,27.54761,21.45386,13.95386,21.21948,10.78979,21.10229,11.49292,19.05151,24.20776,31.94214,5.22339,29.59839,11.90308,14.94995,15.88745,6.91711,15.82336,16.52649,17.93274,12.6593,24.37805,27.19055,10.54993,13.88977,22.56165,19.74915,25.49133,23.61633,9.55383,24.55383,5.80383,10.96008,14.71008,10.02258,23.38196,12.13196,14.00696,10.25696,15.38391,34.13391,23.58704,28.15735,21.59485,30.26672,17.61047,25.52063,6.77063,21.88782,20.95032,23.16223,14.49036,7.92786,12.14661,30.89661,8.27942,6.40442,20.46692,27.96692,22.81067,6.87317,23.98254,31.48254,27.73254,26.32629,33.82629,17.88879,12.26379,8.51379,32.36145,11.73645,24.15833,22.40051,18.18176,14.19739,8.07434,32.09778,7.72278,26.47278,17.8009,23.4259,6.08215,16.39465,11.76575,22.07825,16.45325,27.70325,6.6095,5.43762,20.90637,26.53137,21.49231,16.80481,18.44543,26.88293,31.10168,30.43518,25.04456,22.70081,8.63831,7.11487,11.80237,8.52112,17.72034,6.00159,19.12659,13.3844,19.9469,25.10315,6.35315,13.85315,7.29065,16.43127,34.74182,27.24182,7.43713,15.17151,8.14026,22.14417,26.83167,11.83167,17.45667,33.15979,9.72229,33.0426,27.4176,5.89905,16.44592,28.16467,10.00061,20.78186
L3,,in,1.94757,5.84741,3.42554,4.05054,6.47241,5.84741,6.78491,4.12866,2.25366,3.50366,2.8396,10.10522,5.10522,6.66772,10.41772,10.47632,5.94507,8.44507,9.69507,5.98413,7.90796,9.78296,10.72046,3.61108,10.64233,6.6189,6.3064,8.98218,3.35718,4.45093,8.82593,5.3103,7.53687,8.78687,1.58228,6.50415,7.71509,5.37134,10.60571,3.28149,8.28149,4.92212,4.96118,6.05493,2.72485,4.59985,4.99048,4.95142,2.13892,4.01392,6.67017,5.34204,6.90454,1.49438,10.55688,2.58813,6.33813,3.83813,4.77563,7.35376,6.26001,8.40845,10.1272,5.83032,4.42407,8.48657,4.87817,3.47192,4.05786,1.34302,2.98364,1.26489,2.07544,8.48169,10.98169,4.65356,4.84888,5.16138,6.02075,2.36841,2.83716,1.50903,9.16528,9.79028,5.2981,8.03247,10.21997,9.90686,3.50061,2.64124,4.04749,8.38342,4.78967,3.85217,5.02405,4.45764,9.22327,5.16077,5.27795,8.40295,8.09045,3.09045,1.84045,10.7467,6.9967,9.1842,4.88733,3.63733,4.26233,3.01233,6.57678,7.82678,2.74866,10.52209,5.20959,4.66272,5.13147,5.61975,4.36975,10.58069,9.64319,7.70471,5.28284,10.59534,5.12659,6.37659,8.60315,7.97815,5.16565,7.66565,2.5094,6.5719,1.80627,9.30627,5.55627,4.46252,6.96252,2.90002,6.02502,2.27502,10.34143,9.71643,7.60706,5.45862,7.80237,8.66174,9.49182,8.67151,4.29651,5.54651,8.59338,4.21838,7.18713,7.49963,2.7926,4.3551,8.7301,9.9801,8.57385,5.83948,8.80823,1.93323,7.59729,1.65979,6.11292,7.05042,8.76917,3.005,10.89563,3.86438,6.67688,2.10657,9.91907,5.70032,9.35266,6.38391,7.00891,2.04797,6.73547,7.20422,8.45422,5.95422,6.89172,4.46985,4.6554,7.1554,1.49133,1.72571,8.13196,1.51086,10.57336,5.57336,8.69836,7.99524,9.55774,6.62805,2.25305,10.41223,5.49036,5.33411,9.67004,7.01379
L4,,in,6.29803,7.40796,7.17358,10.29858,4.28296,7.40796,10.22046,5.37671,12.25171,11.00171,10.41577,11.90015,6.90015,6.58765,7.83765,12.81812,11.41187,8.91187,10.16187,12.38843,8.29663,10.17163,4.85913,3.53101,6.49976,10.75757,9.82007,8.23804,11.36304,4.95679,5.58179,5.34741,4.99585,3.74585,12.60571,9.87134,7.64478,12.48853,4.9104,6.60962,11.60962,4.03149,5.39868,6.49243,11.30688,3.18188,9.51001,6.58032,11.89282,11.26782,11.11157,12.1272,11.1897,5.85767,7.42017,7.26392,3.51392,6.01392,10.70142,6.71704,7.81079,12.92798,3.39673,9.2561,12.22485,4.41235,9.06567,3.28442,12.38599,6.27271,12.44458,4.47583,5.18872,9.09497,6.59497,11.9856,9.52466,11.08716,11.63403,5.40356,8.68481,9.70044,10.16919,9.54419,7.63013,7.552,4.7395,5.08191,8.67566,3.12878,12.03503,5.90222,6.37097,11.68347,5.8241,7.56238,5.7655,10.453,8.30457,5.17957,6.74207,11.74207,5.49207,5.02332,3.77332,10.33582,12.44519,3.69519,11.82019,10.57019,10.34558,6.59558,3.23621,12.02527,12.96277,12.41589,4.44714,12.74792,3.99792,8.17761,3.49011,6.82507,5.49695,4.55945,12.8407,6.5907,3.58289,11.70789,3.27039,5.77039,7.17664,6.86414,9.28601,11.78601,8.03601,11.00476,8.50476,8.19226,3.81726,7.56726,3.95398,3.32898,10.75085,11.88367,12.97742,7.27429,7.40125,3.45593,7.83093,9.08093,3.84656,6.97156,8.37781,12.44031,8.98328,4.29578,6.17078,9.92078,8.82703,10.15515,8.4364,5.3114,12.77234,3.08484,9.56921,4.88171,9.72546,12.64294,10.53357,8.81482,6.00232,5.80701,7.99451,9.40076,5.08435,9.6156,6.4906,4.42029,10.98279,6.76404,8.01404,10.51404,3.32654,5.43591,10.32849,12.82849,9.74255,4.66443,8.57068,12.61365,11.05115,6.05115,11.67615,3.62927,6.44177,3.51208,9.13708,8.5658,11.30017,8.33142,11.96423,11.80798
L5,,in,19.51697,12.80615,26.7124,10.4624,14.05615,12.80615,27.18115,16.24365,22.49365,9.99365,22.25928,20.22803,10.22803,19.60303,12.10303,27.68896,26.75146,11.75146,19.25146,28.39209,9.85693,11.10693,22.98193,27.20068,22.51318,23.99756,14.62256,13.3335,14.5835,20.521,14.271,24.42725,27.00537,14.50537,23.87549,22.46924,22.85986,9.42236,23.95361,13.68018,23.68018,13.21143,12.66455,18.60205,23.54346,14.79346,20.26221,10.96533,10.34033,9.09033,11.27783,17.99658,28.62158,11.16064,20.53564,20.22314,27.72314,12.72314,13.34814,16.94189,27.87939,12.80127,15.61377,10.77002,18.58252,21.70752,22.479,12.7915,26.15088,13.68994,26.97119,11.65869,25.46729,24.52979,19.52979,18.12354,24.13916,13.51416,18.04541,26.13135,15.81885,11.9126,13.4751,19.7251,9.95947,28.24072,11.36572,18.97192,17.40942,21.62817,18.19067,19.98755,20.30005,19.67505,18.2688,19.16724,17.13599,21.51099,16.27661,25.02661,13.15161,23.15161,15.65161,28.46411,15.96411,26.58911,14.24536,21.74536,27.99536,15.49536,24.30396,11.80396,12.89771,21.88208,20.00708,26.10083,11.41333,9.81177,27.31177,9.26489,11.13989,11.44263,13.47388,10.34888,15.03638,17.53638,16.20825,22.45825,24.33325,9.33325,9.64575,20.27075,12.302,27.302,19.802,26.9895,11.9895,23.8645,20.1145,27.6145,17.34106,26.09106,24.99731,12.57544,12.88794,28.66919,9.8606,24.93872,11.18872,28.68872,12.28247,28.53247,23.21997,28.84497,15.13403,14.50903,20.75903,18.25903,26.69653,23.41528,9.35278,20.60278,21.61841,17.24341,12.39966,19.27466,11.46216,26.15454,9.43579,14.12329,12.24829,13.88892,23.26392,27.32642,16.1936,24.0061,20.2561,20.95923,26.58423,17.52173,20.02173,15.02173,20.64673,14.86548,10.54907,25.54907,10.9397,15.78345,14.22095,14.18188,24.80688,14.80688,18.55688,17.46313,13.08813,9.41626,13.16626,23.33228,21.92603,18.48853,24.0354,28.0979
L7,,in,9.32416,22.64673,9.5686,15.1936,8.02173,22.64673,22.08423,22.92798,19.55298,12.80298,10.62329,11.32642,20.32642,7.38892,23.13892,9.74438,20.15063,24.65063,8.90063,8.97095,13.41821,10.04321,24.10571,19.46509,21.99634,12.2229,9.4104,12.11743,17.74243,7.89868,11.27368,21.82056,13.59399,20.34399,16.34937,11.42749,24.4353,20.77905,18.38843,11.46265,20.46265,14.41577,21.51733,22.36108,12.00757,8.63257,21.99194,12.07788,14.89038,7.01538,23.60913,8.84351,18.40601,10.98804,16.05054,14.64429,21.39429,16.89429,20.83179,20.40991,23.50366,17.10522,16.82397,16.12085,20.3396,19.7771,11.59448,10.18823,22.35229,7.83276,21.19214,10.22339,18.29175,15.198,19.698,10.27612,11.47144,13.15894,14.14331,7.49878,8.90503,7.0769,23.67065,15.79565,15.72534,22.61597,20.92847,15.12659,18.78284,8.51721,16.11096,21.3844,9.29065,14.35315,14.77502,9.25549,24.02112,16.70862,13.96643,17.34143,24.65393,15.65393,13.40393,9.74768,20.99768,14.81018,11.85706,14.10706,21.98206,10.73206,8.71057,10.96057,16.1637,24.10901,19.04651,15.24963,17.21838,24.98792,22.73792,22.94885,19.01135,19.10803,18.40491,24.59241,22.06116,19.81116,16.22522,21.85022,12.28772,7.78772,17.63147,13.69397,11.30334,15.80334,22.55334,22.83459,18.33459,14.39709,15.52209,22.27209,12.04163,22.16663,21.18225,21.39319,9.29944,17.31506,9.2467,8.47327,9.59827,7.34827,13.39514,14.52014,10.86389,21.55139,23.06311,22.50061,23.62561,21.37561,17.71936,22.35999,22.07874,9.70374,19.89905,21.58655,20.88342,9.07092,14.97717,20.79993,18.4093,20.94055,13.62805,14.12024,22.55774,23.96399,19.7804,22.31165,14.43665,15.21008,18.02258,16.05383,18.30383,22.80383,23.36633,17.03821,22.43469,17.93469,7.88,17.86438,12.52063,24.15735,12.34485,21.34485,22.46985,20.64172,12.20422,15.93079,14.80579,16.55481,11.35168,17.25793,9.03137,18.87512
L8,,in,13.63129,6.41724,13.21411,13.83911,10.79224,6.41724,9.85474,7.51099,9.38599,10.63599,13.09692,7.7063,12.7063,8.0188,11.7688,14.60083,11.94458,9.44458,10.69458,9.87427,11.50513,7.13013,13.69263,11.27075,11.7395,9.12231,8.18481,9.41528,12.54028,13.63403,10.50903,14.02466,13.20435,6.95435,8.52417,9.22729,7.93823,9.65698,11.61011,14.59839,9.59839,5.92651,13.5437,7.76245,12.92847,14.80347,5.19409,9.99878,9.68628,14.06128,7.03003,14.4519,9.7644,7.86987,12.55737,5.83862,7.08862,14.58862,9.27612,6.073,7.79175,9.54956,5.95581,14.94019,11.03394,12.59644,12.51343,10.79468,9.11499,7.53296,12.45483,6.98608,8.07007,10.72632,13.22632,7.67944,10.45288,12.01538,8.65601,6.44897,13.79272,14.6521,6.37085,8.24585,9.22241,14.45679,8.51929,14.89197,6.29822,8.09509,8.25134,10.94666,7.97791,13.29041,5.24353,14.16931,13.93494,6.74744,11.70837,12.33337,10.14587,5.14587,11.39587,5.30212,14.05212,11.23962,13.50525,9.75525,11.63025,7.88025,5.85876,12.10876,10.15564,6.7572,7.6947,9.96033,14.49158,12.4408,6.1908,7.71423,13.65173,9.4281,14.81873,10.75623,5.28748,9.03748,8.92029,8.29529,9.85779,12.35779,14.70154,13.76404,7.43591,14.93591,13.68591,12.27966,9.77966,8.84216,10.71716,11.96716,14.33044,11.20544,13.93982,12.18201,8.90076,5.54138,9.43787,11.5863,14.7113,8.4613,13.85193,11.97693,12.13318,14.94568,6.17615,5.86365,7.73865,13.98865,12.2699,12.66052,14.37927,13.75427,11.84021,9.02771,10.04333,9.10583,7.38708,13.79578,8.2489,8.71765,9.65515,14.92859,9.61609,13.83484,14.08875,12.37,9.245,10.92468,6.86218,14.20593,7.95593,10.45593,13.26843,8.81531,14.60632,7.10632,11.59851,5.42664,13.39539,7.75085,13.06335,8.06335,12.43835,12.67273,6.11023,6.22742,14.35242,6.61316,6.22253,5.44128,10.0116,7.35535
A2,,deg,117.57126,154.64783,111.87439,163.43689,159.33533,154.64783,171.05408,153.47595,120.66345,111.28845,133.84705,167.24548,129.74548,155.52673,164.90173,123.44666,173.83728,117.58728,126.96228,116.12244,155.45349,132.01599,124.98474,109.16443,150.18005,116.48865,142.2699,172.00623,139.19373,128.64685,133.33435,139.77966,110.77576,120.15076,119.25354,105.77698,151.18713,168.76526,137.71057,165.98206,128.48206,160.70862,101.23596,128.18909,125.91858,149.35608,128.84827,136.17249,110.39124,171.32874,142.03186,100.4303,163.71155,169.42444,115.51819,121.37756,168.25256,112.00256,147.15881,152.43225,106.72913,107.02209,119.91272,138.07678,141.59241,157.99866,152.83508,121.19446,133.79211,170.85266,117.53235,104.64172,102.22473,110.42786,129.17786,105.15442,143.53333,117.75208,148.80676,140.75012,148.95325,124.92981,112.03918,144.85168,112.91809,101.78528,136.94153,165.36407,173.5672,165.95001,101.49689,131.67267,104.71954,144.56329,120.53986,125.66681,150.86212,115.70587,149.39728,172.83478,123.61603,161.11603,170.49103,117.75665,127.13165,152.9129,125.37384,134.74884,167.56134,139.43634,113.72833,104.35333,127.2049,116.95099,138.04474,130.42755,124.56818,128.81622,119.44122,173.64044,133.79669,163.56964,123.13995,172.3587,159.46808,112.59308,164.44855,112.88605,162.1048,105.8548,156.24542,153.90167,165.03448,108.78448,155.65948,152.14386,133.39386,135.73761,121.67511,168.55011,139.98566,116.54816,146.43097,137.34894,101.02081,107.46613,105.04913,129.95148,134.63898,125.26398,114.13116,109.44366,159.83429,162.17804,133.32062,112.22687,116.91437,107.53937,155.58624,172.57843,169.06281,155.00031,155.87921,111.34796,167.01202,164.66827,109.59015,154.43268,139.78424,115.17487,159.70612,150.62408,134.21783,121.32721,145.49713,130.26276,172.45026,132.31354,120.59479,131.14166,121.76666,140.51666,156.92291,173.9151,159.77936,103.52936,163.00201,154.21295,146.00983,140.00397,123.59772,161.09772,165.78522,120.66803,141.76178,137.36725,123.30475,105.32379,118.80035,173.87848,162.4527,105.03082
