Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
H,,in,33.98773,32.20685,34.76117,31.42133,37.96039,34.72601,32.19476,34.98969,35.41156,36.53656,37.94281,34.07562,37.73187,39.841,32.2475,37.83734,32.21234,39.736,38.61078,38.32953,32.84076,37.97357,32.06732,38.81732,38.25482,35.0556,32.10248,32.87592,34.14154,34.98529,39.15131,32.29584,37.07709,34.96771,31.58392,38.61517,36.78705,37.56049,33.90424,39.529,38.15814,33.79877,34.5722,35.1347,35.27533,39.898,35.46869,35.89056,38.70306,31.91791,35.29291,37.54291,38.52728,32.33978,35.64447,32.83197,36.06525,33.39337,33.46368,37.11993,36.52228,32.44415,34.9754,32.7254,34.43048,34.99298,37.52423,35.41486,36.53986,33.51642,32.81329,36.78595,38.33282,34.95782,32.70782,31.02032,34.40411,32.15411,36.93536,38.20099,38.55255,39.713,35.77521,31.34552,35.54669,35.26544,33.57794,38.21857,32.59357,39.906,36.24982,36.88263,33.22638,36.70685,32.20685,38.39435,34.24591,31.29279,31.01593,34.95343,38.32843,35.23468,35.65656,35.86749,33.33624,34.21515,35.48077,36.32452,39.7,32.94952,37.94171,39.06671,38.50421,32.03546,34.84796,38.22296,34.44366,38.87335,38.17023,36.30695,34.12726,39.884,37.91534,37.14191,38.58331,35.7005,35.84113,34.71613,38.37238,38.63605,32.37823,34.34698,38.28448,39.515,34.66339,31.85089,34.09869,35.78619,36.84088,35.01276,38.42291,33.14948,38.3526,37.24518,35.83893,34.85455,34.0108,39.706,39.987,32.53424,39.847,38.26471,33.20221,38.7569,34.39752,33.84381,37.50006,37.35944,34.336,31.94537,32.22662,35.63678,39.434,33.24615,39.715,32.9649,32.61334,34.44147,34.42389,36.25201,34.63483,31.96295,36.7442,37.5528,36.56842,33.40436,39.873,35.93561,39.16998,38.60748,37.19684,31.14996,34.59528,32.06403,39.2359,32.52106,37.93512,33.43512,37.09137,32.18707,33.87457,39.21832,34.0152,34.64801,34.22614,38.12848,32.36285,37.98785,34.26129,37.63629,39.737,34.32281
L1,,in,18.91779,21.68304,13.78497,17.82794,14.38263,15.367,13.39825,19.60333,21.99396,14.11896,18.90021,17.42365,13.7674,13.90802,14.18927,15.2088,20.8338,15.70099,21.32599,16.54474,21.17218,15.89874,16.74249,14.49249,20.67999,19.23859,18.25421,13.82452,14.8089,13.96515,17.99054,18.37726,18.09601,16.54913,19.89777,13.42902,20.60089,19.96808,19.12433,17.99933,18.94855,21.05792,16.62823,18.31573,20.42511,14.11456,14.888,21.21613,20.65363,16.61066,13.23566,15.48566,16.47003,17.03253,21.74347,14.43097,15.68011,14.69574,18.4223,21.51605,21.69183,21.26996,15.92621,18.17621,14.25629,20.44379,13.97504,18.33441,17.20941,21.0766,19.52972,15.83832,13.44769,14.57269,21.32269,19.63519,14.0014,20.7514,20.47015,17.23578,18.99359,21.63031,16.56781,13.40375,17.64008,13.98383,15.67133,13.2807,21.1557,16.0932,19.74945,15.46039,19.67914,17.18304,21.68304,21.12054,17.81586,17.11273,16.24701,20.18451,21.30951,15.40326,13.57513,21.94232,14.91107,19.23529,20.78217,19.37592,20.50092,18.25092,14.66498,18.03998,20.85248,13.82123,17.75873,18.88373,15.38568,17.42474,15.31537,20.13177,16.54584,15.5351,18.06635,20.38666,14.86713,19.15619,21.26556,13.39056,15.92181,16.22064,18.8222,19.66595,20.22845,14.35736,17.09955,21.03705,20.46796,16.53046,14.49139,16.03827,17.83124,17.76093,14.2453,19.88788,13.98163,14.966,21.43475,16.58319,21.36444,18.13007,14.19257,15.35272,15.91522,13.87616,17.95428,13.99042,17.08417,14.69354,21.51385,21.93573,14.34198,21.75995,20.77557,16.83807,18.80682,21.05682,14.93964,19.29901,14.81659,21.42596,16.0119,17.55878,20.65253,16.32831,14.78143,18.64862,21.74237,16.67987,19.91425,18.22675,20.73602,19.75165,13.35321,13.63446,20.24384,16.9743,17.46649,21.96649,18.31024,20.43719,15.37469,13.96844,18.04657,17.13251,16.42938,21.38641,15.62079,18.99579,21.73798,13.86298,20.46356,18.14325
L2,,in,5.21057,17.80457,13.88245,24.31213,19.85901,20.32776,25.01526,25.89417,10.42542,6.67542,22.61292,8.78479,17.22229,30.81604,28.00354,25.07385,21.32385,7.49573,33.74573,23.43323,10.58655,11.75842,8.94592,31.44592,14.57092,14.68811,17.96936,16.32874,15.85999,29.92249,19.78577,18.96545,23.65295,18.4967,17.11975,29.30725,12.901,32.35413,23.91663,27.66663,26.37756,27.78381,28.95569,19.58069,31.29944,19.63928,19.40491,8.62366,32.99866,16.47522,27.72522,5.22522,12.25647,25.38147,13.89709,23.27209,21.75964,6.29089,21.52527,28.08777,15.78308,19.06433,31.25183,23.75183,26.62292,5.99792,23.81042,22.40417,26.15417,9.9823,29.20105,27.91199,9.63074,13.38074,5.88074,15.25574,12.94128,5.44128,32.62878,27.47253,31.45691,14.23035,16.10535,28.05847,27.99988,12.06238,17.68738,7.84363,11.59363,13.46863,20.03113,15.10925,6.67175,32.80457,17.80457,34.67957,17.10144,16.63269,17.84851,19.72351,8.47351,7.53601,8.00476,5.42664,25.11414,12.10632,9.76257,16.32507,27.57507,5.07507,7.6532,33.9032,24.5282,6.7157,8.5907,19.8407,17.43835,23.76648,31.73523,28.33679,8.41492,12.19421,5.63171,13.83484,19.57703,6.21765,22.6239,26.3739,6.6864,21.745,5.57312,19.63562,14.01062,29.36218,7.09656,5.22156,27.30408,29.17908,11.1322,25.66345,23.67126,24.37439,7.96814,14.58923,17.40173,27.24548,20.68298,16.69861,6.38611,21.85486,34.97986,7.4408,20.5658,9.08142,17.98767,21.23962,27.80212,16.08337,21.94275,9.2865,8.349,11.04431,6.82556,19.95056,30.26306,7.76306,13.62244,22.52869,19.65759,7.93884,6.76697,20.36072,11.92322,25.16541,26.57166,9.46228,23.52478,21.64978,30.55603,21.18103,9.33044,5.11169,9.56482,16.12732,11.90857,26.32263,21.86951,6.86951,13.43201,26.02966,24.15466,8.21716,15.24841,20.17029,14.07654,10.91248,21.69373,25.44373,18.1781,14.4281,14.3988,12.75818
L3,,in,7.62415,2.83533,10.35852,4.61633,10.16321,2.19446,10.00696,7.76086,3.22961,6.97961,2.91711,6.12024,2.05774,5.65149,4.71399,5.2218,8.9718,6.23743,4.98743,4.67493,1.34973,7.05286,7.99036,10.49036,7.36536,6.85754,2.32629,7.09192,2.87317,10.68567,2.97083,6.13489,3.32239,8.47864,4.83606,2.02356,10.92981,4.44543,8.50793,7.25793,8.31262,6.90637,2.76575,5.89075,10.1095,2.19934,10.87122,7.27747,2.90247,9.89465,8.64465,6.14465,3.1759,8.8009,8.72278,10.59778,6.06775,3.4115,4.73962,8.80212,6.26306,2.04431,7.98181,5.48181,3.23572,5.11072,1.67322,10.89197,4.64197,1.90759,8.93884,3.74353,7.02478,10.77478,3.27478,6.39978,4.41736,6.91736,2.85486,7.38611,7.62048,9.53455,7.65955,9.61267,8.49939,5.68689,8.81189,10.21814,3.96814,4.59314,3.65564,6.70251,5.76501,7.83533,2.83533,9.71033,7.60095,6.8197,10.61365,6.23865,9.98865,8.42615,9.5199,2.72302,4.28552,7.84021,9.87146,5.80896,4.55896,2.05896,6.35583,5.10583,9.48083,7.29333,9.16833,7.91833,7.19568,4.4613,7.43005,3.01599,6.21912,8.06482,3.37732,3.76794,7.16638,5.36951,10.83826,4.58826,4.27576,7.88904,8.12341,10.93591,2.81091,6.9906,1.75623,4.88123,7.20789,6.58289,6.97351,2.44226,9.43445,6.07507,8.10632,4.06335,8.75085,8.9071,3.5946,3.51648,5.70398,8.67273,9.29773,4.57117,7.69617,5.11804,9.02429,6.00671,1.94421,6.47546,5.61609,2.02234,6.70984,4.79578,9.32703,8.70203,8.38953,10.88953,10.65515,7.3739,5.71375,2.4325,8.13562,4.22937,4.54187,7.31531,10.28406,7.54968,7.86218,9.73718,4.26843,9.89343,7.30066,3.39441,5.97253,3.16003,5.19128,8.1991,10.30847,5.30847,10.62097,3.25769,3.88269,3.57019,9.97644,3.17957,1.77332,4.15613,4.93738,8.68738,4.078,10.328,5.9823,9.18542
L4,,in,4.85974,7.09973,12.43787,9.11755,3.72693,8.25818,10.44568,8.86365,4.3324,5.5824,5.8949,3.00427,3.94177,8.78552,4.09802,12.41833,8.66833,11.87146,5.62146,5.30896,10.1283,4.11267,8.80017,6.30017,6.92517,6.02673,3.99548,5.32361,7.35486,10.16736,7.14001,11.71033,4.52283,6.86658,5.47009,8.28259,11.87634,9.14197,8.20447,9.45447,10.50916,8.47791,9.80603,9.18103,4.64978,5.45056,5.68494,11.46619,9.59119,11.974,3.224,10.724,8.69275,10.56775,4.08337,3.45837,5.46887,3.12512,12.7345,11.797,3.24231,11.52356,11.21106,8.71106,10.29309,8.41809,4.98059,5.44934,6.69934,4.74622,4.90247,5.33215,4.5509,3.3009,5.8009,11.4259,8.40833,10.90833,4.97083,4.18958,9.73645,8.05676,6.18176,9.22864,5.49817,3.93567,8.31067,10.96692,9.71692,6.59192,10.65442,9.63879,6.82629,12.09973,7.09973,5.22473,12.64661,5.92786,3.76477,10.63977,11.88977,10.32727,6.73352,3.68665,9.62415,7.24133,3.02258,3.96008,12.71008,5.21008,8.72571,4.97571,9.35071,4.03821,10.91321,12.16321,4.48743,7.69055,8.1593,11.01086,5.62024,3.73547,12.79797,8.96985,10.41516,5.18079,8.14954,11.89954,8.46204,9.6925,10.08313,4.14563,9.77063,3.16907,5.12219,11.99719,11.30627,4.43127,10.91565,12.6344,6.57971,7.59534,9.31409,3.98206,12.41956,6.63831,10.07581,7.34143,3.90393,4.68518,11.56018,3.39612,6.52112,10.50549,6.91174,5.88635,6.19885,11.9801,3.30823,8.46448,6.90198,11.08167,9.05042,7.17542,11.23792,3.73792,9.28479,6.31604,3.48401,8.64026,5.28088,6.68713,5.12463,12.50745,9.2262,12.27307,8.21057,6.33557,7.74182,12.11682,6.12561,8.46936,8.85999,5.42249,9.32874,12.33655,10.53967,5.53967,6.47717,5.09045,11.96545,8.52795,4.6217,5.63733,7.04358,6.53577,8.56702,12.31702,11.61389,10.36389,8.51819,9.06506
L5,,in,10.86157,19.87769,22.89282,9.6897,26.40845,26.09595,15.47095,11.68188,19.49438,26.99438,18.86938,26.21313,28.08813,25.90063,24.02563,28.47876,20.97876,23.01001,20.51001,26.13501,13.95728,18.80103,16.92603,11.92603,13.17603,18.4104,13.7229,17.00415,11.69165,14.81665,21.88696,20.24634,14.62134,23.05884,19.25024,19.87524,26.43774,15.96899,17.84399,25.34399,27.76587,21.20337,24.48462,25.73462,17.92212,23.89868,9.99243,20.30493,14.05493,16.00806,23.50806,28.50806,23.82056,25.07056,16.47681,27.72681,26.03003,16.96753,15.87378,18.99878,11.8894,18.4519,26.5769,11.5769,15.28784,14.03784,14.66284,26.85034,19.35034,22.63159,22.94409,21.92847,23.49097,10.99097,25.99097,27.24097,26.0105,11.0105,25.3855,26.323,23.35425,25.15112,13.90112,12.18237,14.01831,18.39331,14.64331,11.83081,14.33081,10.58081,23.70581,23.86206,16.98706,9.87769,19.87769,28.62769,27.53394,25.34644,27.83667,9.08667,21.58667,14.71167,21.27417,9.86792,9.24292,9.16479,25.10229,26.97729,9.47729,14.47729,9.32104,11.82104,10.57104,11.19604,27.44604,14.94604,27.17261,25.14136,12.95386,11.46948,24.75073,15.6687,12.5437,23.32495,15.74683,23.09058,10.27808,17.77808,19.65308,16.56714,19.53589,13.91089,22.66089,16.80151,19.77026,18.52026,14.45288,10.70288,21.79663,11.48413,27.03101,10.31226,25.62476,20.58569,27.46069,16.52319,10.89819,19.80444,24.17944,18.86694,12.61694,22.38257,26.13257,19.72632,21.28882,18.80835,15.68335,27.87085,27.4021,24.5896,23.9646,14.51147,9.19897,15.44897,16.07397,11.07397,17.79272,10.60522,23.06616,12.12866,17.28491,13.84741,24.47241,24.55054,9.86304,11.58179,25.95679,12.20679,11.89429,10.64429,25.65405,19.71655,16.1228,26.7478,18.9353,16.98218,20.26343,10.26343,13.38843,23.73999,14.98999,23.11499,21.55249,21.70874,13.27124,28.97437,13.66187,16.16187,22.88062,25.38062,12.54858,15.51733
L7,,in,15.96594,23.59265,23.98157,15.755,9.42688,16.45813,11.39563,12.90735,8.1261,19.3761,15.4386,12.76672,7.70422,24.29797,20.36047,19.58704,8.33704,16.07141,22.82141,8.75891,11.49231,10.78918,15.85168,20.35168,21.47668,19.71887,21.68762,17.32825,24.3595,14.797,18.41809,8.50403,14.69153,17.78528,12.91614,14.60364,15.44739,17.55676,21.49426,10.24426,14.53333,13.12708,8.48645,14.11145,9.3302,12.03723,9.08411,14.99036,11.61536,10.13879,7.88879,21.38879,18.85754,15.48254,11.68567,21.81067,12.39539,11.55164,17.87976,20.69226,18.6532,16.68445,11.62195,7.12195,14.53992,8.91492,9.47742,13.69617,24.94617,14.68054,16.08679,20.0946,13.06335,19.81335,24.31335,23.18835,10.0575,14.5575,8.37,17.08875,22.57312,8.15906,11.53406,13.64343,15.78796,12.97546,11.85046,15.50671,22.25671,14.38171,19.44421,15.64734,15.08484,14.59265,23.59265,11.21765,9.67078,18.95203,14.53113,11.15613,22.40613,20.71863,13.12488,21.1405,23.953,21.91394,7.57019,12.63269,14.88269,19.38269,20.08582,22.33582,21.21082,24.02332,18.39832,11.64832,20.2616,19.55847,15.90222,18.78503,24.55066,12.12292,18.31042,18.45105,18.80261,12.47449,7.69324,18.94324,20.63074,13.98621,10.18933,16.37683,15.25183,16.86902,13.63464,8.00964,21.8656,13.9906,18.06873,17.22498,22.49841,22.92029,7.45154,15.78357,17.47107,16.62732,13.81482,13.39294,18.45544,19.29919,9.17419,9.24451,21.61951,19.79138,13.88513,18.01599,20.82849,16.04724,7.18787,24.90662,8.59412,13.44568,11.47693,17.10193,19.91443,15.41443,9.6488,9.36755,15.66052,8.62927,9.05115,7.6449,13.8324,11.79333,17.69958,7.71521,13.90271,10.52771,19.24646,20.37146,13.52478,14.93103,16.75916,9.44666,12.54041,9.51697,9.09509,18.09509,20.90759,13.41931,7.79431,13.98181,19.88806,15.80994,9.90369,15.17712,17.14587,10.39587,22.9115,11.6615,12.83923,21.97986
L8,,in,12.26257,12.08313,12.0282,7.22351,10.11414,13.08289,7.77039,9.00085,12.9071,14.1571,14.4696,12.04773,13.61023,14.70398,8.76648,9.19617,7.94617,10.21179,13.96179,11.77429,11.30066,7.78503,13.72253,11.22253,5.59753,14.6991,14.54285,10.40222,10.24597,11.80847,9.87488,7.57019,10.38269,14.60144,7.87292,7.56042,13.65417,12.1698,13.7323,7.4823,11.74011,12.83386,12.13074,6.50574,10.41199,11.17371,7.81433,6.09558,7.97058,6.52527,10.27527,12.77527,12.93152,9.80652,13.00964,12.38464,10.58899,12.30774,14.26086,10.19836,5.31555,11.0968,10.1593,7.6593,8.92883,14.55383,14.86633,8.46008,9.71008,12.13196,8.85071,14.20227,7.48352,13.73352,6.23352,14.35852,8.27454,10.77454,8.58704,6.24329,10.69641,13.54797,14.17297,10.65735,6.57532,13.13782,6.26282,7.66907,8.91907,12.04407,8.60657,14.77844,11.34094,7.08313,12.08313,5.20813,9.97375,12.9425,7.94739,9.82239,11.07239,7.00989,6.85364,13.33801,13.65051,6.81458,11.65833,12.59583,8.84583,6.34583,12.67395,11.42395,8.29895,8.61145,9.23645,10.48645,11.91223,7.30286,8.08411,11.01379,6.40442,7.33215,10.14465,7.41028,9.32434,9.08997,12.68372,13.93372,13.62122,13.91418,11.80481,13.36731,12.74231,11.922,12.46887,10.59387,9.1803,12.3053,6.28967,5.82092,13.67249,5.15686,10.31311,8.45764,13.77014,6.42639,11.11389,6.66077,8.84827,8.37952,10.25452,12.2467,5.3717,9.98108,11.38733,8.11584,6.55334,10.45959,12.10022,10.69397,6.63147,13.85803,14.32678,7.45178,7.13928,9.63928,14.71741,10.81116,13.91663,11.88538,8.36975,12.901,14.4635,5.04944,10.20569,7.94006,9.50256,7.62756,5.28381,14.65881,13.4137,7.63245,12.08557,13.02307,10.99182,14.46838,6.57776,11.57776,12.51526,11.12854,11.75354,10.81604,7.84729,14.33167,11.98792,10.38635,5.2301,6.4801,6.71448,5.46448,7.01721,8.81409
A2,,deg,116.41998,104.16107,113.4903,102.06451,128.4317,143.66608,122.57233,111.87897,155.23834,108.36334,106.01959,172.23053,123.01178,100.74615,140.5899,110.41412,138.53912,154.35944,126.23444,119.20319,159.23004,102.3941,137.55035,156.30035,104.73785,117.92145,140.18707,157.17926,134.91364,141.94489,143.55621,132.71637,172.56012,171.38824,117.55524,129.27399,102.32086,170.87555,121.6568,112.2818,102.61383,101.44196,123.12164,146.55914,103.19977,133.815,119.16656,155.49469,150.80719,166.92047,157.54547,138.79547,114.1861,118.8736,142.89703,110.08453,166.92963,172.789,121.81244,171.03119,135.58197,120.3476,122.69135,141.44135,168.24799,116.68549,128.40424,150.66986,103.79486,116.09955,121.95892,113.46283,124.0097,114.6347,170.8847,156.8222,102.84271,159.09271,123.93646,174.32709,139.75677,132.43256,146.49506,116.61224,162.46185,155.4306,141.3681,137.85248,109.72748,151.91498,140.19623,103.28217,119.68842,141.66107,104.16107,136.97357,163.34076,119.98138,173.70453,103.39203,131.51703,105.73578,172.53265,161.39984,140.30609,121.26312,110.71625,145.8725,155.2475,173.9975,118.33344,165.20844,169.89594,153.48969,120.67719,111.30219,148.94867,114.37836,131.95648,165.64789,139.2807,138.18207,149.90082,109.47113,156.6391,129.10004,172.45941,125.58441,174.80316,143.01605,157.66449,113.13324,136.57074,161.47308,112.84027,164.40277,168.74237,135.92987,155.26581,147.06268,159.0744,123.33221,136.22284,113.51776,101.79901,112.34589,100.62714,160.9787,158.63495,162.15057,119.96307,170.64667,137.83417,143.1076,153.65448,132.63397,163.10272,119.74335,121.50116,101.57928,113.29803,120.03632,170.42694,128.23944,116.52069,135.27069,100.70038,125.30975,110.51483,165.59296,108.75702,135.71014,161.49139,104.94843,136.58905,120.76874,169.98749,109.04999,152.40936,138.34686,108.57391,109.74579,152.51923,126.73798,149.0036,169.80438,130.54657,168.04657,123.51532,114.57977,156.76727,130.98602,122.7829,160.86884,131.57196,114.87274,101.98212,148.85712,127.17743,174.05243,125.93231,101.90887
