Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
H,,in,37.39734,31.8075,38.3114,38.45203,37.88953,39.823,37.15125,31.8075,36.79968,38.05652,31.30652,39.11121,34.32996,31.37683,34.50574,32.81824,37.59949,33.66199,36.05261,39.428,35.4198,35.27917,33.71472,38.56628,31.81628,38.84753,35.33191,38.24988,37.47644,34.10144,38.88269,37.75549,33.25549,34.38049,35.64612,39.373,35.29456,39.513,31.07581,33.36096,38.98596,36.45471,35.32971,33.07971,37.72034,37.93127,35.40002,34.6969,37.5094,38.6344,34.71448,34.64417,32.95667,38.58167,36.33167,35.34729,35.06604,35.45276,36.50745,37.06995,38.05432,32.42932,32.99182,33.84436,36.09436,39.891,36.79749,37.92249,35.7428,37.9928,31.52405,34.65295,36.55139,39.926,35.84827,38.66077,38.92444,37.23694,33.22913,34.31897,38.46741,32.98303,39.729,32.97864,32.83801,37.54895,37.2677,37.58411,32.66223,39.693,32.59192,39.764,34.98254,39.483,34.42004,37.81262,32.18762,36.96887,39.21887,38.2345,37.672,38.797,34.22668,36.75793,36.16028,35.45715,32.08215,32.3634,31.58997,34.40247,34.95618,31.7218,39.948,31.37024,35.30774,32.77649,37.0304,36.04602,38.78821,39.773,38.36633,36.87219,38.27844,31.38782,37.01282,34.44641,31.77454,37.32922,37.61102,31.91571,35.00946,39.685,36.23993,32.02118,34.83368,36.39813,36.53876,32.88251,35.90594,37.03094,31.65204,32.98798,33.13739,39.887,35.38739,38.76239,38.8327,38.2702,35.31708,36.16083,35.07098,35.35223,32.3288,35.42255,32.18817,38.93817,38.35809,31.74872,32.66278,36.03778,33.64716,39.553,32.24091,34.38544,36.07733,39.734,33.68671,33.96796,37.27264,39.27655,31.40155,38.01093,31.06757,37.81757,38.09882,35.84882,33.73944,32.05194,35.216,38.591,36.05975,33.07147,37.64178,36.64862,31.79706,32.50018,36.61346,35.98065,38.07245,38.49432,36.59589,34.76776,37.58026,33.92401,38.6701,35.2951,31.49823,32.06073,34.24042,32.13104,31.00824,36.63324
L1,,in,17.34509,13.51306,20.08728,17.41541,17.97791,18.99744,16.04431,13.51306,17.099,18.07458,20.32458,20.81677,17.72302,17.30115,16.84412,16.28162,16.00037,15.43787,20.07849,18.95349,17.05505,19.72693,18.76013,21.50232,19.25232,17.28357,18.26794,17.1781,17.52966,16.40466,14.99841,16.66174,21.16174,15.53674,16.52112,14.34143,18.41956,18.13831,17.57581,19.65002,18.52502,17.68127,16.55627,18.80627,21.1969,16.20471,13.11096,15.22034,18.03284,21.40784,19.73792,15.87073,16.43323,17.55823,15.30823,21.07385,16.8551,20.54651,18.50745,20.19495,16.39807,17.52307,16.96057,16.10803,13.85803,15.12366,17.65491,21.02991,18.00647,15.75647,17.72522,18.11194,18.74475,19.86975,18.60413,19.16663,21.71545,20.02795,18.97327,14.9303,18.23499,14.71936,20.32239,18.07239,20.46301,19.54895,14.7677,15.43567,21.76379,19.79504,15.92786,14.66223,14.38098,18.88098,20.56848,17.21106,18.33606,18.61731,16.36731,14.82043,18.75793,19.88293,14.32825,19.672,13.66028,19.4259,20.5509,13.51965,14.99622,18.93372,18.34485,14.82922,21.64954,14.47766,19.54016,21.50891,21.61438,18.38,13.10657,16.90344,15.49719,14.74133,20.64758,16.00696,17.13196,15.33899,14.07336,18.2218,20.32184,18.28278,17.43903,20.21637,13.25543,13.53668,18.59918,19.88239,13.55426,18.89801,18.40582,15.03082,18.5816,14.01129,13.56305,15.81305,20.31305,21.43805,16.16461,18.97711,19.39899,20.80524,19.78571,15.56696,18.30914,14.65289,16.19977,13.94977,20.15485,15.51422,14.88141,13.75641,18.39703,19.80328,16.99078,21.03375,15.95807,19.61432,18.62994,20.59869,16.30963,13.88385,21.75885,21.89948,16.22174,13.97174,18.19049,15.94049,20.86237,21.42487,19.10455,17.97955,14.8858,20.54596,14.71002,15.40436,21.52155,21.09967,13.18951,16.35358,20.44928,16.6524,17.70709,16.16022,21.22272,17.56647,17.17975,16.05475,13.38287,21.82037,18.09381,15.42194,13.70587,14.83087
L2,,in,10.44556,20.87524,29.42993,34.58618,13.96118,11.96899,12.43774,20.87524,29.54712,15.45532,22.95532,24.1272,8.1897,8.65845,22.83813,17.21313,20.02563,6.90063,9.24438,20.49438,10.88501,28.22876,21.2561,14.92798,22.42798,12.11548,24.77173,27.93579,23.95142,20.20142,11.76392,9.45679,24.45679,13.20679,22.11304,30.78491,7.81616,33.12866,16.25366,18.01147,6.76147,18.94897,15.19897,7.69897,16.60522,23.4021,9.3396,16.37085,6.99585,25.74585,21.11694,22.28882,16.66382,12.91382,5.41382,27.44507,30.25757,5.53101,24.04663,33.42163,24.51538,20.76538,11.39038,13.76343,21.26343,26.41968,10.48218,21.73218,13.52905,6.02905,23.84155,9.66187,15.52124,34.27124,8.48999,32.86499,12.1814,29.0564,15.22827,26.59546,30.11108,17.45483,28.98315,6.48315,21.9519,6.24878,16.56128,13.16284,20.19409,23.00659,5.89722,20.42847,17.61597,32.61597,30.74097,14.74487,18.49487,23.18237,30.68237,29.27612,31.15112,19.90112,21.54175,18.72925,17.44019,30.09644,18.84644,14.15894,17.67456,19.54956,19.11011,10.20386,31.53198,20.75073,22.62573,27.31323,24.85229,27.19604,28.83667,31.18042,15.24292,31.00464,7.56714,8.97339,12.72339,24.55933,12.84058,24.32495,21.44836,23.55774,15.12024,17.81555,13.83118,24.14368,26.01868,12.48352,28.88977,27.95227,6.1554,32.4054,8.61633,6.97571,14.44641,21.94641,6.94641,18.19641,33.89954,13.27454,16.55579,9.99329,13.15735,10.34485,28.39172,16.20422,11.04797,33.54797,13.80188,19.89563,27.63,23.88,22.47375,10.28625,15.91125,29.85657,9.09973,32.53723,29.25598,7.69348,13.08411,22.34192,26.09192,33.12317,26.2677,18.7677,8.4552,15.9552,17.36145,22.98645,30.25208,26.50208,10.56458,13.02551,26.38489,10.41809,21.43372,12.52747,10.06653,8.4259,12.70325,17.8595,27.93762,24.65637,30.28137,23.71887,11.64856,15.39856,27.11731,6.49231,28.75793,13.28918,15.43518,11.68518
L3,,in,10.63257,5.04663,9.61694,1.96069,3.83569,4.26538,5.35913,5.04663,3.09351,5.87671,3.37671,5.17358,4.86108,4.70483,9.35327,3.72827,10.91577,1.54077,9.82202,8.57202,5.52515,9.7439,1.95093,6.71655,9.21655,7.65405,4.9978,5.11499,9.41187,5.66187,5.97437,7.36353,2.36353,8.61353,9.08228,8.06665,8.8479,5.4104,6.0354,9.27759,8.02759,10.84009,4.59009,7.09009,8.18384,7.16821,6.85571,5.13696,5.76196,4.51196,7.96899,3.67212,9.29712,5.54712,8.04712,6.01587,8.20337,8.47681,5.89868,9.02368,3.55493,9.80493,7.92993,4.28735,1.78735,7.2561,1.3186,2.5686,6.39673,3.89673,2.95923,8.23267,1.74829,2.99829,10.34204,5.96704,2.74438,8.36938,8.91626,5.7522,7.39282,6.92407,6.5188,9.0188,4.48755,2.84692,1.90942,8.35474,8.51099,10.07349,7.33911,2.18286,7.49536,2.49536,10.62036,4.03833,10.28833,4.35083,6.85083,9.50708,7.63208,6.38208,8.80396,1.61646,2.74927,1.96802,3.21802,7.90552,9.07739,8.45239,1.76294,7.23169,4.96606,3.24731,3.87231,7.93481,8.91138,6.25513,5.552,3.20825,9.77075,6.19653,7.13403,5.41528,1.66528,10.76685,2.4856,2.40747,5.37561,9.67249,8.73499,5.72717,3.3053,6.1178,10.4928,5.55139,9.45764,6.02014,3.75452,7.50452,3.40295,6.29358,9.38928,6.88928,1.88928,5.63928,1.81116,3.68616,9.46741,3.52991,5.52209,3.95959,2.78772,6.22522,6.06897,8.56897,7.651,3.74475,7.72913,8.97913,2.26038,2.57288,3.19788,1.36194,7.39221,8.32971,2.54846,4.11096,2.31409,2.04065,8.29065,5.3219,3.31018,5.81018,3.62268,6.12268,5.34143,10.96643,6.20081,9.95081,4.01331,3.58362,1.47424,3.08557,8.94495,10.3512,9.76526,9.21838,4.9801,7.32385,3.33948,5.05823,5.68323,10.37073,8.69104,7.44104,5.72229,2.59729,6.42542,5.33167,8.005,9.255
L4,,in,5.47437,7.07593,7.27124,12.11499,11.48999,10.35718,3.01343,7.07593,8.09155,7.20288,9.70288,8.21851,12.28101,6.18726,5.67944,5.05444,10.99194,9.11694,8.64819,7.39819,5.28882,12.63257,12.45679,10.50366,3.00366,10.19116,6.28491,3.19897,11.87085,8.12085,12.18335,5.26196,10.26196,4.01196,10.10571,11.43384,9.71509,6.27759,3.15259,11.08228,12.33228,5.76978,4.51978,7.01978,4.67603,7.7229,3.6604,12.25415,4.12915,12.87915,10.04712,12.78149,8.40649,12.15649,9.65649,7.93774,3.25024,5.47681,9.46118,5.08618,3.99243,7.74243,5.86743,7.24438,9.74438,12.71313,12.40063,3.65063,9.66626,12.16626,6.22876,5.79907,8.84595,7.59595,7.1272,4.0022,9.60767,11.48267,3.90454,7.77173,7.6936,9.72485,6.0188,8.5188,5.23755,12.65942,8.59692,7.77661,3.24536,8.55786,12.85474,10.51099,5.19849,10.19849,3.32349,7.40552,3.65552,12.09302,9.59302,10.68677,3.81177,12.56177,5.60864,7.17114,7.67896,9.39771,5.64771,9.71021,3.53833,11.66333,6.12622,7.84497,9.1731,3.07935,11.20435,12.14185,9.83716,10.61841,5.85278,4.44653,12.88403,5.63794,11.57544,11.41919,12.66919,10.59888,11.69263,3.177,8.05066,8.91003,3.59753,11.05847,11.29285,4.73035,12.85535,5.21863,12.56238,9.74988,12.48425,6.23425,10.17957,8.85144,11.90808,4.40808,9.40808,8.15808,7.92371,6.04871,8.70496,8.39246,7.02527,4.21277,4.29089,4.60339,12.25964,4.75964,11.96667,12.12292,12.82605,11.57605,11.4198,10.4823,6.1073,7.70886,3.38757,8.70007,6.04382,3.23132,6.2782,11.39539,10.14539,10.61414,7.23523,9.73523,11.29773,8.79773,8.95398,12.07898,8.4071,9.6571,9.3446,12.50867,5.71179,7.87,6.54187,7.94812,4.86218,11.97156,4.92078,10.07703,7.65515,12.1864,4.0614,3.1239,7.61609,6.36609,5.89734,7.77234,10.50671,9.41296,7.64294,6.39294
L5,,in,21.12646,15.26709,10.34521,21.90771,23.15771,20.57959,22.14209,15.26709,25.42334,14.54443,9.54443,27.82568,9.70068,13.13818,24.46631,10.71631,26.34131,22.59131,9.15381,26.65381,14.31006,22.74756,25.521,13.48975,18.48975,17.86475,13.80225,13.41162,10.75537,18.25537,20.13037,15.43799,25.43799,27.93799,18.87549,26.84424,20.90674,15.28174,11.53174,23.48486,10.98486,21.60986,24.10986,9.10986,17.54736,27.07861,11.45361,26.76611,23.01611,15.51611,14.30518,25.71143,9.46143,16.96143,21.96143,16.64893,12.27393,25.6333,19.53955,23.28955,23.60205,26.10205,24.85205,22.91846,27.91846,23.23096,12.60596,25.10596,13.69971,28.69971,28.07471,9.40283,10.18408,27.68408,27.99658,11.74658,28.66064,12.41064,13.81689,19.36377,18.89502,23.58252,20.44775,25.44775,18.26025,16.5415,12.1665,13.49463,14.43213,16.30713,18.33838,24.90088,9.27588,19.27588,10.52588,10.48682,17.98682,23.61182,18.61182,23.29932,14.54932,22.04932,28.45557,24.08057,22.12744,17.43994,19.93994,28.06494,11.03369,27.28369,12.34229,12.02979,13.74854,21.56104,15.31104,25.93604,16.01416,20.70166,18.35791,23.67041,25.54541,16.2876,28.1626,15.9751,28.4751,22.14697,23.08447,11.99072,26.15942,21.94067,10.06567,13.42505,27.3313,11.7063,25.4563,27.60474,9.16724,27.29224,24.94849,27.44849,15.02661,10.80786,12.42896,17.42896,27.42896,14.92896,18.52271,17.27271,13.21021,11.33521,11.88208,17.50708,12.35083,22.97583,24.53833,19.53833,10.74927,23.56177,27.78052,15.28052,28.71802,9.34302,15.59302,28.95239,27.06763,15.19263,10.50513,14.88013,28.16138,13.08325,15.58325,22.77075,20.15356,25.15356,19.52856,14.52856,27.34106,13.59106,21.55981,9.05981,20.93481,21.32544,24.29419,22.0481,24.70435,16.26685,15.87622,18.53247,28.25903,14.19653,28.41528,16.85278,13.10278,11.22778,20.05591,12.55591,12.86841,11.61841,25.52466,19.58716,16.15454,28.65454
L7,,in,12.83813,20.78345,9.32251,8.47876,14.10376,9.2522,19.09595,20.78345,16.98657,7.51196,21.01196,24.52759,17.21509,9.05884,14.33228,13.20728,9.26978,23.89478,16.86353,19.11353,16.44165,11.0979,21.39868,9.16431,22.66431,23.22681,20.13306,11.20337,7.96899,19.21899,20.90649,11.00562,20.00562,22.25562,20.84937,20.98999,16.77124,24.08374,9.45874,21.6228,10.3728,16.5603,9.8103,14.3103,13.46655,9.95093,11.63843,16.98218,11.35718,9.10718,22.15015,12.16577,15.54077,22.29077,17.79077,15.82202,16.38452,14.62671,8.57983,7.45483,17.86108,11.11108,12.23608,15.94507,20.44507,22.41382,8.35132,10.60132,18.89819,23.39819,21.71069,18.54663,13.06226,15.31226,17.84351,18.96851,8.73804,9.86304,10.84741,20.19897,8.80835,24.8396,7.51636,21.01636,16.23511,18.06323,14.12573,10.39917,15.74292,10.68042,18.69604,18.97729,21.78979,12.78979,18.41479,8.74683,19.99683,20.55933,16.05933,13.52808,7.90308,10.15308,21.26245,22.94995,13.73901,20.20776,17.95776,15.14526,7.41089,13.03589,21.10425,12.948,22.08862,20.11987,23.49487,12.80737,24.40894,10.06519,20.61206,9.08081,16.39331,23.3894,10.4519,12.42065,19.17065,10.94409,21.91284,23.74097,10.90784,19.48596,14.42346,24.47815,7.18127,15.61877,9.99377,8.97424,18.25549,19.94299,19.80237,22.05237,8.34143,12.70081,7.02307,20.52307,11.52307,18.27307,15.6012,7.7262,9.69495,15.88245,15.10901,16.79651,9.62463,23.68713,17.78088,13.28088,8.39417,14.86292,13.59729,20.34729,20.62854,18.94104,8.81604,10.2926,20.79553,8.98303,10.38928,19.95178,15.87366,8.91272,20.16272,11.44397,20.76038,7.26038,24.69788,20.19788,21.04163,24.41663,24.276,8.526,22.5885,13.51819,20.12756,14.02795,17.54358,20.63733,11.56702,23.52014,12.37561,15.46936,8.85999,15.32874,20.95374,18.14124,12.3053,19.0553,12.02405,10.89905,19.19592,20.03967,11.79993,18.54993
L8,,in,5.38208,10.81177,6.55396,6.08521,10.46021,5.96802,11.74927,10.81177,11.98364,11.34888,13.84888,7.20825,5.02075,12.052,9.66919,6.54419,14.35669,8.73169,14.82544,8.57544,6.15356,14.74731,11.13403,10.74341,13.24341,13.55591,13.71216,8.75122,13.82935,12.57935,14.76685,12.43042,7.43042,8.68042,11.02417,6.41479,13.13354,5.94604,11.57104,7.62573,11.37573,13.56323,14.81323,7.31323,8.71948,9.42261,7.86011,7.39136,14.26636,8.01636,8.03589,12.17651,14.05151,12.80151,5.30151,10.45776,12.64526,7.68433,6.9812,12.6062,10.26245,11.51245,7.13745,12.61597,10.11597,10.58472,10.89722,7.14722,11.28784,8.78784,9.10034,11.71753,5.23315,11.48315,9.4519,6.3269,14.11987,12.24487,12.6355,7.83081,13.37769,8.53394,13.21655,10.71655,7.4353,7.66968,5.48218,9.34937,11.06812,5.13062,13.02124,14.73999,6.92749,11.92749,11.30249,6.94702,5.69702,13.50952,6.00952,11.16577,11.79077,5.54077,7.4939,12.8064,6.12671,10.65796,6.90796,10.34546,12.92358,14.79858,9.63257,6.97632,5.49194,8.46069,9.08569,13.77319,10.76538,5.92163,5.68726,10.84351,12.40601,8.0896,11.5271,5.12085,13.87085,12.50366,5.78491,11.33179,8.17322,5.12634,14.18884,11.41541,8.21228,11.02478,11.64978,10.57556,9.16931,12.60681,7.84119,6.59119,7.33337,7.724,12.42126,14.92126,9.92126,11.17126,12.96814,8.59314,13.12439,11.56189,11.7572,13.9447,8.08533,8.39783,11.67908,14.17908,9.15955,13.0658,6.26892,12.51892,8.92517,8.61267,10.48767,6.93298,7.8656,11.3031,7.08435,14.27185,9.97498,7.98279,9.23279,10.01404,5.11169,7.61169,5.42419,12.92419,9.33044,7.45544,10.03357,8.78357,9.72107,12.80701,14.60388,13.34412,5.92224,7.95349,14.55505,6.97693,8.98865,8.5199,10.16052,13.12927,5.00427,9.06677,10.43396,9.18396,12.46521,6.84021,12.23083,6.44958,8.79578,10.04578
A2,,deg,162.11853,104.40369,141.61072,159.18884,107.62634,117.29431,148.93494,104.40369,103.81775,123.81287,105.06287,144.32068,118.53943,147.8363,142.85583,138.16833,107.69958,131.13708,148.71521,139.34021,129.37927,168.05115,109.89685,164.38904,145.63904,157.35779,113.99841,107.84607,162.33826,134.21326,164.68201,160.26917,122.76917,150.89417,138.00354,103.43323,163.19885,123.3551,118.6676,172.28088,144.15588,137.12463,165.24963,108.99963,105.48401,121.30432,165.83557,155.2887,113.1012,103.7262,158.95081,170.08362,174.77112,127.89612,146.64612,150.16174,152.50549,113.54065,117.64221,103.57971,146.93909,100.06409,161.00159,100.13733,118.88733,171.6217,173.96545,164.59045,151.11389,132.36389,115.95764,102.18811,164.88342,174.25842,137.9303,142.6178,160.04944,164.73694,136.026,124.60022,135.73303,122.84241,149.9054,168.6554,137.01477,163.38196,156.35071,161.33118,103.9093,139.06555,156.05774,147.85461,117.38586,154.88586,168.94836,174.66125,127.78625,158.255,102.005,131.30188,145.36438,154.73938,101.41907,131.88782,125.14954,128.66516,119.29016,131.00891,130.42297,144.48547,151.44348,101.05286,102.81067,171.95129,101.63879,164.92004,145.87708,170.48645,124.19739,118.33801,158.18176,136.64856,120.24231,140.16418,168.28918,153.93372,157.44934,106.47278,122.0047,106.18439,113.21564,111.75079,154.52423,109.99298,161.55548,126.83868,163.16681,151.44806,116.87775,163.75275,135.33478,114.82697,125.44708,106.69708,144.19708,172.32208,120.17365,143.61115,149.47052,104.93927,154.45099,147.41974,144.49005,146.8338,108.16193,126.91193,108.89435,161.62872,121.19904,111.82404,166.90216,122.37091,164.55841,149.03107,133.10089,121.38214,134.27277,155.36652,110.24933,110.5423,138.6673,125.77667,127.09503,108.34503,101.31378,157.56378,102.48566,107.17316,142.91534,171.04034,173.38409,160.78644,133.24738,164.81476,124.38507,172.43195,156.9046,146.94366,145.03937,164.96124,153.82843,122.18781,164.37531,129.21906,171.11359,142.98859,169.94171,118.37921,122.48077,111.9339,116.93268,126.30768
