Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated
H,,in,38.1488,32.17883,32.5238,36.18005,31.11755,36.7074,36.1449,31.29333,36.91833,35.23083,36.2196,35.44617,34.88367,31.36804,35.86804,38.43445,39.841,37.0282,34.91882,35.48132,33.44226,36.81726,33.58289,39.20789,33.53015,32.96765,37.46765,33.2489,33.10828,35.60437,32.79187,34.97156,37.77527,39.25183,32.22058,37.03699,31.41199,36.5448,33.7323,36.12292,38.35535,39.762,36.9491,33.99597,39.26941,38.3905,33.04675,39.937,35.64832,34.52332,36.20862,34.52112,33.46643,32.62268,33.60706,37.82581,38.49377,37.08752,34.41565,33.7301,35.20667,37.03479,36.47229,37.84338,36.71838,38.40588,37.14026,32.92151,32.2887,33.55432,32.43811,35.95374,36.51624,36.23499,35.10999,35.88342,33.2467,32.89514,36.27014,35.26819,39.839,39.557,32.80725,36.14709,37.97522,31.99866,34.24866,37.48303,31.85803,34.10364,32.41614,35.93176,36.21301,37.12708,34.87708,36.74036,36.17786,31.67786,38.14661,31.18567,33.59387,31.4845,32.047,39.711,31.83606,35.49231,33.66418,39.00793,31.51965,32.70618,35.37805,31.22961,38.54211,39.984,31.26477,36.81946,34.00696,36.96008,32.17883,38.91125,39.755,39.1925,34.90344,36.02844,38.13782,38.38391,31.35266,39.579,35.92297,37.46985,31.84485,38.31415,31.56415,32.82977,31.14227,33.18134,39.36884,38.38446,36.45087,34.20087,35.39618,35.81805,37.50555,33.8493,36.96063,34.64032,37.45282,34.92157,34.46454,38.40204,33.19891,31.30048,33.55048,34.39423,37.49677,34.68427,36.86395,36.5827,32.6452,38.69208,33.94598,33.4538,34.71942,34.15692,36.12567,33.50653,39.413,32.76825,39.659,34.52606,39.589,38.74481,38.32294,37.76044,31.01044,33.26483,32.98358,39.31171,39.03046,33.9328,34.77655,31.26093,39.769,31.13788,32.79022,37.29022,35.32147,35.74335,37.36053,38.48553,38.06366,32.43866,36.65741,31.16425,39.953,38.12518,31.55096,33.23846,36.2619,38.23065,37.65057,34.27557
L1,,in,14.32605,16.05969,19.95105,18.5448,21.3573,14.78308,16.47058,14.71277,13.58777,18.65027,18.76892,16.58923,18.27673,15.04236,19.54236,21.89783,20.49158,21.05408,16.6947,18.3822,21.26501,13.39001,19.15564,18.03064,19.80603,15.86853,20.36853,20.64978,13.75916,19.27869,16.46619,13.30212,13.85583,18.42615,15.8949,18.81287,17.68787,18.18005,14.24255,20.57068,18.33826,19.74451,18.05701,20.72888,21.08044,19.84998,19.00623,14.3656,18.23279,17.10779,18.20862,17.64612,17.99768,16.59143,20.10706,19.82581,19.01721,19.29846,19.43909,20.44104,18.68323,16.01135,13.19885,15.34338,14.21838,19.28088,16.60901,18.57776,19.9137,20.89807,15.26428,19.06116,16.24866,20.46741,14.84241,20.11584,14.45569,13.401,14.526,13.5592,14.33264,19.11389,21.36389,14.78967,20.27405,16.26624,18.51624,19.21936,18.09436,21.44739,16.38489,17.93176,21.58801,17.72083,19.97083,15.15442,16.84192,21.34192,20.49817,17.33411,17.49231,17.07043,17.63293,15.31262,18.68762,15.59387,20.51575,17.422,14.3634,16.09485,20.73547,16.86829,20.80579,13.3175,18.09875,13.95032,13.38782,16.34094,16.05969,18.32727,21.42102,14.10852,21.77258,13.89758,13.75696,18.15149,18.99524,15.9718,15.69055,20.33118,21.45618,21.58746,19.33746,20.60309,17.79059,21.7984,15.6109,16.31403,21.20074,18.95074,16.91168,19.30231,20.98981,17.89606,18.19489,15.17145,17.98395,19.3902,13.5191,20.8316,17.31598,15.69879,17.94879,18.79254,16.23492,21.29742,15.32086,18.41461,15.60211,18.27399,16.41071,21.68414,13.66852,15.35602,17.88727,20.78766,17.13141,17.44781,21.52594,14.42438,16.11188,16.95563,14.84625,19.90875,17.65875,21.02057,21.86432,17.50494,13.28619,15.2901,18.38385,19.64948,15.36041,21.49518,16.32721,20.82721,13.79596,15.34283,19.49127,20.61627,16.8194,17.9444,17.66315,18.91998,18.4278,13.22467,17.12701,14.31451,14.38483,18.60358,18.05865,16.93365
L2,,in,24.93286,28.36792,21.18286,10.87036,5.24536,10.28442,19.65942,24.11255,27.86255,25.98755,17.41821,24.68384,7.80884,12.96509,27.96509,7.45728,23.39478,17.76978,15.42603,32.30103,15.19165,18.94165,28.7854,25.0354,11.61743,9.74243,24.74243,12.55493,26.14868,12.90649,22.28149,15.01587,10.76782,12.40845,22.72095,10.65063,14.40063,7.13501,16.51001,21.66626,9.53735,25.47485,16.09985,14.6936,22.89673,33.09204,24.65454,22.31079,17.85767,14.10767,8.98804,25.86304,29.84741,8.28491,13.44116,23.75366,10.2771,14.9646,6.05835,23.46069,9.16382,29.32007,23.69507,13.49976,32.24976,34.12476,18.65601,10.21851,8.10913,9.51538,10.95093,24.54468,7.66968,19.85718,16.10718,29.9353,27.47437,14.58374,10.83374,16.8689,16.63452,6.32202,28.82202,31.75171,31.28296,19.79858,12.29858,32.45483,21.20483,25.23315,27.10815,9.7644,33.2019,14.21753,21.71753,23.47534,29.10034,14.10034,15.03784,21.83472,26.93237,6.77612,27.40112,18.2605,14.5105,22.948,12.16675,11.22925,28.22144,11.61011,31.76636,8.09448,17.46948,25.32104,15.00854,26.02417,9.14917,10.55542,28.36792,33.11401,11.55151,20.92651,18.81714,15.06714,31.47339,18.93433,17.99683,31.82495,23.38745,11.6687,15.4187,25.66711,18.16711,16.76086,11.13586,21.21399,34.33899,11.37024,14.5343,22.0343,5.39368,17.11243,11.48743,19.92493,18.10852,26.31165,28.18665,30.99915,6.74133,31.11633,16.58508,12.60071,5.10071,21.03821,9.29016,14.91516,21.71204,26.39954,17.02454,5.30579,24.40735,17.14172,8.23547,13.86047,31.67297,6.0675,5.13,23.99719,22.59094,8.76282,6.88782,22.82532,5.48157,26.10657,18.60657,14.72473,10.03723,25.50598,28.31848,10.15442,7.34192,10.62317,24.45129,11.03333,10.21301,25.21301,5.52551,5.99426,31.07239,19.82239,14.66614,18.41614,23.10364,26.82434,27.99622,16.27747,8.19153,13.81653,28.1134,15.9259,24.422,20.672
L3,,in,10.4519,1.64575,4.2019,4.5144,6.3894,5.80347,8.92847,3.53784,2.28784,2.91284,4.67554,7.40991,10.53491,5.69116,10.69116,8.62085,2.05835,6.43335,5.0271,3.1521,9.63647,5.88647,3.85522,2.60522,4.92944,1.80444,6.80444,2.74194,6.02319,2.07788,2.70288,6.37476,3.68921,10.95483,6.26733,7.79077,9.04077,9.27515,8.65015,3.8064,4.60718,6.16968,1.79468,5.38843,8.1228,7.77124,3.08374,9.48999,10.50562,4.25562,7.20728,5.33228,10.25415,10.56665,5.7229,8.5354,9.04321,6.23071,4.19946,10.93774,1.79712,6.64087,2.26587,2.07056,3.32056,3.94556,7.85181,3.78931,5.58618,8.55493,2.09985,9.1311,6.0061,8.1936,1.9436,2.17798,1.67017,3.93579,2.68579,8.68188,2.51001,2.19751,4.69751,7.78345,6.6897,9.58032,2.08032,1.92407,5.67407,10.2688,7.1438,4.17505,3.23755,9.25317,6.75317,9.29224,4.91724,9.91724,8.97974,5.77661,10.60083,7.00708,8.88208,3.02271,6.77271,6.46021,6.92896,9.11646,5.09302,9.26294,6.29419,7.77856,8.40356,10.63013,3.44263,3.3645,8.9895,7.58325,1.64575,6.43091,9.86841,7.99341,10.88403,4.63403,2.91528,8.89185,9.82935,9.90747,7.71997,7.87622,9.12622,8.65686,6.15686,8.81311,5.68811,6.70374,6.07874,7.48499,9.00842,6.50842,7.3678,10.96155,4.08655,9.39905,8.67639,5.47327,4.84827,3.91077,4.02795,5.90295,3.8717,3.16858,10.66858,2.85608,10.79553,10.17053,4.62366,9.31116,9.93616,8.21741,6.77209,1.53772,5.75647,8.88147,7.94397,8.04163,10.22913,10.81506,1.90881,7.45569,5.58069,7.76819,3.23694,5.11194,2.61194,8.01721,10.82971,3.79846,5.98596,1.72815,7.04065,2.8219,2.58752,4.48206,5.77112,10.77112,6.08362,9.98987,3.03674,1.78674,9.13049,5.38049,8.81799,10.74182,4.25745,4.1012,2.89026,6.01526,8.28088,1.71838,8.26135,2.01135
L4,,in,11.46558,9.75903,10.21558,11.15308,6.77808,11.03589,6.66089,7.36401,6.11401,10.48901,5.92358,9.59546,8.97046,10.06421,5.06421,9.94702,7.13452,4.00952,3.85327,4.47827,5.1814,6.4314,8.15015,9.40015,8.83374,5.70874,10.70874,5.39624,12.42749,3.79468,3.16968,10.4353,3.76538,4.93726,8.37476,12.86694,11.61694,6.53882,9.66382,12.32007,12.61304,4.80054,6.67554,10.26929,11.90991,8.04272,8.98022,8.82397,10.7771,9.5271,8.23071,11.35571,8.62134,3.93384,5.34009,10.65259,5.8479,11.7854,8.81665,11.45337,10.90649,8.56274,4.18774,9.07056,7.82056,9.69556,11.10181,3.28931,11.02368,8.99243,10.68188,4.58813,3.96313,6.77563,3.02563,4.19751,6.11157,11.03345,12.28345,6.79517,4.06079,6.87329,9.37329,3.55298,9.95923,10.5061,8.0061,4.72485,3.47485,7.2688,10.3938,6.17505,3.98755,3.44067,10.94067,4.96411,9.33911,4.33911,9.65161,4.41724,8.34302,3.18677,5.06177,11.38989,10.13989,4.82739,7.48364,4.67114,7.52271,3.62622,11.90747,10.1106,5.7356,3.74341,5.30591,11.79028,9.91528,6.32153,9.75903,5.09106,7.90356,6.02856,12.82544,9.07544,3.91919,11.22388,6.53638,5.677,12.2395,9.89575,8.64575,11.33191,3.83191,7.73816,12.11316,12.81628,3.44128,4.84753,9.02722,6.52722,10.98035,6.1366,10.5116,11.4491,9.59363,4.5155,11.3905,6.703,7.05457,7.67957,9.39832,3.22644,5.72644,9.16394,9.56433,6.43933,11.36121,5.42371,4.79871,9.95496,10.77527,10.54089,11.32214,5.69714,12.88464,6.88855,5.32605,12.47449,12.94324,10.05261,3.17761,11.61511,7.08386,6.45886,8.95886,12.76257,6.20007,7.29382,3.85632,10.45789,6.39539,3.11414,4.12976,8.87585,8.44617,3.44617,10.00867,6.41492,5.39929,11.64929,6.49304,5.24304,10.55554,8.65125,5.60437,4.19812,9.23718,3.61218,9.78406,9.47156,4.76453,6.01453
L5,,in,13.18701,21.79541,15.68701,22.56201,13.81201,24.35889,28.10889,11.39014,23.89014,27.64014,14.2124,15.93115,14.68115,14.36865,24.36865,9.44678,17.57178,23.82178,10.38428,9.13428,14.91553,12.41553,27.72803,15.22803,25.97021,12.22021,22.22021,16.59521,20.03271,12.45459,21.20459,17.61084,10.16943,15.63818,16.26318,25.09131,17.59131,11.81006,18.06006,19.62256,27.0835,20.2085,16.4585,19.896,22.55225,19.97412,21.84912,9.66162,19.19287,26.69287,17.62549,11.37549,9.96924,21.84424,22.15674,16.53174,28.32861,15.20361,22.39111,20.24268,24.46143,12.89893,9.14893,24.0708,11.5708,25.3208,19.3833,16.2583,18.91455,13.60205,9.79346,14.48096,15.73096,11.35596,18.85596,20.88721,21.27783,27.05908,14.55908,11.78564,20.37939,26.00439,21.00439,16.55127,16.23877,18.27002,23.27002,13.58252,21.08252,12.94775,24.19775,20.13525,25.76025,21.229,26.229,16.61963,15.36963,25.36963,24.74463,11.46338,26.11182,28.29932,27.04932,28.76807,21.26807,13.14307,27.20557,9.08057,21.18994,27.34229,20.15479,9.37354,15.62354,16.95166,16.32666,25.23291,23.98291,17.42041,21.79541,14.25635,11.13135,9.88135,15.6626,13.1626,10.9751,10.89697,9.02197,26.99072,16.36572,19.17822,11.67822,21.47192,26.47192,10.53442,11.78442,17.25317,13.50317,22.56567,18.73755,13.73755,24.2063,16.3938,17.6438,14.5188,26.35474,9.63599,15.88599,14.01099,23.77661,10.02661,24.71411,12.05786,27.05786,20.18286,14.61646,10.86646,24.14771,23.52271,9.77271,20.71021,9.38208,24.85083,15.16333,18.91333,18.28833,15.90552,22.78052,11.29614,22.85864,10.51489,19.26489,27.38989,15.20239,16.45239,11.45239,23.31763,10.19263,23.00513,28.63013,24.95825,23.08325,27.77075,10.7395,23.74731,25.70044,15.70044,16.32544,19.76294,19.91919,17.41919,26.48169,23.98169,18.35669,27.3606,26.57935,13.76685,24.62622,28.37622,11.65747,23.53247,27.32153,19.82153
L7,,in,24.81763,13.01831,13.56763,10.75513,20.88013,16.59106,17.71606,12.23169,18.98169,8.85669,20.8186,11.95923,10.83423,18.99048,9.99048,12.59204,22.15454,23.27954,17.93579,23.56079,22.29517,15.54517,18.07642,15.82642,13.26001,7.63501,16.63501,23.94751,12.41626,16.5647,8.6897,16.14282,24.94946,20.30884,16.37134,12.64478,19.39478,9.69165,17.56665,13.9104,15.49243,22.80493,21.67993,11.83618,12.25806,8.10962,13.17212,10.07837,13.31274,24.56274,19.72437,14.09937,22.67749,7.48999,17.89624,22.95874,13.32593,24.01343,15.29468,7.8064,11.04077,21.44702,22.57202,19.97046,17.72046,21.09546,22.50171,21.93921,15.89233,8.86108,22.13257,16.78882,24.66382,7.22632,18.47632,23.67944,14.60913,12.49976,19.24976,8.17554,12.25366,19.56616,15.06616,11.48022,19.63647,9.37085,13.87085,15.8396,18.0896,23.26636,19.89136,23.54761,13.98511,12.71948,17.21948,19.96167,18.83667,9.83667,13.77417,11.38354,13.80933,18.02808,23.65308,14.7937,21.5437,8.6062,20.13745,18.44995,23.58276,16.60425,16.8855,24.90112,12.52612,15.69019,12.87769,14.42456,20.04956,10.20581,13.01831,21.56128,11.99878,10.87378,21.7019,14.9519,16.92065,18.81909,22.75659,19.24097,7.42847,18.95972,12.20972,12.87659,17.37659,12.59534,13.72034,14.70471,22.57971,16.67346,18.0094,13.5094,13.36877,10.83752,9.71252,15.90002,7.84924,12.77112,22.89612,18.95862,11.71643,21.84143,10.87268,11.57581,7.07581,17.76331,11.24182,16.86682,21.7887,11.1012,18.9762,20.94495,8.35901,7.37463,9.34338,10.46838,7.65588,16.40979,18.09729,20.83948,19.99573,17.32385,13.94885,24.63635,20.4176,21.5426,8.0426,15.17053,22.48303,21.63928,9.82678,15.10022,17.91272,24.94397,19.45959,8.80725,18.58069,9.58069,9.01819,16.61194,11.69006,13.94006,13.09631,24.34631,17.03381,11.4967,21.48108,13.88733,19.44202,18.31702,13.95764,19.02014,18.28186,7.03186
L8,,in,9.82056,5.53101,8.57056,8.88306,9.50806,12.20337,7.82837,7.75024,11.50024,9.62524,6.96411,5.47974,11.10474,13.44849,8.44849,9.19067,7.62817,5.75317,12.15942,6.53442,12.86255,14.11255,8.9563,10.2063,14.36646,13.74146,8.74146,10.92896,9.52271,8.78052,5.65552,10.26489,14.16138,10.802,11.1145,9.98169,11.23169,7.40356,14.27856,10.68481,6.29028,5.35278,8.47778,7.69653,13.08716,8.59497,7.03247,10.62622,12.4231,11.1731,5.39917,12.27417,10.47729,8.91479,6.25854,14.07104,13.79761,10.98511,9.57886,12.87964,6.55151,8.58276,11.70776,10.96558,7.21558,5.34058,10.80933,12.99683,5.4187,5.26245,12.30347,12.45972,6.83472,9.02222,7.77222,5.50659,12.03003,11.79565,8.04565,11.93237,9.04175,6.85425,9.35425,11.42456,5.64331,13.69019,6.19019,13.53394,7.28394,6.96655,5.09155,5.2478,13.6853,6.88843,9.38843,12.16187,7.78687,12.78687,8.72437,13.95874,14.75952,13.66577,8.04077,9.52515,8.27515,12.33765,11.8689,5.3064,11.28296,12.13257,13.53882,14.55444,6.42944,6.54663,13.73413,9.12476,13.49976,12.71851,5.53101,7.38647,13.94897,9.57397,7.7771,9.0271,7.62085,11.87866,6.56616,8.83179,6.01929,5.55054,14.30054,8.64197,6.14197,10.98572,9.11072,10.28259,8.40759,5.43884,11.57166,14.07166,7.27478,9.30603,11.18103,14.61853,9.95056,12.68494,5.80994,10.49744,5.45837,9.83337,14.67712,12.099,9.599,8.6615,13.51501,5.39001,12.03064,5.46814,9.84314,6.87439,13.0072,14.33533,6.36658,13.24158,13.55408,12.83142,8.76892,7.16736,10.76111,13.33923,12.71423,14.27673,7.55798,13.18298,10.68298,10.9906,13.8031,13.33435,11.14685,9.54529,12.98279,12.51404,10.40466,8.31482,10.61951,5.61951,5.30701,6.08826,12.41638,6.16638,6.32263,5.07263,12.88513,13.18787,9.98474,9.20349,13.93005,5.80505,14.16443,14.47693,11.9574,10.7074
A2,,deg,160.98328,153.49426,132.85828,163.32703,139.88953,165.96375,161.27625,112.64343,122.01843,164.20593,121.24939,119.49158,142.92908,118.3197,155.8197,156.11267,120.95642,125.64392,145.5658,122.1283,161.38611,133.26111,120.37048,110.99548,106.45447,167.39197,129.89197,174.42322,133.40759,161.82556,129.01306,104.98962,121.46912,100.9613,126.74255,159.26208,149.88708,157.50427,124.69177,123.5199,167.31873,108.72498,104.03748,168.4906,137.43591,127.76794,167.61169,112.53357,133.04138,161.16638,123.94104,109.87854,133.90198,122.18323,167.88635,137.4176,144.74182,133.02307,148.25745,148.40393,118.52112,117.34924,103.28674,102.99377,112.36877,163.93127,155.72815,172.1344,143.42346,109.43909,168.10608,101.3092,162.2467,159.90295,131.77795,117.12952,104.53186,148.47717,157.85217,138.95569,153.60413,151.26038,170.01038,139.83459,108.19397,109.95178,166.20178,160.34241,150.96741,159.2804,117.0929,162.79602,108.88977,138.77258,157.52258,107.42493,112.11243,149.61243,109.76868,120.90149,130.13,112.55188,173.48938,170.55969,123.68469,130.71594,162.35657,150.63782,142.72766,132.69348,117.45911,128.59192,170.77942,100.17395,130.6427,154.66614,159.35364,113.65051,153.49426,138.40637,122.00012,145.43762,110.86731,138.99231,158.91418,102.37122,137.52747,162.72278,118.19153,138.1134,166.2384,174.73907,155.98907,161.84845,166.53595,135.48126,168.29376,122.59064,145.73517,164.48517,100.61798,174.44611,160.38361,134.60236,131.52618,103.98712,146.17462,106.33087,140.02228,116.58478,103.69415,100.76447,157.01447,117.17072,126.61896,159.43146,150.6424,138.92365,115.48615,158.84552,126.32599,153.86505,157.38068,171.44318,150.34943,132.91779,102.44904,101.57013,158.992,112.70294,136.14044,138.48419,106.84357,158.40607,139.65607,165.91339,102.63214,106.14777,103.80402,141.01105,148.0423,107.02667,119.33136,169.86847,163.13019,125.63019,104.53644,168.98956,130.90363,121.52863,103.9505,150.8255,115.66925,114.42413,168.91632,125.55695,142.8421,147.5296,130.53741,128.19366,167.30499,120.42999
