,H,L1,L2,L3,L4,L5,L7,L8,A2,D,T,D2,T2,D3,CrossMat,FrameMat,Mass1,Minimum Factor of Safety1,Center_Y,Center_Z,Leg_Displacement,Handle_X,Handle_Y,Handle_Z
0,35.64063,15.67188,18.59375,2.71875,5.96875,17.4375,11.21875,8.90625,103.51563,0.24688,0.28906,0.22813,0.18594,0.30469, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,8.89,13.0,20.31,0.67,0.0648,0.0189,-0.0316,-0.00571
1,37.96094,14.33594,25.85938,6.54688,12.60938,21.34375,18.67188,14.45313,136.91406,0.42031,0.32891,0.24219,0.30547,0.66016, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,16.94,8.52,22.33,1.13,0.037,0.0866,-0.016,-0.00449
2,34.86719,17.99219,26.79688,9.35938,9.79688,18.21875,20.35938,8.51563,101.75781,0.28906,0.26328,0.56094,0.07109,0.63828, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,8.86,7.76,19.83,1.93,0.218,0.159,-0.106,-0.0184
3,34.62109,21.75391,23.39844,5.88281,6.55469,17.04688,23.52344,7.22656,106.73828,0.44141,0.27148,0.24453,0.24805,0.48789, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,11.76,17.3,20.4,1.61,0.0747,0.0486,-0.0357,-0.00624
4,35.81641,21.68359,24.57031,2.67969,7.57031,20.32813,21.97656,13.86719,142.48047,0.20234,0.21289,0.07109,0.11914,0.49336, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,5.79,2.96,21.86,1.68,0.286,0.347,-0.136,-0.024
5,33.56641,19.43359,17.07031,5.17969,10.07031,25.32813,8.47656,11.36719,161.23047,0.35234,0.28789,0.52109,0.19414,0.66836, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,11.48,13.7,18.9,0.81,0.0572,0.0314,-0.0269,-0.0108
6,39.754,16.62109,26.44531,4.55469,9.44531,16.57813,16.35156,13.24219,128.41797,0.08984,0.34414,0.40859,0.17539,0.71211, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,10.63,1.92,23.53,1.22,0.0495,0.116,-0.0222,-0.00546
7,36.37891,13.24609,7.69531,5.80469,5.69531,19.07813,18.60156,9.49219,119.04297,0.61484,0.23164,0.18359,0.13789,0.79961, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,12.2,6.89,20.93,1.38,0.00205,0.0392,0.00137,-0.00288
9,32.03711,20.1543,21.34766,6.48828,6.18359,15.05469,20.74609,9.04297,116.55273,0.40273,0.23105,0.05352,0.09043,0.54941, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,8.05,15.4,18.92,1.61,0.0599,0.0611,-0.0279,-0.00445
10,36.25586,19.87305,16.66016,3.05078,9.62109,19.42969,20.18359,11.85547,147.02148,0.53398,0.16543,0.29727,0.0623,0.48379, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,7.17,9.96,21.08,1.27,0.0353,0.111,-0.0147,-0.00547
