Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
H,,in,34.15582,35.12207,33.25,38.875,34.09375,36.90625,39.29688,34.58594,38.52344,31.49219,38.10156,33.32031,39.402,34.26953,32.16016,39.49,31.61523,32.45898,37.94336,39.561,32.91602,31.58008,37.20508,34.39258,31.02637,38.05762,35.80762,35.66699,31.37793,32.22168,35.59668,33.10059,36.33496,35.77246,32.32715,37.1084,38.65527,38.37402,33.29395,32.4502,39.34082,35.12207,39.974,39.517,38.11035,38.25098,39.376,32.06348,34.24316,38.04004,39.446,36.63818,37.48193,38.04443,37.06006,31.15381,39.943,31.36475,36.42725,32.2085,33.0874,38.29053,36.95459,34.42334,34.01904,32.33154,36.33936,37.74561,37.32373,37.88623,31.10107,35.1792,33.56201,39.75,34.12451,36.50635,33.4126,38.54541,32.81494,31.40869,32.74463,32.16455,35.2583,31.3208,38.21143,32.58643,32.23486,33.32471,38.88159,37.19409,36.20972,39.02222,38.81128,38.10815,35.04956,38.42456,34.06519,36.24487,35.2605,38.51245,34.08276,34.78589,33.09839,38.12573,39.11011,37.91479,34.39917,36.65796,32.72046,31.59546,38.62671,37.50171,37.64233,39.1189,32.22827,38.16968,39.998,32.05249,39.36499,37.53687,35.55054,39.91,31.08569,35.58569,31.22632,39.453,32.70288,38.89038,38.74536,37.33911,32.2063,39.835,33.08521,32.10083,37.51489,32.75122,31.83716,38.44653,34.50903,31.66138,38.69263,33.06763,37.00513,31.52075,36.02075,34.052,35.177,39.17603,35.44946,34.50024,36.18774,38.15649,34.85181,39.21118,39.774,33.86743,32.58423,33.49829,37.43579,31.38892,34.20142,38.98267,31.91626,34.30688,31.77563,32.33813,31.21313,31.14282,39.01782,34.79907,35.22095,39.44,37.47205,39.08923,32.90173,35.15173,37.68298,33.07751,33.64001,35.2572,37.22595,36.68103,32.88416,38.15759,36.47009,37.31384,38.68494,33.05994,33.55212,31.59216,39.32654,38.5531,38.83435,38.13123,34.75623,31.09998,39.854,37.46326,33.45544,32.89294,39.502,32.18982
L1,,in,20.15594,16.50684,19.75,20.875,19.46875,18.90625,18.76563,13.21094,20.52344,21.36719,16.44531,16.72656,21.47266,17.88672,16.33984,16.91992,18.04492,16.07617,21.56055,19.94336,19.41602,16.95508,15.83008,20.89258,15.25879,17.79004,15.54004,13.43066,16.4541,15.61035,16.73535,20.21582,18.9502,16.1377,20.42676,20.70801,17.75488,13.53613,21.99121,13.83496,18.47559,16.50684,19.81152,17.31543,18.72168,16.89355,20.26855,20.83105,19.35449,13.30762,20.33887,15.26318,14.98193,18.91943,13.15381,19.06006,18.56787,15.3335,14.771,16.73975,21.34521,14.73584,14.94678,21.97803,21.01123,17.07373,13.34717,14.19092,16.58154,21.64404,15.63232,13.8042,18.93701,17.24951,16.12451,13.70752,14.55127,21.65283,14.30518,21.89893,18.03174,21.98682,15.51807,20.58057,16.22119,19.59619,16.01025,20.12354,19.19849,17.51099,21.30786,17.37036,13.50317,14.7688,18.24927,19.37427,21.76489,13.67896,19.44458,15.94653,17.28247,16.8606,16.2981,19.28638,16.052,16.26294,19.21606,14.6897,15.2522,20.8772,14.40845,15.53345,17.64282,18.27563,13.91626,17.95923,13.59985,16.20142,15.63892,19.43579,21.42212,15.09399,15.05884,19.55884,21.66821,17.51978,19.76978,16.95728,19.89722,14.55347,15.04565,21.90112,19.65112,20.35425,18.31519,14.11401,20.65308,16.01245,17.69995,21.25073,14.21948,19.84448,19.28198,16.32886,20.82886,21.11011,15.48511,13.85913,13.50757,15.44116,16.00366,21.34741,19.0271,21.13647,13.82397,19.73022,21.29468,18.97437,19.53687,14.61499,14.05249,15.45874,14.22827,14.65015,16.6189,14.9314,18.3064,15.14233,20.76733,20.48608,21.18921,20.90796,14.14148,21.94617,15.75867,18.00867,15.47742,21.62976,16.56726,18.60632,16.07507,14.40515,18.48328,16.58484,16.02234,17.42859,16.76062,17.88562,19.22156,20.03894,18.49207,21.37488,16.59363,16.17175,17.29675,18.1405,21.62097,16.98035,20.14441,16.20691,20.56628,16.62878
L2,,in,28.84216,8.66211,12.5,8.75,22.8125,5.9375,27.03125,29.60938,5.23438,8.04688,10.39063,28.20313,18.71094,9.10156,25.50781,11.50391,7.75391,10.56641,22.28516,25.80078,28.73047,15.37109,11.62109,13.49609,15.86914,33.68164,26.18164,9.77539,25.94727,11.88477,15.63477,25.36133,14.58008,31.45508,5.9082,33.0957,6.37695,16.68945,26.94336,18.50586,13.34961,8.66211,18.27148,24.01367,23.07617,17.91992,21.66992,8.54492,30.3418,8.31055,9.24805,25.93262,17.49512,19.37012,10.46387,9.52637,15.38574,12.10449,6.47949,26.16699,9.1748,13.39355,22.53418,12.22168,18.25684,16.38184,11.45996,27.39746,9.11621,10.99121,27.0459,15.32715,7.12402,27.74902,23.99902,9.02832,11.84082,21.4502,7.73926,10.55176,22.03613,28.65723,14.59473,12.71973,18.81348,15.06348,14.36035,23.85254,26.71631,13.59131,15.93506,14.06006,33.51318,26.48193,12.53662,8.78662,14.88037,7.146,25.42725,26.89209,27.12646,18.22021,20.09521,16.22803,9.19678,13.18115,29.5874,24.40186,22.52686,18.77686,30.96436,19.71436,21.12061,22.76123,24.16748,24.28467,5.06592,24.51904,11.39404,10.92529,31.4917,17.89795,25.04639,10.04639,16.14014,27.15576,19.65576,6.53076,24.68018,18.11768,10.3833,19.40674,26.90674,25.50049,27.14111,27.08252,10.44189,8.09814,28.72314,22.51221,12.19971,8.44971,10.32471,26.73096,11.73096,8.91846,27.66846,16.15479,8.42041,19.7876,32.9126,18.8501,16.74072,6.89697,23.77197,24.70947,28.98682,20.31494,7.18994,16.09619,25.47119,7.65869,23.94775,7.5415,12.229,17.854,21.604,6.36963,10.11963,27.93213,20.90088,18.08838,28.3606,10.31372,15.93872,8.43872,26.25122,21.68091,23.55591,13.47778,31.29028,26.66138,19.63013,33.927,5.802,21.7395,6.15356,9.90356,27.48169,22.29614,23.70239,8.93677,13.62427,6.59302,17.84302,24.40552,7.17896,29.21021,30.38208,28.50708,34.60083,21.47583
L3,,in,5.44519,7.96289,8.5,7.25,7.5625,4.4375,3.03125,10.29688,9.67188,10.60938,2.01563,7.32813,8.69531,6.89844,5.49219,8.20703,1.95703,6.64453,7.42578,9.53516,7.46484,6.44922,10.19922,10.82422,2.51367,4.70117,7.20117,1.41992,5.87305,7.43555,8.68555,4.74023,7.70898,10.83398,10.75586,3.56836,7.16211,7.47461,7.80664,8.11914,4.52539,7.96289,5.07227,5.3457,10.0332,3.93945,7.68945,4.56445,10.73633,6.20508,1.51758,8.79785,7.86035,9.73535,4.2666,1.4541,7.31348,10.90723,2.78223,2.46973,9.69629,6.10254,5.24316,1.80566,9.24707,7.37207,10.41895,2.60645,8.3877,9.0127,2.17676,8.58301,6.16113,8.03613,9.28613,8.70996,10.27246,4.72559,8.51465,3.82715,7.34277,2.63574,6.07324,10.44824,2.16699,8.41699,3.96387,10.72168,8.78564,4.41064,2.06689,5.19189,6.05127,5.89502,9.99658,6.24658,7.65283,6.32471,8.35596,6.77393,5.4458,4.35205,8.72705,7.51611,9.23486,4.15674,7.12549,2.31104,10.43604,1.68604,5.12354,3.87354,9.96729,2.85791,8.63916,8.83447,9.30322,1.88135,10.00635,9.5376,6.354,5.26025,10.68994,5.68994,4.28369,5.14307,2.64307,3.26807,3.69287,4.63037,3.61475,10.76318,8.26318,10.60693,4.59131,3.20459,1.87646,10.78271,8.90771,2.61865,4.18115,10.43115,2.30615,10.2749,5.2749,3.7124,7.4624,5.9292,4.75732,3.15576,8.78076,5.34326,8.54639,10.26514,8.39014,9.95264,9.54248,7.27686,4.15186,10.55811,4.93311,5.24561,3.17529,4.58154,7.39404,1.76904,10.51904,6.69092,2.94092,6.37842,5.59717,9.03467,6.53589,10.20776,10.83276,3.33276,3.64526,10.87183,6.49683,4.69995,2.51245,7.76636,9.17261,9.40698,3.78198,7.21948,1.78979,8.03979,7.49292,10.5105,6.91675,5.90112,3.71362,8.24487,9.49487,8.55737,7.03394,9.06519,4.61206,2.73706,8.51831,9.14331
L4,,in,9.15295,4.74805,5.5,6.75,3.3125,6.4375,11.28125,11.35938,10.73438,6.04688,5.57813,10.26563,9.36719,5.85156,4.75781,8.21484,11.96484,3.52734,11.49609,7.98047,12.94141,7.08203,5.83203,10.20703,11.95508,6.64258,4.14258,9.61133,7.0332,10.4707,9.2207,7.77539,12.30664,11.68164,3.16602,12.85352,11.75977,8.94727,7.4043,12.0918,11.93555,4.74805,4.82617,3.92773,12.99023,5.02148,8.77148,10.64648,7.75586,3.22461,12.28711,10.36816,12.55566,4.43066,3.33691,6.14941,8.10254,4.19629,9.82129,10.75879,3.1416,9.23535,5.87598,12.43848,12.5752,4.4502,11.09082,3.90332,9.37207,7.49707,5.42676,4.33301,12.84863,12.22363,10.97363,7.91699,12.60449,10.49512,9.20605,7.64355,6.94043,3.4834,3.1709,11.2959,11.45215,10.20215,12.62402,9.06934,5.01416,5.63916,4.85791,12.98291,12.27979,3.68604,12.55322,11.30322,8.95947,9.3501,7.63135,10.26807,10.50244,11.90869,8.78369,5.854,6.63525,3.27588,12.18213,8.89111,4.51611,8.26611,5.45361,11.70361,3.73486,11.78174,12.25049,7.7583,4.47705,10.49268,12.36768,6.27393,11.87939,8.28564,3.79346,8.79346,11.44971,10.43408,7.93408,8.55908,8.43701,3.74951,8.82764,8.63232,6.13232,5.35107,4.64795,8.41748,4.12061,3.65186,3.02686,6.65967,11.97217,8.22217,5.09717,11.50342,6.50342,11.19092,7.44092,4.97021,10.04834,10.3999,12.2749,11.9624,12.50928,10.47803,8.60303,11.41553,12.21631,8.38818,11.51318,7.91943,3.54443,6.98193,10.53662,6.00537,7.56787,11.94287,5.69287,10.4585,11.7085,4.521,11.55225,4.36475,10.59644,12.86206,3.48706,5.98706,12.54956,5.08862,11.96362,8.60425,5.16675,6.74878,4.40503,5.42065,6.04565,8.85815,8.03784,11.78784,10.92847,7.96948,9.06323,8.36011,12.42261,3.51636,4.76636,10.07886,3.63354,11.91479,6.05542,9.18042,8.71167,6.83667
L5,,in,9.36499,20.69922,24,16.5,20.875,27.125,24.3125,13.84375,20.09375,20.71875,13.53125,27.90625,22.67188,12.51563,18.45313,19.74219,27.24219,20.36719,15.67969,23.64844,15.13281,22.78906,10.28906,14.03906,17.76953,18.39453,23.39453,11.20703,9.80078,16.67578,24.17578,16.75391,17.06641,18.31641,26.91016,12.53516,12.84766,18.47266,14.76172,26.63672,15.07422,20.69922,17.73047,20.46484,27.33984,9.52734,12.02734,15.77734,21.87109,25.93359,21.55859,10.94336,14.06836,22.81836,23.75586,15.63086,16.41211,24.22461,15.47461,22.34961,22.42773,13.36523,9.77148,9.14648,18.79492,20.04492,10.20117,17.07617,24.26367,13.01367,12.31055,13.24805,20.2793,11.5293,19.0293,28.73633,26.86133,14.51758,20.5332,27.4082,21.62695,10.33789,19.71289,18.46289,25.65039,23.15039,11.74414,21.04102,28.07715,11.82715,27.13965,10.88965,15.4209,22.6084,10.18652,22.68652,24.24902,22.84277,18.15527,25.38184,16.78809,28.35059,12.10059,10.14746,19.83496,20.92871,25.61621,14.34668,25.59668,28.09668,28.72168,11.22168,27.78418,16.06543,28.25293,19.58105,16.14355,9.7373,18.4873,14.4248,21.33887,24.77637,18.29199,28.29199,21.10449,13.13574,18.13574,11.88574,25.93848,17.81348,13.90723,18.98535,13.98535,28.04785,20.0791,26.91504,11.13379,23.32129,9.57129,22.61816,21.99316,24.49316,15.74316,11.05566,21.05566,19.18066,21.68066,18.10645,13.5752,25.84082,22.09082,13.96582,14.12207,12.55957,13.80957,25.68457,11.58301,23.61426,24.86426,26.42676,10.17676,28.30176,20.72363,23.53613,12.91113,9.16113,11.66113,10.25488,17.75488,23.37988,14.31738,19.94238,18.87061,13.40186,17.15186,22.15186,21.52686,20.66748,16.91748,17.07373,17.69873,26.48779,21.80029,14.45654,20.70654,28.83154,10.00342,17.50342,22.65967,26.97607,12.91357,18.38232,12.75732,24.94482,17.44482,24.31982,21.89795,24.08545,19.2417,17.9917,26.4292,20.1792
L7,,in,24.10681,19.11133,11.5,18.25,21.0625,8.6875,23.03125,11.92188,22.04688,18.10938,22.89063,17.82813,17.33594,22.25781,21.41406,9.77734,16.52734,14.83984,16.80859,24.82422,10.12891,9.98828,21.23828,15.61328,19.91992,17.10742,21.60742,16.82617,17.5293,7.9668,23.7168,9.86523,16.89648,24.77148,20.97461,20.41211,12.81836,19.00586,7.01758,22.20508,18.54883,19.11133,8.00195,23.25977,8.07227,19.60352,21.85352,7.22852,17.77539,21.99414,11.30664,10.91113,20.47363,23.84863,15.12988,14.56738,17.80176,24.27051,7.39551,14.70801,12.10645,9.5752,13.93457,13.37207,19.10254,24.72754,19.80566,10.24316,14.46191,11.08691,13.12598,20.15723,10.73535,18.61035,11.86035,21.93262,17.99512,19.82324,7.51855,23.83105,22.56543,24.42871,11.49121,14.86621,8.39746,19.64746,10.22559,18.31152,7.54932,10.92432,23.58057,20.20557,16.68994,11.90869,16.05713,13.80713,13.52588,11.979,18.44775,13.49072,7.44385,12.7876,13.9126,9.20166,11.17041,16.09229,22.56104,23.87939,7.00439,13.75439,13.19189,15.44189,20.78564,22.05127,18.95752,13.68408,24.09033,16.63721,13.26221,21.98096,14.28174,15.12549,17.16455,8.16455,10.1333,17.86768,13.36768,23.49268,16.31201,13.49951,21.23389,10.33545,23.83545,10.6167,19.75732,17.68311,17.26123,23.72998,15.85498,16.06592,20.00342,8.75342,23.37842,19.72217,10.72217,15.78467,9.03467,18.22803,7.68115,17.17334,11.54834,16.61084,8.03271,10.56396,11.68896,13.37646,8.41943,8.56006,20.93506,8.27881,9.40381,12.21631,21.56787,10.59912,16.78662,17.91162,24.66162,9.3335,16.0835,24.521,10.73975,12.42725,10.87817,17.7688,9.8938,14.3938,12.7063,20.51099,17.13599,13.33911,13.90161,12.10864,7.32739,12.24927,15.62427,22.93677,17.66333,10.91333,20.33521,17.75122,7.90747,11.4231,20.9856,7.76685,23.51685,10.57935,19.93091,19.64966,20.07153,23.44653,17.54028,9.66528
L8,,in,13.94104,13.87695,12.5,6.25,5.9375,11.5625,10.46875,5.70313,8.82813,14.76563,8.67188,10.85938,14.41406,13.39844,7.92969,14.19922,12.94922,9.51172,14.98047,12.40234,6.97266,13.76953,5.01953,13.14453,9.24805,8.93555,11.43555,5.3418,9.48242,8.54492,12.29492,11.63086,13.97461,9.59961,12.64648,5.45898,13.74023,10.92773,14.6582,6.2207,12.31445,13.87695,9.89258,14.77539,7.58789,11.49414,12.74414,9.61914,13.75977,5.79102,11.72852,7.0459,14.2334,13.6084,10.95215,6.88965,11.18652,12.90527,13.53027,13.84277,5.67871,7.70996,8.41309,8.72559,7.33887,5.46387,6.79199,5.22949,11.63574,11.01074,14.4873,6.51855,6.75293,8.62793,12.37793,5.18066,11.11816,13.54004,7.09473,10.53223,8.8916,10.12207,11.05957,11.68457,5.59082,6.84082,13.3252,8.67676,12.97119,11.09619,5.93994,6.56494,12.73682,11.95557,11.2915,7.5415,6.44775,6.99463,12.46338,10.13916,8.34229,5.37354,8.49854,12.6001,5.56885,7.20947,7.36572,8.78174,9.40674,5.65674,5.96924,12.21924,8.62549,5.73486,12.14111,14.60205,13.8208,10.93018,6.55518,10.77393,8.56689,12.78564,11.49658,6.49658,7.59033,7.51221,5.01221,13.13721,7.67334,11.73584,5.56396,12.3999,14.8999,9.74365,6.69678,10.77881,7.57568,13.98193,10.85693,10.5835,10.271,11.521,12.146,11.98975,6.98975,11.67725,12.92725,7.37061,11.19873,10.37842,7.25342,6.31592,9.51904,5.92529,10.30029,6.86279,12.62451,9.89014,13.01514,5.67139,7.54639,9.73389,11.64795,10.5542,5.2417,14.6167,10.8667,12.50732,13.75732,6.56982,8.60107,10.78857,6.64673,10.0061,8.1311,10.6311,10.9436,13.40454,14.02954,7.54517,7.85767,11.6272,8.65845,5.92407,7.79907,9.36157,11.74438,10.49438,14.16626,14.33228,14.48853,6.12915,8.31665,6.2854,12.5354,6.5979,14.84009,10.93384,9.44946,7.57446,13.98071,7.10571
A2,,deg,163.79852,146.06934,156.25,146.875,102.34375,135.15625,115.23438,108.78906,150.97656,111.13281,168.55469,133.39844,141.89453,141.30859,168.26172,103.66211,150.53711,138.81836,151.70898,155.81055,136.18164,148.48633,157.86133,125.04883,146.21582,157.93457,101.68457,142.7002,116.33301,160.86426,151.48926,104.32129,173.46191,112.52441,172.87598,128.34473,108.42285,101.3916,109.74121,107.39746,162.47559,146.06934,153.68652,112.37793,100.65918,141.6748,132.2998,108.8623,131.71387,151.63574,144.60449,114.02588,167.93213,106.99463,155.0415,157.38525,107.58057,167.34619,153.28369,108.75244,164.70947,109.63135,118.42041,130.13916,151.37939,127.94189,127.35596,148.44971,114.46533,156.65283,139.95361,171.59424,166.3208,124.1333,114.7583,106.48193,146.32568,136.36475,126.11084,133.14209,168.88428,123.03467,120.69092,153.50342,135.92529,164.05029,174.01123,162.58545,172.30835,167.62085,140.66772,135.98022,165.86304,155.31616,108.73413,136.85913,133.34351,138.61694,153.85132,115.91187,101.26343,146.96655,151.65405,158.97827,155.46265,170.11108,100.97046,150.11597,173.55347,107.92847,119.64722,129.02222,170.03784,124.92065,144.84253,111.73706,143.37769,139.27612,172.08862,131.073,116.27808,124.4812,103.68042,141.18042,137.66479,160.51636,141.76636,108.95386,108.55103,110.89478,122.02759,159.23462,140.48462,167.43774,153.96118,125.10376,140.92407,121.0022,172.5647,104.30298,125.39673,172.27173,148.83423,121.8811,159.3811,119.53735,147.66235,117.85278,124.2981,109.35669,132.79419,130.45044,116.97388,115.802,167.3645,146.27075,141.1438,101.88599,134.69849,124.15161,119.46411,168.68286,140.85083,158.42896,109.21021,113.89771,160.77271,136.74927,164.87427,120.34302,107.45239,137.92114,133.81042,120.33386,162.52136,106.27136,122.67761,121.21277,154.02527,117.11121,128.82996,158.56628,108.17566,122.8241,127.5116,148.60535,143.62488,115.49988,134.83582,144.13757,133.5907,168.16101,170.50476,150.58289,159.95789,171.67664,143.8446,156.73523,101.07117,171.38367,118.64929,151.46179
