Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated
H,,in,39.399,34.32007,34.02344,32.47656,38.98047,36.30859,38.64648,34.84961,37.66211,32.31836,37.73242,34.2168,39.525,38.40039,38.11914,35.44727,32.00195,38.33887,31.87012,37.49512,39.32324,36.44043,33.34668,36.47559,39.991,37.95215,32.0459,38.93652,33.71582,34.62988,36.42285,37.68848,35.79004,31.85254,38.32568,35.23193,38.74756,34.03662,35.5835,37.86865,31.3999,36.60303,32.10303,32.87646,39.767,37.79834,36.69092,39.785,35.84717,37.11279,31.83936,32.68311,38.41357,38.83545,36.65576,36.36572,33.55322,35.94385,39.31885,32.63916,35.31104,35.02979,37.03369,33.79932,31.83057,34.08057,36.89307,33.1665,37.78955,38.0708,31.74268,35.11768,37.93018,33.21924,39.26611,37.57861,35.57471,32.76221,33.18408,38.73877,38.03564,33.53564,37.75439,33.81909,37.61597,34.76831,32.09644,39.05737,33.99487,35.823,38.6355,32.88745,31.12964,36.29761,31.58667,35.39233,39.963,35.88452,33.07202,36.44702,36.16577,33.31812,32.03491,38.01147,32.10522,34.7771,31.68335,37.30835,31.50757,34.32007,37.41382,38.04663,36.07788,31.71411,39.589,36.28442,31.36255,33.64771,39.695,33.50708,31.74927,32.46997,35.84497,37.39185,34.47388,36.44263,37.14575,32.64575,32.08325,32.927,39.1145,33.70044,34.96606,34.39478,31.30103,36.85571,33.19946,34.18384,38.40259,35.02759,33.79712,35.97681,32.17993,39.475,33.84985,35.39673,36.02954,35.88892,33.63892,32.79517,33.88501,39.791,36.76782,39.862,35.78455,33.18298,35.29236,36.41736,37.29626,32.93689,39.617,36.39978,39.21228,35.20447,37.17322,32.49744,39.74,38.33337,33.83337,35.95154,36.58435,36.19763,35.35388,38.16638,35.21326,36.26794,32.61169,35.98669,39.22107,36.40857,36.67224,37.09412,38.50037,35.75818,35.3363,38.99255,33.36755,32.48865,37.62146,31.57458,32.14148,37.13367,31.50867,35.02429,37.5907,37.73132,39.34851,35.55164,37.25671,35.00671,36.41296,31.84265
L1,,in,14.20135,15.76196,16.02344,17.57031,19.36328,21.19141,15.51367,16.2168,21.2793,13.68555,15.30273,16.84961,15.05664,18.43164,20.96289,21.94727,14.8457,21.44629,14.97754,13.85254,21.02441,13.6416,14.48535,21.34082,15.29395,14.80176,13.39551,16.34863,19.60059,15.03027,18.15918,21.95605,20.05762,19.49512,20.32568,17.23193,18.21631,14.91162,15.61475,17.12646,19.65771,13.04834,17.54834,13.11865,13.25928,20.85303,15.24561,17.77686,13.83936,17.35498,17.84717,15.87842,21.81982,19.71045,19.78076,20.59814,16.66064,21.02002,17.64502,16.87158,18.13721,13.91846,20.77393,21.47705,15.5708,17.8208,18.3833,20.14111,14.11182,18.33057,16.50244,13.12744,20.43994,20.93213,18.5415,19.104,17.87354,16.18604,14.07666,15.9751,16.67822,21.17822,20.89697,16.38599,19.90161,21.34302,19.23364,17.61646,15.92896,18.88208,18.31958,19.32153,17.70435,19.9895,14.15356,19.89282,21.36938,19.26001,16.44751,15.32251,20.10376,14.65454,20.71899,15.58618,16.99243,14.60181,14.88306,13.75806,17.44946,15.76196,14.35571,16.11353,20.89478,13.42847,21.30347,14.34253,13.6394,14.58862,19.5105,16.698,21.54956,16.64526,15.52026,15.94214,17.31323,20.96948,17.45386,21.95386,19.14136,17.73511,14.92261,14.85229,14.14917,13.57788,21.73413,14.91382,20.25757,16.46069,16.74194,15.61694,18.67554,15.6521,14.66772,14.1228,15.2478,20.73218,16.44312,19.11499,21.36499,21.64624,16.75952,19.85327,14.01733,18.79858,16.95398,19.97742,20.11804,14.49304,21.91101,19.23914,16.2157,21.9989,16.9364,21.50671,20.10046,17.32312,16.40906,15.56531,20.06531,21.86707,18.84363,14.02722,17.12097,18.80847,14.73035,17.33191,14.23816,13.11316,19.16003,15.22253,16.64636,14.25574,15.09949,18.68542,21.63855,13.4823,14.6073,15.06433,14.57214,15.55652,19.47205,20.52673,21.65173,14.19861,13.74158,20.6322,15.35876,16.62439,19.45447,21.70447,18.61072,21.49353
L2,,in,12.56775,28.32764,20.23438,6.64063,32.30469,6.52344,27.44141,23.22266,32.59766,26.03516,17.83203,26.73828,34.82422,8.57422,28.26172,31.54297,28.02734,10.24414,20.55664,31.80664,31.33789,20.32227,23.13477,29.11133,23.01758,9.6582,12.4707,11.06445,9.59961,9.83398,17.45117,19.79492,15.81055,17.68555,24.05762,24.99512,12.33887,14.44824,29.91699,30.7373,18.5498,26.51855,11.51855,11.75293,16.90918,15.97168,7.47559,21.53809,23.41309,21.06934,26.45996,21.77246,28.9209,14.38965,15.56152,30.12207,24.49707,22.15332,10.90332,18.6377,18.16895,7.85645,14.30176,23.20801,5.39551,12.89551,29.77051,6.56738,32.40723,20.21973,17.87598,29.12598,8.50098,16.7041,32.17285,7.79785,16.35254,25.72754,10.25879,21.27441,29.24316,14.24316,24.55566,17.34131,29.99756,22.84912,19.56787,5.271,29.646,12.30225,29.17725,23.14209,26.65771,11.07178,27.7124,13.62061,14.32373,25.10498,19.47998,8.22998,18.54248,28.73779,14.14795,29.38232,28.44482,10.16357,14.85107,11.10107,11.45264,28.32764,21.76514,20.59326,8.40576,6.86768,10.61768,6.16455,24.4458,25.03174,32.06299,11.43799,12.60986,16.77002,5.52002,28.48877,20.63721,19.69971,30.48096,15.48096,6.10596,20.16846,33.29346,19.93408,26.02783,26.46729,19.90479,5.60791,15.92041,6.07666,31.38916,20.13916,5.25635,12.99072,26.58447,8.83057,12.58057,12.11182,10.00244,31.09619,8.59619,17.03369,21.13525,20.19775,17.61963,33.55713,22.7356,11.25122,20.15747,23.90747,16.99341,7.14966,14.88403,20.09888,21.97388,26.89575,24.08325,23.02856,18.10669,32.16919,17.16919,12.45239,6.12427,30.61646,22.17896,12.80396,6.71021,24.75708,6.94458,18.19458,9.28833,11.16333,31.72974,19.07349,5.01099,18.83911,19.30786,8.99536,12.74536,28.09692,20.8313,19.42505,14.13696,30.30884,26.55884,12.02759,30.89478,9.80103,16.12915,16.5979,30.60181,8.10181,14.66431,28.49243
L3,,in,3.74109,10.84619,4.67188,8.26563,4.16406,6.50781,4.76953,10.86328,10.23828,1.17578,6.56641,6.09766,3.87109,7.62109,8.55859,4.65234,2.23047,3.13867,4.07617,2.82617,1.73242,7.74805,6.18555,3.49023,8.02148,4.50586,5.44336,1.84961,3.27539,6.00977,5.6582,3.31445,3.70508,6.83008,8.17285,10.36035,2.3916,10.75098,3.71973,1.88379,5.32129,1.72754,6.72754,2.58691,10.86816,5.55566,6.59082,2.52832,4.40332,2.05957,5.41895,10.73145,1.55176,7.02051,2.09863,5.11621,5.74121,6.83496,8.08496,6.91309,7.69434,6.75684,2.57715,2.4209,6.4834,3.9834,8.3584,3.12402,6.38574,7.94824,3.10449,1.85449,2.47949,6.62012,3.02637,7.40137,8.22168,6.34668,2.12793,9.70605,2.3623,7.3623,2.0498,10.66064,8.62939,6.55908,4.21533,10.69971,8.82471,3.98096,9.60596,3.02393,4.03955,7.35986,10.25049,7.46729,3.79541,7.07666,7.70166,8.95166,10.51416,1.7251,9.01025,6.27588,7.83838,5.49463,3.30713,4.55713,5.22119,10.84619,4.90869,9.83057,3.89307,3.38037,7.13037,9.7085,7.05225,8.88818,5.29443,4.66943,7.87256,4.14209,2.89209,1.79834,4.49365,6.68115,6.5249,1.5249,8.3999,4.9624,5.5874,4.10303,5.19678,8.7417,9.6792,3.81982,7.25732,2.72607,6.78857,10.53857,3.62451,4.79639,6.82764,4.69873,3.44873,3.91748,9.46436,5.55811,3.05811,5.87061,9.11279,6.92529,10.44092,4.50342,3.41089,8.64526,7.86401,1.61401,3.68433,5.09058,3.9187,2.45386,4.32886,5.50073,4.56323,9.91479,6.86792,4.05542,9.05542,8.16675,6.21362,6.09644,2.03394,2.65894,6.56519,3.98706,3.67456,2.42456,7.58081,9.45581,6.46753,2.24878,4.43628,7.48315,8.5769,2.6394,3.8894,8.61597,9.63159,2.60034,8.58179,8.03491,9.28491,2.87866,9.55835,5.6521,6.19897,2.91772,4.53882,2.03882,6.10132,10.55444
L4,,in,3.93323,11.13721,5.73438,4.32813,3.89844,3.42969,6.65234,8.05859,7.43359,10.24609,8.44922,4.54297,12.47266,6.22266,4.03516,10.75391,11.61328,3.83008,9.76758,8.51758,4.92383,11.4082,6.7207,6.52539,7.61914,6.91602,12.22852,3.32227,10.68555,12.01367,8.61523,11.89648,5.72461,12.59961,7.24316,5.05566,11.46191,11.54004,12.00879,4.7041,8.7666,12.36035,7.36035,6.03223,5.25098,11.18848,7.10645,6.79395,9.91895,11.6377,6.09082,9.52832,11.05176,7.77051,11.91113,9.94824,5.57324,6.04199,9.79199,8.93262,4.71387,6.27637,6.39355,12.7998,12.4873,9.9873,11.8623,11.15918,7.2334,3.7959,6.13965,9.88965,9.26465,7.46777,6.06152,5.43652,6.56934,5.94434,12.97559,6.95996,8.99121,3.99121,11.80371,4.38916,12.67041,10.36572,9.27197,7.4751,6.8501,4.50635,6.38135,11.51807,7.84619,8.51025,5.30713,11.23486,9.59424,10.06299,9.43799,8.18799,12.87549,7.83643,12.03564,8.83252,4.14502,3.05127,9.61377,8.36377,9.26221,11.13721,10.82471,6.37158,6.68408,4.99951,6.24951,5.85889,6.01514,8.00732,4.41357,5.03857,10.4292,10.60498,11.85498,10.76123,8.53467,9.47217,12.75342,7.75342,12.12842,4.94092,10.56592,6.89404,5.80029,10.90771,6.22021,5.36084,12.54834,11.45459,4.26709,3.01709,9.61865,8.75928,3.29053,9.87256,8.62256,9.09131,4.95068,12.91943,5.41943,8.85693,12.72412,9.28662,9.2085,8.896,6.22144,7.54956,12.70581,8.95581,11.02612,8.05737,10.323,10.18628,7.06128,9.0144,3.7019,11.16284,11.55347,3.11597,8.11597,7.81323,9.92261,8.32104,8.63354,8.00854,4.41479,10.43042,11.36792,12.61792,11.52417,3.39917,10.2937,3.57495,9.51245,4.74683,10.84058,3.02808,4.27808,5.09839,10.02026,4.55151,8.89233,6.47046,7.72046,4.12671,4.63452,11.97827,7.3689,5.33765,12.50562,5.00562,4.69312,11.95874
L5,,in,16.1521,9.22949,10.09375,16.03125,9.85938,10.79688,26.61719,23.80469,27.55469,13.17969,26.46094,15.52344,26.69531,24.19531,21.07031,24.50781,10.60156,11.51953,12.14453,19.64453,23.08203,21.05078,19.17578,24.25391,25.19141,19.41016,21.28516,14.72266,27.57422,23.35547,13.58984,28.27734,10.93359,19.68359,27.19336,9.06836,15.00586,23.28711,9.84961,20.55273,21.17773,27.11523,17.11523,13.83398,26.02148,21.64648,26.60742,18.48242,19.73242,14.41992,20.20117,28.32617,18.56055,26.37305,23.4043,10.29883,14.04883,27.48633,9.98633,18.89258,14.20508,9.83008,14.9082,24.5957,16.4707,21.4707,27.7207,9.43945,17.83789,13.46289,25.02539,12.52539,21.27539,20.80664,12.36914,28.61914,26.04102,17.29102,25.10352,21.19727,16.50977,26.50977,12.13477,14.32715,19.01465,15.81152,14.87402,14.09277,27.84277,9.40527,25.65527,22.88184,16.47559,18.58496,11.86621,22.78418,9.19043,11.37793,22.62793,10.12793,14.50293,18.7998,22.27637,19.30762,21.18262,19.62012,13.99512,21.49512,25.47949,9.22949,12.35449,15.01074,25.63574,25.31348,22.81348,16.71973,15.78223,25.23535,26.17285,17.42285,19.7666,23.79004,11.29004,19.72754,16.36816,16.99316,23.55566,13.55566,9.80566,16.68066,12.93066,27.14941,18.71191,23.73145,10.60645,11.7002,28.5752,28.2627,13.8877,21.3877,15.52832,11.62207,11.93457,25.64551,18.14551,27.83301,22.98926,16.42676,11.42676,22.05176,11.34863,28.22363,22.75488,12.12988,15.12061,11.52686,9.96436,17.46436,16.29248,12.85498,14.26123,22.11279,15.86279,15.39404,14.76904,18.75342,11.40967,18.28467,28.28467,25.41357,27.75732,10.02295,11.89795,20.64795,19.08545,25.4917,12.3667,19.8667,19.5542,18.3042,22.71826,9.90576,23.03076,15.37451,19.43701,16.31201,28.81201,9.98389,14.20264,14.51514,11.3999,9.68115,22.18115,28.74365,22.57178,14.13428,21.79053,27.10303,18.31396,13.31396,11.43896,9.72021
L7,,in,17.31287,23.0708,13.04688,11.64063,22.11719,11.14844,20.46484,17.37109,9.49609,10.05859,24.54297,23.13672,12.66016,10.41016,19.97266,17.44141,14.76953,7.54492,11.48242,22.73242,12.88867,14.1543,10.2168,21.11523,12.95898,14.22461,10.28711,20.13086,11.79883,7.43945,11.44727,22.97852,17.49414,14.11914,14.28613,15.97363,9.50488,16.11426,16.95801,13.79395,13.23145,8.4502,17.4502,22.09082,12.80957,20.12207,20.50879,7.57129,13.19629,16.29004,10.80566,22.61816,23.25098,18.46973,14.67285,14.33887,22.21387,18.55762,16.30762,18.13574,8.29199,23.47949,8.08105,8.3623,22.4248,17.9248,12.2998,17.78418,13.17871,19.36621,13.45996,15.70996,23.58496,8.81934,8.53809,9.66309,13.81152,23.93652,19.71777,21.5459,7.20215,16.20215,24.63965,17.67432,15.14307,7.61963,23.08838,8.604,16.479,15.07275,11.69775,24.74072,16.7251,14.54541,16.93604,7.28564,13.61377,19.52002,9.39502,20.64502,11.08252,24.79346,21.87549,11.60986,7.67236,23.14111,12.45361,19.20361,21.9458,23.0708,20.2583,15.05518,20.11768,20.24951,8.99951,23.20264,12.79639,20.46045,14.5542,24.6792,8.22607,9.24561,24.99561,19.08936,21.69092,24.50342,12.97217,21.97217,20.84717,13.53467,23.65967,10.30029,15.64404,23.29053,11.47803,11.61865,12.18115,22.0249,19.2124,12.4624,19.70459,19.28271,7.75146,22.76318,7.01318,9.54443,10.24756,17.27881,12.77881,24.59131,15.38037,14.81787,20.5835,7.646,9.75317,21.7063,10.17505,16.92505,19.94849,16.29224,18.12036,18.29614,23.92114,18.15552,22.09302,12.03833,10.21021,19.77271,10.77271,10.15747,16.4856,14.86841,10.93091,18.80591,15.14966,7.69653,13.88403,16.13403,9.10278,12.47778,24.95825,20.177,8.3645,24.53638,14.69263,14.13013,16.38013,23.90356,14.20044,20.66919,23.34985,24.33423,8.58423,7.17798,17.65454,10.06079,20.60767,18.63892,23.80688,10.30688,15.36938,14.38501
L8,,in,12.72522,8.52783,13.82813,9.92188,8.63281,10.35156,12.63672,8.41797,10.29297,13.73047,13.18359,5.83984,10.87891,14.62891,6.81641,12.28516,7.98828,12.37305,12.06055,8.31055,13.7793,8.85742,14.79492,7.88086,5.53711,13.89648,9.83398,9.05273,8.56445,6.45508,5.71289,10.86914,13.29102,12.66602,5.1709,11.7334,11.57715,7.12402,5.09277,14.11621,13.80371,5.83496,10.83496,14.19434,5.28809,12.47559,9.37012,9.68262,7.80762,12.65137,11.79199,5.85449,6.3623,10.58105,7.69043,13.77441,6.89941,10.80566,7.05566,6.35254,10.88379,13.69629,9.28223,11.62598,11.93848,9.43848,12.56348,13.11035,11.37207,14.18457,10.90332,7.15332,7.77832,14.10645,13.6377,10.5127,6.17676,9.30176,12.58301,12.03613,12.50488,7.50488,10.31738,12.34619,6.87744,9.729,11.76025,5.11963,9.49463,5.58838,8.71338,11.38916,13.81104,7.44385,5.49072,6.12549,12.92236,6.20361,9.32861,10.57861,12.76611,9.21143,14.03564,6.61377,11.92627,8.95752,6.14502,14.89502,5.40283,8.52783,6.96533,14.69971,13.76221,7.98584,9.23584,11.03271,6.50146,13.0249,5.68115,8.80615,9.04053,7.96631,11.71631,14.68506,12.4585,7.771,8.23975,13.23975,6.36475,5.42725,13.55225,6.44287,9.72412,14.55811,6.12061,5.26123,8.69873,6.04248,13.22998,6.97998,7.72217,8.26904,6.23779,12.46826,8.71826,10.74951,9.57764,10.67139,13.17139,11.60889,6.33545,10.39795,6.25732,7.19482,13.52173,5.9436,7.34985,6.09985,6.21704,9.81079,9.26392,5.6897,6.3147,12.95532,8.26782,6.11938,11.04126,11.97876,6.97876,8.23853,10.81665,5.77759,9.84009,5.46509,13.43384,11.32446,11.01196,9.76196,7.41821,5.54321,12.71118,9.11743,5.67993,5.91431,5.44556,8.25806,12.00806,9.39087,13.21899,11.18774,11.49536,13.60474,7.35474,11.26099,10.12817,9.03442,8.80005,9.2688,14.28833,11.78833,12.72583,12.49146
A2,,deg,173.06366,140.00854,113.47656,121.67969,107.91016,130.17578,171.63086,158.74023,125.92773,104.83398,168.70117,158.1543,153.75977,125.63477,146.72852,147.90039,114.50195,104.02832,125.12207,115.74707,149.73145,130.39551,170.23926,132.44629,157.05566,126.00098,161.15723,115.4541,153.10059,174.78027,105.34668,136.9873,132.88574,109.44824,165.58838,149.18213,122.229,128.67432,136.87744,152.99072,169.39697,114.31885,151.81885,173.49854,113.73291,102.01416,124.42627,126.77002,150.20752,158.41064,164.85596,171.88721,107.14111,141.12549,126.47705,145.15381,102.96631,158.04443,167.41943,105.896,139.88037,142.22412,105.01709,117.90771,115.56396,171.81396,139.00146,137.24365,169.90967,172.25342,171.08154,161.70654,128.89404,154.08936,148.22998,152.91748,143.83545,111.02295,152.03857,147.93701,174.89014,137.39014,167.85889,120.74585,133.63647,162.64038,149.74976,133.92944,157.36694,158.53882,163.22632,144.03687,144.6228,122.65015,171.28296,151.28784,146.0144,165.93628,123.74878,114.37378,112.03003,100.60425,171.3562,159.05151,119.20776,118.03589,162.56714,153.19214,144.69604,140.00854,114.22729,167.54761,169.89136,120.26978,167.14478,134.91821,152.49634,135.79712,127.59399,169.78149,122.32056,146.19751,174.32251,126.27563,174.61548,144.14673,112.5061,150.0061,145.3186,128.91235,171.09985,116.60767,145.90454,148.32153,145.97778,164.14185,143.0481,118.43872,148.90747,158.28247,131.62231,145.09888,132.20825,139.97192,168.09692,145.8313,127.66724,161.65161,142.90161,135.87036,124.44458,112.72583,108.62427,106.28052,119.74792,160.17761,137.91199,109.78699,161.05652,164.57214,113.59558,170.28503,109.34753,131.02722,166.18347,167.06238,158.27332,118.42957,155.92957,124.2157,114.25476,150.87585,106.3446,148.5321,137.98523,143.25867,117.47742,126.85242,172.55554,102.24304,126.41296,160.39734,111.17859,138.71765,128.17078,111.76453,121.13953,135.495,106.78406,166.54968,134.14001,161.67908,152.30408,162.85095,139.70642,103.3783,149.66736,108.65173,125.79041,107.04041,146.88416,101.76697
