Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated
H,,in,36.74695,32.35077,39.2782,39.63,38.38171,32.40515,38.8739,39.999,39.858,33.35437,36.29871,36.57996,39.00574,35.91199,38.30261,37.6698,31.90417,33.85535,37.37097,31.25378,36.59753,38.28503,31.39441,31.95691,37.30066,34.453,32.203,39.02332,32.27332,38.74207,33.11707,34.94519,38.73987,39.584,32.90393,39.935,35.85706,39.12659,32.02502,31.46252,31.05823,39.777,33.02698,34.01135,39.636,38.72229,34.50354,39.953,38.54651,32.35901,39.882,35.53186,33.56311,33.70374,33.42249,34.6178,37.57092,35.03967,31.13733,31.98108,35.70764,35.14514,32.61389,39.36389,38.50256,31.26038,39.979,37.5885,32.24475,35.02209,36.56897,35.72522,31.71741,36.35803,33.82678,37.75989,33.96301,33.40051,38.25208,38.3927,37.8302,39.623,35.96692,32.17004,36.19543,35.63293,36.79309,38.19934,35.24622,38.33118,37.48743,36.92493,38.75305,36.50305,39.808,34.18274,38.68274,32.21399,36.60852,39.702,32.72375,35.60657,31.10657,37.68079,36.83704,33.95422,33.53235,35.5011,37.75165,34.0954,39.01727,32.33759,39.65,32.79462,36.16962,37.57587,35.88837,38.84149,31.5993,37.80438,33.02313,39.633,39.07001,39.14032,35.48407,33.37469,37.69891,38.82391,36.78485,35.9411,39.17548,32.71552,34.96552,37.35614,36.0202,32.68036,38.86786,36.89911,37.3913,31.7663,36.54755,36.95184,32.94403,33.08466,33.75262,36.77606,36.07294,38.32733,34.24921,32.35077,37.13202,33.61639,36.71014,31.08514,38.4328,35.33905,33.51093,39.487,37.23749,31.63007,37.39569,32.33319,32.68475,37.85272,34.68866,38.05487,35.73456,39.672,35.87518,35.62909,33.37909,35.91034,39.426,38.01971,34.5744,37.66815,35.27753,37.80878,36.38495,32.02557,36.24432,32.79901,31.63885,38.88104,35.50604,36.91449,34.66449,38.74261,35.57855,34.62933,37.2309,37.67035,36.2641,39.639,36.72113,35.03363,38.83051,36.22894,35.94769,34.11957,34.69086,33.98773
L1,,in,16.83533,20.95026,14.30408,15.07751,20.57947,18.68103,15.02478,18.39978,16.00916,21.52869,15.75427,19.97302,21.34412,13.18787,13.32849,14.80505,20.85193,13.83826,15.10388,15.31482,19.53357,17.84607,13.20544,21.64294,16.29919,13.66248,20.41248,21.60779,19.35779,14.57654,20.20154,15.56091,20.73987,21.58362,14.06018,20.52893,17.85706,15.85315,16.48596,18.17346,16.08167,20.30042,18.05042,19.03479,17.90979,19.94885,18.5426,16.04651,17.45276,16.89026,21.88245,21.17053,14.13928,21.31116,16.52991,16.88147,18.42834,15.89709,15.15881,15.44006,20.7135,20.151,17.05725,14.80725,16.79358,17.00452,21.22327,21.08264,14.05139,20.41467,17.1803,13.52405,20.48499,13.59436,20.62561,13.29114,19.33801,15.40051,21.09583,15.8927,18.7052,16.77161,17.05286,13.81848,21.3595,14.047,14.29309,20.19934,20.33997,19.46985,15.8136,18.6261,21.86047,15.11047,15.04016,13.91516,18.41516,13.07141,16.6925,17.53625,14.38977,16.28821,20.78821,19.41711,20.26086,17.0968,19.76868,13.29993,13.14996,21.86871,16.66559,17.57965,14.76715,15.29449,16.41949,15.57574,13.88824,21.06012,15.64606,17.35114,21.00739,21.14801,13.83551,19.67145,15.4527,15.87457,21.81598,18.44098,14.43317,13.02692,19.07379,15.95367,18.20367,13.8443,16.72711,19.36383,18.80133,19.64508,21.12164,19.99664,20.27789,20.4361,15.72516,13.33453,18.99469,16.67438,21.59625,18.20807,15.81744,20.95026,21.23151,19.96588,19.12213,17.99713,19.7901,16.69635,17.39948,20.14166,13.39166,19.03424,15.51862,14.95612,13.7608,15.76471,15.6944,19.06061,17.58405,13.64655,19.97467,19.23639,21.48639,15.01764,18.25201,19.65826,14.94733,13.54108,17.6192,20.71295,21.01178,19.18365,18.9024,20.94147,19.711,13.17194,16.54694,19.61212,21.86212,20.87775,15.18243,21.33478,15.07697,21.98517,20.57892,19.45392,14.07501,19.13751,20.12189,14.42657,15.83282,14.5672,19.62091,18.91779
L2,,in,5.58228,20.11536,10.26978,20.81665,19.35181,22.86743,16.30493,20.05493,18.64868,20.40649,26.0022,30.6897,7.83813,29.40063,16.74438,33.38501,16.97876,24.53735,18.4436,9.30298,19.61548,21.49048,26.64673,6.02173,5.08423,12.46704,19.96704,29.10767,6.60767,33.79517,30.04517,6.13892,6.17554,20.23804,27.97241,17.65991,20.94116,34.41772,20.5896,11.2146,12.67944,26.74194,19.24194,13.14819,9.39819,31.19507,17.13257,20.53101,6.46851,23.34351,5.29663,11.88843,22.20093,17.04468,6.73218,17.27905,20.5603,10.2478,18.56812,25.13062,20.20874,7.08374,21.14624,13.64624,22.96265,18.04077,22.72827,9.13452,19.44702,28.00171,19.09546,23.78296,7.61108,6.20483,24.01733,33.67065,10.7019,20.0769,32.96753,27.81128,18.43628,8.70972,17.14722,23.24097,9.35425,22.47925,13.45581,20.01831,24.23706,7.86011,29.42261,16.29761,20.51636,28.01636,7.62573,18.87573,33.87573,6.68823,6.57104,28.13354,23.73901,28.66089,13.66089,13.77808,22.21558,20.57495,24.7937,5.1062,5.04211,15.35461,7.38586,14.65149,9.02649,15.4718,11.7218,25.7843,31.4093,31.87805,12.42493,24.67102,16.23352,5.45227,26.07727,11.31165,17.87415,23.9679,31.58508,12.83508,27.13196,11.19446,16.35071,28.97766,21.47766,26.63391,5.77454,9.8761,26.7511,27.6886,34.01672,22.76672,19.95422,10.98938,7.9425,20.59875,10.40344,31.26282,12.98157,16.59973,19.88098,20.11536,17.30286,27.14661,33.70911,22.45911,25.15442,24.21692,18.12317,29.13879,21.63879,5.6427,22.04895,23.92395,14.31458,27.08801,10.91614,31.98059,27.05872,25.18372,8.77747,5.84778,28.34778,18.03528,11.94153,26.00403,14.9884,14.0509,19.20715,27.64465,25.82825,28.172,10.3595,12.46887,21.96106,20.78918,9.53918,14.49768,21.99768,26.21643,16.13831,27.97424,28.20862,25.92346,11.86096,23.11096,15.2594,9.6344,30.72815,18.77502,25.33752,9.86877,29.11682,5.21057
L3,,in,7.99585,4.65784,3.93335,10.26147,5.78882,3.67944,6.49194,5.24194,8.52319,4.57788,2.04858,2.36108,4.35327,4.04077,2.32202,3.02515,10.9939,9.60718,9.13843,6.09155,5.15405,10.77905,1.8728,3.7478,2.1853,7.14624,4.64624,9.25562,6.75562,4.56812,10.81812,7.84937,5.01978,8.45728,7.12915,9.94165,3.2229,2.24634,8.10571,9.98071,7.65649,4.84399,2.34399,6.87524,10.62524,9.76587,10.07837,3.47681,10.03931,1.91431,4.64868,3.66235,3.34985,6.6311,7.5686,2.64673,7.80298,9.36548,3.07642,4.63892,5.81079,6.43579,2.37329,4.87329,2.90063,3.60376,6.41626,10.01001,1.57251,1.53345,3.2522,4.1897,9.89282,10.67407,6.61157,1.2063,5.73755,2.61255,10.50317,3.15942,5.03442,6.40161,8.58911,3.12036,8.49146,10.36646,4.23364,3.92114,9.38989,5.51294,5.20044,3.32544,10.04419,2.54419,8.87231,7.62231,2.62231,9.80981,9.38013,9.06763,7.05591,8.85278,3.85278,5.9231,1.8606,6.15747,3.50122,3.18872,6.78186,5.84436,9.43811,10.76624,10.14124,6.82092,10.57092,2.75842,7.13342,7.28967,1.89905,9.61389,1.80139,8.52014,6.64514,10.47327,2.03577,3.44202,8.8717,10.1217,8.63733,2.07483,6.91858,3.60803,6.10803,5.32678,6.18616,5.67834,6.30334,9.11584,10.91272,7.16272,2.47522,9.8385,8.66663,4.13538,2.22131,9.95569,10.73694,4.89221,5.67346,4.65784,9.97034,10.12659,5.43909,1.68909,6.72815,8.91565,10.3219,1.65002,9.15002,5.18518,7.52893,5.65393,2.76331,6.39612,7.88049,2.77307,2.06995,5.19495,6.6012,2.42151,4.92151,2.10901,6.64026,3.82776,3.90588,4.84338,6.56213,6.24963,10.6051,9.51135,4.82385,9.12073,8.37854,2.83167,1.58167,10.1925,7.6925,3.16125,4.17688,9.05969,1.63782,4.74329,6.30579,7.55579,5.17297,5.79797,6.57922,1.8136,5.8761,8.53235,6.5304,7.62415
L4,,in,6.82202,4.87195,6.50952,4.5564,3.75562,7.58374,6.64624,12.89624,4.92749,11.29468,6.34351,4.78101,10.67944,6.61694,11.14819,12.78882,3.88257,7.61304,11.51929,4.87866,12.69116,8.31616,8.15991,10.03491,12.22241,8.66772,11.16772,4.5271,12.0271,11.0896,9.8396,6.55835,10.41821,6.98071,6.74634,12.05884,12.84009,4.36353,12.4104,10.5354,4.73462,3.17212,10.67212,8.64087,9.89087,6.68774,5.12524,10.47681,7.03931,5.16431,5.71118,9.11938,4.43188,12.08813,8.65063,10.91626,8.57251,5.13501,7.20532,4.39282,11.65845,8.53345,8.22095,5.72095,12.57642,12.96704,11.40454,6.56079,8.74829,7.30298,10.27173,12.45923,10.1936,8.47485,5.03735,9.4563,11.48755,12.11255,12.19067,7.34692,6.72192,7.54224,11.60474,5.82349,12.79614,10.92114,11.19458,5.88208,8.85083,7.37622,12.06372,11.43872,10.65747,8.15747,6.20435,7.45435,12.45435,11.51685,12.49341,7.18091,10.71606,4.85669,9.85669,8.25513,11.06763,6.927,11.77075,6.45825,11.95691,4.76941,8.36316,10.00378,5.62878,10.58972,11.83972,5.27722,9.65222,3.87097,8.9491,4.90613,3.96863,7.24988,6.62488,9.5155,7.328,5.92175,4.39832,10.64832,8.69519,5.88269,6.97644,6.12683,3.62683,4.09558,3.54871,9.36902,12.49402,6.55652,8.66589,9.91589,5.85339,6.02917,10.01355,3.2948,8.88074,7.55261,4.58386,5.88757,7.91882,4.87195,11.43445,7.8407,6.9032,5.6532,5.45789,7.02039,5.61414,6.94226,4.44226,6.61023,9.89148,3.01648,8.0946,11.57117,7.74304,11.9325,12.16687,5.29187,6.69812,9.70593,7.20593,11.26843,12.98718,4.54968,12.90906,7.59656,7.75281,3.69031,5.54578,3.51453,12.57703,11.8739,11.05359,6.91296,8.16296,4.83044,12.33044,4.98669,3.50232,4.79138,12.21326,3.28748,11.72498,5.47498,12.54529,3.17029,8.63904,6.21716,4.02966,4.49841,3.45349,4.85974
L5,,in,28.19678,19.72388,18.82178,28.66553,20.81396,13.47021,9.09521,11.59521,25.03271,17.45459,9.07568,14.70068,14.46631,27.59131,24.15381,9.31006,15.24756,17.0835,27.396,17.23975,22.86475,16.61475,25.05225,26.30225,13.17725,13.72412,28.72412,16.69287,11.69287,11.06787,18.56787,11.38037,27.00049,20.12549,28.71924,28.09424,27.15674,28.17236,28.95361,27.70361,27.43018,25.55518,20.55518,25.86768,18.36768,24.14893,13.52393,15.6333,13.7583,15.0083,17.03955,26.66846,27.29346,9.48096,15.10596,16.19971,22.13721,21.51221,9.71533,15.34033,15.80908,12.05908,23.93408,28.93408,12.09814,14.44189,18.81689,15.37939,19.75439,9.05127,24.36377,21.23877,13.89502,11.08252,10.45752,27.32275,20.76025,19.51025,18.729,24.6665,25.9165,17.71338,25.83838,25.52588,27.83057,26.58057,14.47119,27.59619,22.90869,19.84229,11.71729,12.96729,12.65479,27.65479,25.31104,17.81104,27.81104,24.68604,19.45166,12.57666,10.50635,20.3501,10.3501,16.20947,9.33447,14.49072,27.92822,28.55322,20.22192,15.84692,14.28442,12.87817,16.62817,20.61255,13.11255,16.23755,17.48755,15.30005,19.5188,18.22974,15.10474,22.29224,23.54224,19.63599,15.26099,24.32349,14.71411,22.21411,11.74536,14.87036,14.55786,20.24146,15.24146,26.80396,22.27271,15.31958,11.56958,20.94458,23.60083,11.10083,25.47583,22.62427,22.15552,9.96802,14.73364,15.51489,20.20239,12.06763,9.25513,19.72388,14.09888,25.03638,26.91138,14.41138,14.95825,21.83325,12.77075,16.3645,21.3645,21.40356,25.46606,14.21606,13.43481,21.95044,18.98169,10.1731,15.95435,22.20435,28.76685,27.43872,22.43872,21.81372,22.12622,24.00122,15.40747,14.78247,26.96997,11.34497,12.00903,14.82153,19.19653,28.72778,19.43091,24.58716,12.08716,23.02954,28.02954,22.71704,27.24829,13.73267,22.95142,23.22485,26.34985,13.84985,17.20923,13.45923,13.77173,19.55298,26.42798,16.74048,19.29907,10.86157
L7,,in,9.21704,10.52991,18.77954,12.17017,21.55688,15.51001,12.69751,10.44751,16.91626,12.0647,18.90259,12.71509,23.33228,10.39478,21.36353,11.94165,8.8479,24.49243,23.08618,19.28931,18.72681,17.60181,23.50806,17.88306,16.19556,18.23462,22.73462,15.56274,20.06274,17.25024,10.50024,10.78149,7.91187,17.47437,17.05249,19.86499,13.39624,17.40405,13.88843,8.26343,8.08765,9.77515,23.27515,16.2439,13.9939,18.07202,24.25952,23.62671,15.18921,18.56421,10.82983,21.57007,24.38257,12.28882,19.60132,7.64819,24.80444,20.86694,10.95288,19.39038,22.62476,7.99976,20.93726,7.43726,19.70679,22.65991,24.34741,7.75366,7.19116,18.23022,15.69897,24.13647,22.30835,9.0896,9.6521,23.82886,18.48511,21.86011,14.96948,11.87573,10.75073,23.75854,11.94604,22.91479,24.07495,16.19995,9.94214,24.00464,22.59839,9.85425,23.91675,16.04175,14.6355,10.1355,14.49487,16.74487,7.74487,9.43237,13.44019,16.25269,15.93628,10.73315,19.73315,21.35034,11.78784,12.49097,15.58472,11.64722,9.50159,10.06409,24.97034,23.14221,13.01721,16.3219,14.0719,24.7594,23.6344,13.79065,11.40002,21.91174,24.72424,15.44299,7.56799,21.77112,22.33362,16.98987,19.87268,17.62268,23.10706,15.79456,22.82581,11.80432,7.30432,15.46057,12.2262,7.51526,22.14026,15.95276,21.99963,10.74963,12.43713,20.20667,22.03479,17.25354,21.68323,12.82385,24.9176,16.29553,11.51428,10.52991,12.21741,13.06116,7.99866,23.74866,24.10022,23.53772,20.44397,12.14709,7.64709,19.63538,23.85413,9.22913,11.3385,15.20569,19.84631,20.21545,14.16858,10.79358,9.38733,15.22327,19.72327,16.91077,8.19202,16.62952,19.58264,24.64514,16.48889,23.80139,15.75061,11.53186,10.96936,20.39124,15.1178,15.53967,13.28967,13.48743,17.98743,19.39368,9.12805,19.32336,15.52649,14.29602,24.98352,22.73352,9.58508,17.46008,10.42883,12.81946,22.38196,22.10071,10.05969,15.96594
L8,,in,8.56567,10.44373,13.25317,12.23755,8.03833,8.11646,12.17896,13.42896,7.02271,6.28052,5.33325,7.52075,14.66919,6.23169,7.32544,8.65356,8.49731,11.29028,8.94653,7.61841,6.05591,7.93091,14.33716,9.96216,13.39966,6.71997,14.21997,6.1731,8.6731,11.4856,10.2356,14.14185,10.08667,11.64917,12.35229,12.03979,8.75854,7.78198,14.11011,9.73511,11.47339,8.66089,6.16089,5.69214,14.44214,9.20776,8.27026,12.68433,14.24683,8.62183,10.7312,5.74097,6.05347,14.95972,12.14722,10.03784,14.88159,14.56909,14.37378,7.18628,13.67065,9.29565,9.60815,7.10815,14.90112,9.823,10.1355,11.54175,14.97925,10.17456,5.33081,13.14331,10.87769,12.28394,11.97144,9.15405,11.1853,5.5603,10.63843,11.73218,7.35718,8.33374,6.77124,8.80249,7.1814,11.5564,8.70483,12.14233,6.36108,10.88257,9.94507,14.32007,7.28882,14.78882,14.08569,5.33569,10.33569,9.39819,10.29663,9.35913,14.26147,12.93335,7.93335,12.34741,8.90991,10.08179,12.42554,12.11304,13.01697,10.82947,7.86072,8.72009,10.59509,5.00916,13.75916,12.82166,7.19666,10.47791,7.11853,10.88806,9.32556,10.10681,5.73181,7.68494,6.12244,7.52869,9.67712,13.42712,14.75525,13.19275,10.849,5.70251,13.20251,9.60876,11.09314,8.16345,13.78845,10.97595,8.71033,12.46033,9.64783,5.72205,14.70642,8.30017,11.69861,10.83923,10.05798,10.3656,11.45935,10.44373,7.63123,10.28748,14.34998,5.59998,14.54529,8.60779,5.01404,12.59216,5.09216,10.73669,10.89294,10.26794,10.97107,7.49451,12.57263,7.40662,5.29724,7.17224,11.70349,12.8363,10.3363,10.0238,12.68005,14.24255,8.53943,12.60193,9.00818,8.69568,7.11365,8.2074,11.0199,12.81677,10.12146,8.94958,12.69958,12.85828,10.35828,6.13953,12.15515,8.44421,7.27234,14.01062,13.07312,9.32312,11.54968,9.67468,7.33093,13.97156,7.40906,5.37781,13.98132,12.26257
A2,,deg,123.30017,174.70245,144.39392,128.57361,135.16541,115.82947,127.54822,155.67322,114.65759,143.07556,130.25818,137.28943,105.35583,112.38708,129.96521,110.62927,158.67615,129.81873,121.6156,122.20154,101.10779,105.79529,165.56091,104.62341,135.09216,169.95544,113.70544,123.66638,104.91638,135.38513,163.51013,141.24451,140.34729,133.31604,138.58948,164.37073,149.13635,107.82776,156.46057,104.89807,170.66956,144.88831,163.63831,131.99768,103.87268,159.53674,129.06799,151.04065,125.2594,111.1969,108.26721,142.32483,158.73108,120.0592,127.09045,104.23889,103.06702,124.16077,150.23499,129.14124,106.28967,129.72717,132.07092,113.32092,133.09631,124.30725,117.276,134.85413,118.44788,111.70959,105.85022,164.44397,116.98303,113.46741,134.56116,138.18665,127.63977,141.70227,148.14758,165.72571,114.16321,116.21399,165.43274,112.69836,127.20032,141.26282,126.90735,129.2511,128.07922,160.81848,172.53723,111.59973,126.83411,145.58411,139.13879,167.26379,129.76379,103.98254,109.54895,107.2052,105.59387,105.00793,142.50793,155.10559,134.01184,153.34778,170.9259,149.83215,113.80157,130.20782,119.66095,151.88751,109.70001,166.82892,138.70392,136.36017,122.29767,160.96954,153.35236,124.49493,117.46368,170.19806,118.63556,141.48712,157.89337,128.5965,141.19415,150.56915,172.24884,104.28009,147.63947,157.08771,100.83771,160.60333,124.86115,118.12286,122.81036,148.59161,158.55255,149.17755,118.7088,172.1756,137.60529,105.96466,128.52325,131.45294,163.09357,151.85089,148.33527,174.70245,130.1712,121.96808,171.18683,143.06183,103.51105,133.9798,163.27667,126.36261,145.11261,141.15753,128.26691,114.20441,145.25909,149.06769,132.0755,167.15851,100.94757,171.26007,144.30695,139.32648,158.07648,146.35773,114.7171,159.24835,107.09991,142.25616,127.02179,171.55304,140.35187,139.17999,108.71124,119.84406,150.01984,130.6839,121.3089,119.27643,100.52643,118.10455,103.45612,113.71002,137.73346,128.50494,144.91119,154.28619,146.37604,104.18854,173.32916,142.27448,125.86823,120.00885,145.71686,116.41998
